analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Cheng Chieh Tsai,First Capital Management,1173,TSM-US,2026Q1,2026,0.034225731353773166,1771139.5,3674,20260408,7
Matthew Bryson,Wedbush Securities,590,TSM-US,2026Q1,2026,0.031566644704090895,1771139.5,3674,20260309,37
Mark Li,Bernstein Research,1140,TSM-US,2026Q1,2026,,1771139.5,3674,20260313,33
Robert Sanders,Deutsche Bank Research,77,TSM-US,2026Q1,2026,0.03130645699727664,1771139.5,3674,20260116,89
Felix Hsu,IBF Securities,3105,TSM-US,2026Q1,2026,0.03176241471199742,1771139.5,3674,20260115,90
Li Yen Chen,Capital Securities Asia,1128,TSM-US,2026Q1,2026,0.030799961931535332,1771139.5,3674,20260410,5
Stefan Chang,Aletheia Capital,2859,TSM-US,2026Q1,2026,0.037150812615303515,1771139.5,3674,20260409,6
Stephano Gabriel,Itau Securities,1394,TSM-US,2026Q1,2026,0.02457055843509327,1771139.5,3674,20251003,194
Wayne Lin,Yuanta Research,762,TSM-US,2026Q1,2026,0.03275984216228879,1771139.5,3674,20260409,6
Felix Pan,KGI Securities,671,TSM-US,2026Q1,2026,0.034304981112184836,1771139.5,3674,20260409,6
Aaron Jeng,Nomura Research,143,TSM-US,2026Q1,2026,,1771139.5,3674,20260409,6
Mehdi Hosseini,Susquehanna Financial Group,974,TSM-US,2026Q1,2026,0.03561041318925884,1771139.5,3674,20260408,7
Kevin Wang,Mizuho Securities Asia Ex Japan,1819,TSM-US,2026Q1,2026,0.03179385633547102,1771139.5,3674,20260115,90
Sherman Shang,Fubon Securities,1084,TSM-US,2026Q1,2026,0.03387683387507687,1771139.5,3674,20260407,8
Krish Sankar,TD Cowen,917,TSM-US,2026Q1,2026,0.031439796187296844,1771139.5,3674,20260407,8
Jack Zhou,China Renaissance Securities (US),2903,TSM-US,2026Q1,2026,0.035747008697180005,1771139.5,3674,20260401,14
Ian Chi,Cathay Securities,3216,TSM-US,2026Q1,2026,0.033373873319862954,1771139.5,3674,20260202,72
Pei Wen Chen,Mega Intl Invst Serv,1175,TSM-US,2026Q1,2026,0.024793595712905212,1771139.5,3674,20260313,33
Yen Chun Wang,SinoPac Securities Investment Services,1120,TSM-US,2026Q1,2026,0.03258148115610999,1771139.5,3674,20260304,42
Gil Luria,DA Davidson,556,TSM-US,2026Q1,2026,0.031862133591027554,1771139.5,3674,20260210,64
Ling Ji Cao,First Shanghai,1701,TSM-US,2026Q1,2026,0.025876948080470877,1771139.5,3674,20260202,72
Egor Tolmachev,Freedom Broker,3713,TSM-US,2026Q1,2026,0.03125179361035462,1771139.5,3674,20260121,84
Tony Shen,SPDB International,3451,TSM-US,2026Q1,2026,0.03217454830302498,1771139.5,3674,20260116,89
