firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
TSM-US,2026-03-31,2026Q1,2026,20260416,20260401,341.49,1771139.5,1771139.5,
TSM-US,2025-12-31,2025Q4,2025,20260115,20251231,303.89,1576127.0,1576127.0,
TSM-US,2025-09-30,2025Q3,2025,20251016,20251002,288.11,1494289.0,1494289.0,
TSM-US,2025-06-30,2025Q2,2025,20250717,20250702,233.6,1211571.8,1211571.8,
TSM-US,2025-03-31,2025Q1,2025,20250417,20250403,157.38,816258.75,816258.75,
TSM-US,2024-12-31,2024Q4,2024,20250116,20241231,197.49,1024291.2,1024291.2,
TSM-US,2024-09-30,2024Q3,2024,20241017,20241003,179.48,930881.44,930881.44,
TSM-US,2024-06-28,2024Q2,2024,20240718,20240703,182.49,946525.7,946525.7,
TSM-US,2024-03-29,2024Q1,2024,20240410,20240326,138.84,720163.94,720163.94,
TSM-US,2023-12-29,2023Q4,2023,20240110,20231226,104.45,541720.94,541720.94,
TSM-US,2023-09-29,2023Q3,2023,20231006,20230922,85.64,444164.5,444164.5,
TSM-US,2023-06-30,2023Q2,2023,20230720,20230706,99.41,515581.44,515581.44,
