industry,quarter,industry_fe,industry_nn_predicted_fe,industry_linear_predicted_fe,n_firms,industry_sentiment
Electronic Equipment,2023Q3,0.048406506704279935,,,1,
Electronic Equipment,2023Q4,0.04455500177999288,,,1,
Electronic Equipment,2024Q1,0.0370137207425343,,,1,
Electronic Equipment,2024Q2,0.03150079936051159,,,1,
Electronic Equipment,2024Q3,0.030018792344592253,,,1,
Electronic Equipment,2024Q4,0.030150876645335823,,,1,
Electronic Equipment,2025Q1,0.03664475035956442,,,1,
Electronic Equipment,2025Q2,0.024205788671929095,,,1,
Electronic Equipment,2025Q3,0.02850268285794973,,,1,
Electronic Equipment,2025Q4,0.025657692917966896,,,1,
Electronic Equipment,2026Q1,0.022783628530397317,,,1,
