analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_factor_obs,r_squared,factor_alpha_z,partial_reliability_score_with_factor_raw,partial_reliability_score_with_factor
George Chang,4,0.024682919187057777,-0.024682919187057777,-0.0015388261890832253,5.75,Aletheia Capital,2859,1,-5.75,1.1785613054918953,1.1789802533515994,2.0317957652457266,1.4631124413630736,0.2857142857142857,0.4180321261037353,,,,,,,,,,4,,,1.4631124413630736,0.4180321261037353
Nikolay Todorov,6,0.02707539146210025,-0.02707539146210025,-0.0023679847113236454,6.0,Edgewater Research,3222,1,-6.0,0.5855473301767461,0.8777746683816707,2.024437325691553,1.1625864414166567,0.375,0.43596991553124625,0.02740326805799155,9.35822263846142,0.1096130722319662,-8.454988656697351e-05,-0.0003482343562410851,-7.385829859987705e-05,-0.00018049158070013334,,,6,0.7951156179195387,-0.012994735143432013,0.8686911472766345,0.32575918022873795
Jay Goldberg,2,0.024831702781287483,-0.024831702781287483,-0.0023154307967978016,48.5,Seaport Research Partners,1321,1,-48.5,1.14168282142492,0.8968657494507579,0.7735026014820484,0.9373503907859088,0.16666666666666666,0.15622506513098477,,,,,,,,,,2,,,0.9373503907859088,0.15622506513098477
Vijay Rakesh,7,0.02838227713033602,-0.02838227713033602,-0.004438594514919789,43.857142857142854,Mizuho Securities USA,1802,1,-43.857142857142854,0.261614019229964,0.12559131573224155,0.9101593360595573,0.43245489034058765,0.4117647058823529,0.17806966072847727,0.027719712430001524,4.567171691251526,0.1108788497200061,0.00014940803112244137,-0.0007088067381615115,0.0001483135808114608,-0.00014928162444934935,,,7,0.5583387620646929,0.0835961512814962,0.3452402055758148,0.14215773170768845
Christopher Rolland,6,0.028680926189054896,-0.028680926189054896,-0.005313074282424563,32.5,Susquehanna Financial Group,974,1,-32.5,0.18758889159003628,-0.1920779632422181,1.244442732949156,0.4133178870989915,0.375,0.1549942076621218,0.027982087431470088,2.823658711507963,0.11192834972588035,-1.2797490431061667e-05,-0.0010104486568719144,-0.0001293832768445695,0.0001265050035988386,,,6,0.5338853998906932,0.16368300448295434,0.35090916644498216,0.1315909374168683
Min-Gyu Jung,1,0.02259214935375778,-0.02259214935375778,,49.0,Sangsangin Investment & Securities,1766,1,-49.0,1.6967933214897453,,0.7587857223737012,1.2277895219317232,0.09090909090909091,0.11161722926652029,,,,,,,,,,1,,,1.2277895219317232,0.11161722926652029
Egor Tolmachev,1,0.023993445044546,-0.023993445044546,,60.0,Freedom Broker,3713,1,-60.0,1.3494589189744395,,0.43501438199006476,0.8922366504822521,0.09090909090909091,0.08111242277111383,,,,,,,,,,1,,,0.8922366504822521,0.08111242277111383
Cindy Yen,1,0.0218741024413595,-0.0218741024413595,,83.0,Fubon Securities,1084,1,-83.0,1.8747731703791173,,-0.24196205699390244,0.8164055566926074,0.09090909090909091,0.07421868697205522,,,,,,,,,,1,,,0.8164055566926074,0.07421868697205522
Jack Egan,4,0.026836426879276554,-0.026836426879276554,-0.0034051271757370855,89.0,Charter Equity Research,3077,1,-89.0,0.644778669531469,0.5010154669605664,-0.4185646062940678,0.24240984339932256,0.2857142857142857,0.0692599552569493,,,,,,,,,,4,,,0.24240984339932256,0.0692599552569493
Blayne Curtis,8,0.02752923555122088,-0.02752923555122088,-0.003923667250525098,80.625,Jefferies,512,1,-80.625,0.47305453756625315,0.3126471846991121,-0.17205688122925364,0.20454828034537054,0.4444444444444444,0.09091034682016468,0.027468912301020033,6.335893605801077,0.10987564920408013,-7.951563340927857e-05,-0.0006083296386917155,-0.0001225941109599914,-6.757952732568062e-05,,,8,0.5158125923785191,0.007042390442150293,0.15517180786956547,0.0689652479420291
William Stein,6,0.026776732125201524,-0.026776732125201524,-0.0037222331613373538,71.16666666666667,Truist Securities,852,1,-71.16666666666667,0.6595750054341977,0.38582145842271576,0.10633741523697911,0.38391129303129756,0.375,0.14396673488673659,0.026048840556936435,5.901182082925842,0.10419536222774574,-1.310106987434658e-05,-0.0007237157190757485,5.139576827891682e-05,-7.058422389149129e-06,,,6,0.8115742348442884,-0.42641764449790953,0.1813290586489958,0.06799839699337343
Mark Lipacis,9,0.03641419299915593,-0.03641419299915593,-0.006103642532406792,71.22222222222223,Evercore ISI,1772,1,-71.22222222222223,-1.7292296818453872,-0.47926499178668797,0.10470220644716272,-0.7012641557283041,0.47368421052631576,-0.3321777579765651,0.03614651288943054,8.172224040737232,0.14458605155772217,-0.0001468889393521834,-0.0007202040857900321,-0.00029138293764735556,-5.2169346370669215e-05,,,9,0.33113808005616563,2.6557769138345626,0.13799611166241255,0.0653665792085112
John N. Vinh,6,0.03020902003511829,-0.03020902003511829,-0.006227587114041837,50.0,KeyBanc Capital Markets,618,1,-50.0,-0.19117453892561365,-0.5242899167122164,0.7293519641570071,0.004629169506392361,0.375,0.0017359385648971354,0.029201367229000085,4.603909895951782,0.11680546891600034,-7.505231193137018e-05,-0.0015259975903453207,-0.00022787244143321813,0.0002727281921858498,,,6,0.8610169656735713,0.5358536823666407,0.13743529772145444,0.05153823664554541
Alicia Xia,3,0.03277337237502593,-0.03277337237502593,-0.003711139386418667,42.333333333333336,Haitong International Research,2898,1,-42.333333333333336,-0.8267918420228194,0.3898514561544871,0.9550107771516627,0.1726901304277768,0.23076923076923078,0.03985156856025619,,,,,,,,,,3,,,0.1726901304277768,0.03985156856025619
Barney Yao,4,0.030101622074850305,-0.030101622074850305,-0.0038397508812014966,68.25,Haitong International Research,2898,1,-68.25,-0.1645541713570383,0.34313119762630345,0.19218587670233742,0.12358763432386753,0.2857142857142857,0.03531075266396215,,,,,,,,,,4,,,0.12358763432386753,0.03531075266396215
Sun-Woo Kim,1,0.031176059152677855,-0.031176059152677855,,42.0,Meritz Securities,1778,1,-42.0,-0.4308712398535569,,0.9648220298905609,0.266975395018502,0.09090909090909091,0.024270490456227454,,,,,,,,,,1,,,0.266975395018502,0.024270490456227454
Rick Schafer,7,0.028317919027696165,-0.028317919027696165,-0.00410107611370323,73.42857142857143,Oppenheimer,498,1,-73.42857142857143,0.277566243499532,0.24820047278685706,0.0397610573658851,0.18850925788409137,0.4117647058823529,0.0776214591287435,0.026296631604616257,5.066096422193941,0.10518652641846503,0.0004630656578168428,-0.0008351147863902974,0.00034106026885185047,-3.57091061915877e-05,,,7,0.6215964976316137,-0.3507823699896894,0.05368635091564618,0.022106144494677838
Phoebe Wang,2,0.029593939927492527,-0.029593939927492527,-0.006015949806087368,46.0,Fubon Securities,1084,1,-46.0,-0.03871672214529255,-0.4474091545491,0.847086997023784,0.12032037344313047,0.16666666666666666,0.020053395573855076,,,,,,,,,,2,,,0.12032037344313047,0.020053395573855076
Tore Svanberg,5,0.025474423685882076,-0.025474423685882076,-0.0044743442286128985,106.8,Stifel Nicolaus,548,1,-106.8,0.9823737741988567,0.11260463931680177,-0.942485502551225,0.050830970321477875,0.3333333333333333,0.016943656773825956,,,,,,,,,,5,,,0.050830970321477875,0.016943656773825956
Kevin Garrigan,2,0.03441549787786084,-0.03441549787786084,-0.0023899243192586177,88.5,Rosenblatt Securities,2623,1,-88.5,-1.2338199119239566,0.8698047419263432,-0.4038477271857207,-0.2559542990611114,0.16666666666666666,-0.042659049843518565,,,,,,,,,,2,,,-0.2559542990611114,-0.042659049843518565
Parth Talsania,2,0.03432549066246829,-0.03432549066246829,-0.0031494315097904367,88.5,Equisights,3723,1,-88.5,-1.2115101292093218,0.593901158381349,-0.4038477271857207,-0.3404855660045645,0.16666666666666666,-0.05674759433409408,,,,,,,,,,2,,,-0.3404855660045645,-0.05674759433409408
Siyu Cai,2,0.029701880014197636,-0.029701880014197636,-0.0025142304210908854,138.5,Mega Intl Invst Serv,1175,1,-138.5,-0.06547146475217283,0.8246484887932863,-1.875535638020432,-0.37211953799310615,0.16666666666666666,-0.06201992299885102,,,,,,,,,,2,,,-0.37211953799310615,-0.06201992299885102
Cody Acree,7,0.028216608523239147,-0.028216608523239147,-0.004530931951368298,98.28571428571429,"Benchmark, a StoneX Company",1124,1,-98.28571428571429,0.30267773407602067,0.09204821050678227,-0.6918780754490857,-0.09905071028876093,0.4117647058823529,-0.040785586589489796,0.026368932248738236,3.669219572489763,0.10547572899495294,0.0004220170096484835,-0.0006823603348520915,0.00035770593183785405,-8.686436767210796e-05,,,7,0.4057624776711485,-0.328713457022531,-0.15646639697220344,-0.06442733992973082
James Kelleher,5,0.030128886872455518,-0.030128886872455518,-0.005477294290600851,88.8,Argus Research,376,1,-88.8,-0.17131220411783324,-0.251733604835157,-0.41267785465072887,-0.278574554534573,0.3333333333333333,-0.09285818484485767,,,,,,,,,,5,,,-0.278574554534573,-0.09285818484485767
Ishan Majumdar,2,0.03398918931267991,-0.03398918931267991,-0.002563330000129954,125.5,Baptista Research,3454,1,-125.5,-1.1281522560910995,0.8068122523806408,-1.492896781203407,-0.6047455949712885,0.16666666666666666,-0.10079093249521476,,,,,,,,,,2,,,-0.6047455949712885,-0.10079093249521476
C.J. Muse,3,0.031925086432103914,-0.031925086432103914,-0.0064948614940643105,89.0,Cantor Fitzgerald,1190,1,-89.0,-0.6165300870742847,-0.6213817680564171,-0.4185646062940678,-0.5521588204749232,0.23076923076923078,-0.1274212662634438,,,,,,,,,,3,,,-0.5521588204749232,-0.1274212662634438
Melissa Fairbanks,5,0.02771806244112226,-0.02771806244112226,-0.00678293267242603,106.8,Raymond James,402,1,-106.8,0.4262506578327569,-0.7260284013165638,-0.942485502551225,-0.4140877486783439,0.3333333333333333,-0.13802924955944795,,,,,,,,,,5,,,-0.4140877486783439,-0.13802924955944795
Joe Quatrochi,6,0.029717744242731298,-0.029717744242731298,-0.005810632309825592,99.83333333333333,Wells Fargo Securities,596,1,-99.83333333333333,-0.06940367718622817,-0.37282416879874214,-0.7374303203082551,-0.39321938876440843,0.375,-0.14745727078665316,0.026417335869821774,3.2529142286303903,0.1056693434792871,0.0004891833350699134,-0.0015114860738209201,0.0002421975058151135,0.0003438632696578911,,,6,0.7382813371184345,-0.31393882653396005,-0.3733992482067963,-0.14002471807754863
Hans Mosesmann,3,0.041234156576019663,-0.041234156576019663,-0.0012039195441393424,94.66666666666667,Rosenblatt Securities,2623,1,-94.66666666666667,-2.923937679679738,1.300640646623646,-0.5853559028553352,-0.7362176453038091,0.23076923076923078,-0.1698963796854944,,,,,,,,,,3,,,-0.7362176453038091,-0.1698963796854944
Matthew Prisco,4,0.030780390613783015,-0.030780390613783015,-0.011832276720487301,49.0,Cantor Fitzgerald,1190,2,-49.0,-0.332798223248589,-2.5602863711933184,0.7587857223737012,-0.7114329573560686,0.2857142857142857,-0.20326655924459103,,,,,,,,,,4,,,-0.7114329573560686,-0.20326655924459103
Ross Seymore,9,0.028502659867378027,-0.028502659867378027,-0.0038182999397181304,159.77777777777777,Deutsche Bank Research,77,1,-159.77777777777777,0.23177515915317135,0.3509236078884506,-2.501820604520092,-0.6397072791594901,0.47368421052631576,-0.30301923749660054,0.026564513456531554,14.85820100330778,0.10625805382612621,0.00019027600156838184,-0.0007240091365321159,0.00021950152862665367,-1.7938091594956178e-05,,,9,0.7207497567405277,-0.269014616089379,-0.5470341133919623,-0.25912142213303474
Joshua Buchalter,8,0.030209286075018785,-0.030209286075018785,-0.006772788113693307,82.125,TD Cowen,917,1,-82.125,-0.1912404813319816,-0.722343222107291,-0.216207518554295,-0.37659707399785586,0.4444444444444444,-0.16737647733238037,0.021731972035139255,4.821432433357584,0.08692788814055702,0.001475672052688238,-0.001331772358674027,0.0011175068198038265,0.00033159112305738167,,,8,0.7560040508772716,-1.7440904931308967,-0.7184704287811161,-0.31932019056938493
Kevin Cassidy,3,0.03326462616171343,-0.03326462616171343,-0.01390606238167707,89.0,Rosenblatt Securities,2623,1,-89.0,-0.9485572492842286,-3.313623406785889,-0.4185646062940678,-1.5602484207880618,0.23076923076923078,-0.3600573278741681,,,,,,,,,,3,,,-1.5602484207880618,-0.3600573278741681
