firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
TXN-US,2026-03-31,2026Q1,2026,20260422,1.6805,3674
TXN-US,2025-12-31,2025Q4,2025,20260127,1.2689,3674
TXN-US,2025-09-30,2025Q3,2025,20251021,1.4836,3674
TXN-US,2025-06-30,2025Q2,2025,20250722,1.4123,3674
TXN-US,2025-03-31,2025Q1,2025,20250423,1.2806,3674
TXN-US,2024-12-31,2024Q4,2024,20250123,1.3047,3674
TXN-US,2024-09-30,2024Q3,2024,20241022,1.4728,3674
TXN-US,2024-06-28,2024Q2,2024,20240723,1.2198,3674
TXN-US,2024-03-29,2024Q1,2024,20240423,1.1996,3674
TXN-US,2023-12-29,2023Q4,2023,20240123,1.4907,3674
TXN-US,2023-09-29,2023Q3,2023,20231024,1.8548,3674
TXN-US,2023-06-30,2023Q2,2023,20230725,1.8712,3674
