firm,quarter_end,quarter,year,report_date,snapshot_date,analyst,broker,broker_code,estimate_value,revision_date,staleness_days,actual_eps,price_10d_prior,market_cap
TXN-US,2026-03-31,2026Q1,2026,20260422,20260421,Kevin Cassidy,Rosenblatt Securities,2623,6.3,20260128,83,1.6805,208.9,190195.8
TXN-US,2026-03-31,2026Q1,2026,20260422,20260421,Tore Svanberg,Stifel Nicolaus,548,6.16,20260128,83,1.6805,208.9,190195.8
TXN-US,2026-03-31,2026Q1,2026,20260422,20260421,George Chang,Aletheia Capital,2859,6.54,20260417,4,1.6805,208.9,190195.8
TXN-US,2026-03-31,2026Q1,2026,20260422,20260421,Mark Lipacis,Evercore ISI,1772,7.28,20260128,83,1.6805,208.9,190195.8
TXN-US,2026-03-31,2026Q1,2026,20260422,20260421,Matthew Prisco,Cantor Fitzgerald,1190,6.2,20260128,83,1.6805,208.9,190195.8
TXN-US,2026-03-31,2026Q1,2026,20260422,20260421,Christopher Rolland,Susquehanna Financial Group,974,6.45,20260417,4,1.6805,208.9,190195.8
TXN-US,2026-03-31,2026Q1,2026,20260422,20260421,Joe Quatrochi,Wells Fargo Securities,596,6.5082,20260127,84,1.6805,208.9,190195.8
TXN-US,2026-03-31,2026Q1,2026,20260422,20260421,Stacy A. Rasgon,Bernstein Research,1140,,20260128,83,1.6805,208.9,190195.8
TXN-US,2026-03-31,2026Q1,2026,20260422,20260421,Rick Schafer,Oppenheimer,498,6.43,20260223,57,1.6805,208.9,190195.8
TXN-US,2026-03-31,2026Q1,2026,20260422,20260421,Nikolay Todorov,Edgewater Research,3222,6.71,20260415,6,1.6805,208.9,190195.8
TXN-US,2026-03-31,2026Q1,2026,20260422,20260421,Vijay Rakesh,Mizuho Securities USA,1802,6.4791,20260415,6,1.6805,208.9,190195.8
TXN-US,2026-03-31,2026Q1,2026,20260422,20260421,John N. Vinh,KeyBanc Capital Markets,618,6.66,20260402,19,1.6805,208.9,190195.8
TXN-US,2026-03-31,2026Q1,2026,20260422,20260421,Joshua Buchalter,TD Cowen,917,6.29,20260409,12,1.6805,208.9,190195.8
TXN-US,2026-03-31,2026Q1,2026,20260422,20260421,Ross Seymore,Deutsche Bank Research,77,6.65,20260128,83,1.6805,208.9,190195.8
TXN-US,2026-03-31,2026Q1,2026,20260422,20260421,Blayne Curtis,Jefferies,512,6.35,20260223,57,1.6805,208.9,190195.8
TXN-US,2026-03-31,2026Q1,2026,20260422,20260421,Min-Gyu Jung,Sangsangin Investment & Securities,1766,6.4,20260303,49,1.6805,208.9,190195.8
TXN-US,2026-03-31,2026Q1,2026,20260422,20260421,Jack Egan,Charter Equity Research,3077,6.372041,20260128,83,1.6805,208.9,190195.8
TXN-US,2026-03-31,2026Q1,2026,20260422,20260421,Cody Acree,"Benchmark, a StoneX Company",1124,6.37,20260128,83,1.6805,208.9,190195.8
TXN-US,2026-03-31,2026Q1,2026,20260422,20260421,William Stein,Truist Securities,852,6.62,20260128,83,1.6805,208.9,190195.8
TXN-US,2026-03-31,2026Q1,2026,20260422,20260421,Melissa Fairbanks,Raymond James,402,6.23,20260128,83,1.6805,208.9,190195.8
TXN-US,2026-03-31,2026Q1,2026,20260422,20260421,Siyu Cai,Mega Intl Invst Serv,1175,7.36,20251022,181,1.6805,208.9,190195.8
TXN-US,2026-03-31,2026Q1,2026,20260422,20260421,Cindy Yen,Fubon Securities,1084,6.25,20260128,83,1.6805,208.9,190195.8
TXN-US,2026-03-31,2026Q1,2026,20260422,20260421,James Kelleher,Argus Research,376,6.47,20260128,83,1.6805,208.9,190195.8
TXN-US,2025-12-31,2025Q4,2025,20260127,20260126,Mark Lipacis,Evercore ISI,1772,6.66,20251022,96,1.2689,189.07,171793.36
TXN-US,2025-12-31,2025Q4,2025,20260127,20260126,George Chang,Aletheia Capital,2859,6.12,20260123,3,1.2689,189.07,171793.36
TXN-US,2025-12-31,2025Q4,2025,20260127,20260126,Kevin Cassidy,Rosenblatt Securities,2623,5.96,20251022,96,1.2689,189.07,171793.36
TXN-US,2025-12-31,2025Q4,2025,20260127,20260126,Matthew Prisco,Cantor Fitzgerald,1190,5.5,20260105,21,1.2689,189.07,171793.36
TXN-US,2025-12-31,2025Q4,2025,20260127,20260126,Nikolay Todorov,Edgewater Research,3222,6.37,20260122,4,1.2689,189.07,171793.36
TXN-US,2025-12-31,2025Q4,2025,20260127,20260126,Joe Quatrochi,Wells Fargo Securities,596,6.0339,20251021,97,1.2689,189.07,171793.36
TXN-US,2025-12-31,2025Q4,2025,20260127,20260126,Tore Svanberg,Stifel Nicolaus,548,5.66,20251022,96,1.2689,189.07,171793.36
TXN-US,2025-12-31,2025Q4,2025,20260127,20260126,Christopher Rolland,Susquehanna Financial Group,974,5.86,20251022,96,1.2689,189.07,171793.36
TXN-US,2025-12-31,2025Q4,2025,20260127,20260126,John N. Vinh,KeyBanc Capital Markets,618,6.32,20251017,101,1.2689,189.07,171793.36
TXN-US,2025-12-31,2025Q4,2025,20260127,20260126,Joshua Buchalter,TD Cowen,917,5.9955,20251022,96,1.2689,189.07,171793.36
TXN-US,2025-12-31,2025Q4,2025,20260127,20260126,Rick Schafer,Oppenheimer,498,6.13,20260114,12,1.2689,189.07,171793.36
TXN-US,2025-12-31,2025Q4,2025,20260127,20260126,Vijay Rakesh,Mizuho Securities USA,1802,6.1563,20251022,96,1.2689,189.07,171793.36
TXN-US,2025-12-31,2025Q4,2025,20260127,20260126,Ross Seymore,Deutsche Bank Research,77,6.15,20251022,96,1.2689,189.07,171793.36
TXN-US,2025-12-31,2025Q4,2025,20260127,20260126,Siyu Cai,Mega Intl Invst Serv,1175,7.36,20251022,96,1.2689,189.07,171793.36
TXN-US,2025-12-31,2025Q4,2025,20260127,20260126,Stacy A. Rasgon,Bernstein Research,1140,,20250723,187,1.2689,189.07,171793.36
TXN-US,2025-12-31,2025Q4,2025,20260127,20260126,William Stein,Truist Securities,852,6.06,20251218,39,1.2689,189.07,171793.36
TXN-US,2025-12-31,2025Q4,2025,20260127,20260126,Jack Egan,Charter Equity Research,3077,6.1528955,20251022,96,1.2689,189.07,171793.36
TXN-US,2025-12-31,2025Q4,2025,20260127,20260126,Barney Yao,Haitong International Research,2898,6.59,20251022,96,1.2689,189.07,171793.36
TXN-US,2025-12-31,2025Q4,2025,20260127,20260126,Cody Acree,"Benchmark, a StoneX Company",1124,5.89,20251021,97,1.2689,189.07,171793.36
TXN-US,2025-12-31,2025Q4,2025,20260127,20260126,Blayne Curtis,Jefferies,512,5.81,20251022,96,1.2689,189.07,171793.36
TXN-US,2025-12-31,2025Q4,2025,20260127,20260126,Melissa Fairbanks,Raymond James,402,5.86,20251022,96,1.2689,189.07,171793.36
TXN-US,2025-12-31,2025Q4,2025,20260127,20260126,James Kelleher,Argus Research,376,6.91,20251022,96,1.2689,189.07,171793.36
TXN-US,2025-09-30,2025Q3,2025,20251021,20251020,Kevin Garrigan,Rosenblatt Securities,2623,8.0,20250723,89,1.4836,177.05,160962.73
TXN-US,2025-09-30,2025Q3,2025,20251021,20251020,Vijay Rakesh,Mizuho Securities USA,1802,6.45,20251017,3,1.4836,177.05,160962.73
TXN-US,2025-09-30,2025Q3,2025,20251021,20251020,Matthew Prisco,Cantor Fitzgerald,1190,6.5,20250723,89,1.4836,177.05,160962.73
TXN-US,2025-09-30,2025Q3,2025,20251021,20251020,John N. Vinh,KeyBanc Capital Markets,618,6.32,20251017,3,1.4836,177.05,160962.73
TXN-US,2025-09-30,2025Q3,2025,20251021,20251020,Joe Quatrochi,Wells Fargo Securities,596,6.8663,20250723,89,1.4836,177.05,160962.73
TXN-US,2025-09-30,2025Q3,2025,20251021,20251020,Tore Svanberg,Stifel Nicolaus,548,6.37,20250723,89,1.4836,177.05,160962.73
TXN-US,2025-09-30,2025Q3,2025,20251021,20251020,Mark Lipacis,Evercore ISI,1772,7.26,20250723,89,1.4836,177.05,160962.73
TXN-US,2025-09-30,2025Q3,2025,20251021,20251020,George Chang,Aletheia Capital,2859,6.21,20251014,6,1.4836,177.05,160962.73
TXN-US,2025-09-30,2025Q3,2025,20251021,20251020,Stacy A. Rasgon,Bernstein Research,1140,,20250723,89,1.4836,177.05,160962.73
