analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Kevin Cassidy,Rosenblatt Securities,2623,TXN-US,2026Q1,2026,0.022113451412158924,190195.8,3674,20260128,83
Tore Svanberg,Stifel Nicolaus,548,TXN-US,2026Q1,2026,0.021443274293920535,190195.8,3674,20260128,83
George Chang,Aletheia Capital,2859,TXN-US,2026Q1,2026,0.023262326471996168,190195.8,3674,20260417,4
Mark Lipacis,Evercore ISI,1772,TXN-US,2026Q1,2026,0.026804691239827667,190195.8,3674,20260128,83
Matthew Prisco,Cantor Fitzgerald,1190,TXN-US,2026Q1,2026,0.021634753470560077,190195.8,3674,20260128,83
Christopher Rolland,Susquehanna Financial Group,974,TXN-US,2026Q1,2026,0.022831498324557203,190195.8,3674,20260417,4
Joe Quatrochi,Wells Fargo Securities,596,TXN-US,2026Q1,2026,0.023110100526567735,190195.8,3674,20260127,84
Stacy A. Rasgon,Bernstein Research,1140,TXN-US,2026Q1,2026,,190195.8,3674,20260128,83
Rick Schafer,Oppenheimer,498,TXN-US,2026Q1,2026,0.02273575873623743,190195.8,3674,20260223,57
Nikolay Todorov,Edgewater Research,3222,TXN-US,2026Q1,2026,0.024076112972714215,190195.8,3674,20260415,6
Vijay Rakesh,Mizuho Securities USA,1802,TXN-US,2026Q1,2026,0.022970799425562467,190195.8,3674,20260415,6
John N. Vinh,KeyBanc Capital Markets,618,TXN-US,2026Q1,2026,0.02383676400191479,190195.8,3674,20260402,19
Joshua Buchalter,TD Cowen,917,TXN-US,2026Q1,2026,0.02206558161799904,190195.8,3674,20260409,12
Ross Seymore,Deutsche Bank Research,77,TXN-US,2026Q1,2026,0.023788894207754905,190195.8,3674,20260128,83
Blayne Curtis,Jefferies,512,TXN-US,2026Q1,2026,0.022352800382958348,190195.8,3674,20260223,57
Min-Gyu Jung,Sangsangin Investment & Securities,1766,TXN-US,2026Q1,2026,0.02259214935375778,190195.8,3674,20260303,49
Jack Egan,Charter Equity Research,3077,TXN-US,2026Q1,2026,0.022458310196266155,190195.8,3674,20260128,83
Cody Acree,"Benchmark, a StoneX Company",1124,TXN-US,2026Q1,2026,0.02244853997127812,190195.8,3674,20260128,83
William Stein,Truist Securities,852,TXN-US,2026Q1,2026,0.02364528482527525,190195.8,3674,20260128,83
Melissa Fairbanks,Raymond James,402,TXN-US,2026Q1,2026,0.02177836285303973,190195.8,3674,20260128,83
Siyu Cai,Mega Intl Invst Serv,1175,TXN-US,2026Q1,2026,0.02718764959310675,190195.8,3674,20251022,181
Cindy Yen,Fubon Securities,1084,TXN-US,2026Q1,2026,0.0218741024413595,190195.8,3674,20260128,83
James Kelleher,Argus Research,376,TXN-US,2026Q1,2026,0.02292723791287697,190195.8,3674,20260128,83
Mark Lipacis,Evercore ISI,1772,TXN-US,2025Q4,2025,0.02851377796583276,171793.36,3674,20251022,96
George Chang,Aletheia Capital,2859,TXN-US,2025Q4,2025,0.025657692917966896,171793.36,3674,20260123,3
Kevin Cassidy,Rosenblatt Securities,2623,TXN-US,2025Q4,2025,0.024811445496377007,171793.36,3674,20251022,96
Matthew Prisco,Cantor Fitzgerald,1190,TXN-US,2025Q4,2025,0.022378484159306076,171793.36,3674,20260105,21
Nikolay Todorov,Edgewater Research,3222,TXN-US,2025Q4,2025,0.026979954514201095,171793.36,3674,20260122,4
Joe Quatrochi,Wells Fargo Securities,596,TXN-US,2025Q4,2025,0.025202306024223835,171793.36,3674,20251021,97
Tore Svanberg,Stifel Nicolaus,548,TXN-US,2025Q4,2025,0.023224731580895965,171793.36,3674,20251022,96
Christopher Rolland,Susquehanna Financial Group,974,TXN-US,2025Q4,2025,0.02428254085788333,171793.36,3674,20251022,96
John N. Vinh,KeyBanc Capital Markets,618,TXN-US,2025Q4,2025,0.02671550219495425,171793.36,3674,20251017,101
Joshua Buchalter,TD Cowen,917,TXN-US,2025Q4,2025,0.024999206643042258,171793.36,3674,20251022,96
Rick Schafer,Oppenheimer,498,TXN-US,2025Q4,2025,0.02571058338181626,171793.36,3674,20260114,12
Vijay Rakesh,Mizuho Securities USA,1802,TXN-US,2025Q4,2025,0.025849685301740095,171793.36,3674,20251022,96
Ross Seymore,Deutsche Bank Research,77,TXN-US,2025Q4,2025,0.025816364309514995,171793.36,3674,20251022,96
Siyu Cai,Mega Intl Invst Serv,1175,TXN-US,2025Q4,2025,0.03221611043528852,171793.36,3674,20251022,96
Stacy A. Rasgon,Bernstein Research,1140,TXN-US,2025Q4,2025,,171793.36,3674,20250723,187
William Stein,Truist Securities,852,TXN-US,2025Q4,2025,0.025340350134870685,171793.36,3674,20251218,39
Jack Egan,Charter Equity Research,3077,TXN-US,2025Q4,2025,0.025831678743322577,171793.36,3674,20251022,96
Barney Yao,Haitong International Research,2898,TXN-US,2025Q4,2025,0.028143544718887182,171793.36,3674,20251022,96
Cody Acree,"Benchmark, a StoneX Company",1124,TXN-US,2025Q4,2025,0.02444121224943143,171793.36,3674,20251021,97
Blayne Curtis,Jefferies,512,TXN-US,2025Q4,2025,0.024018088538636486,171793.36,3674,20251022,96
Melissa Fairbanks,Raymond James,402,TXN-US,2025Q4,2025,0.02428254085788333,171793.36,3674,20251022,96
James Kelleher,Argus Research,376,TXN-US,2025Q4,2025,0.02983603956206696,171793.36,3674,20251022,96
Kevin Garrigan,Rosenblatt Securities,2623,TXN-US,2025Q3,2025,0.03680542219711946,160962.73,3674,20250723,89
Vijay Rakesh,Mizuho Securities USA,1802,TXN-US,2025Q3,2025,0.028050833097994915,160962.73,3674,20251017,3
Matthew Prisco,Cantor Fitzgerald,1190,TXN-US,2025Q3,2025,0.028333239197966674,160962.73,3674,20250723,89
John N. Vinh,KeyBanc Capital Markets,618,TXN-US,2025Q3,2025,0.02731657723806834,160962.73,3674,20251017,3
Joe Quatrochi,Wells Fargo Securities,596,TXN-US,2025Q3,2025,0.03040214628635978,160962.73,3674,20250723,89
Tore Svanberg,Stifel Nicolaus,548,TXN-US,2025Q3,2025,0.0275989833380401,160962.73,3674,20250723,89
Mark Lipacis,Evercore ISI,1772,TXN-US,2025Q3,2025,0.03262581191753742,160962.73,3674,20250723,89
George Chang,Aletheia Capital,2859,TXN-US,2025Q3,2025,0.02669528381813047,160962.73,3674,20251014,6
Stacy A. Rasgon,Bernstein Research,1140,TXN-US,2025Q3,2025,,160962.73,3674,20250723,89
Rick Schafer,Oppenheimer,498,TXN-US,2025Q3,2025,0.02968878847783112,160962.73,3674,20250723,89
Nikolay Todorov,Edgewater Research,3222,TXN-US,2025Q3,2025,0.02697768991810223,160962.73,3674,20251010,10
Ross Seymore,Deutsche Bank Research,77,TXN-US,2025Q3,2025,0.028059322225360065,160962.73,3674,20250723,89
Joshua Buchalter,TD Cowen,917,TXN-US,2025Q3,2025,0.029745269697825472,160962.73,3674,20250723,89
Cody Acree,"Benchmark, a StoneX Company",1124,TXN-US,2025Q3,2025,0.029745269697825472,160962.73,3674,20250723,89
Jack Egan,Charter Equity Research,3077,TXN-US,2025Q3,2025,0.031948037277605194,160962.73,3674,20250723,89
Barney Yao,Haitong International Research,2898,TXN-US,2025Q3,2025,0.029575826037842413,160962.73,3674,20250723,89
Jay Goldberg,Seaport Research Partners,1321,TXN-US,2025Q3,2025,0.027147133578085285,160962.73,3674,20250718,94
Christopher Rolland,Susquehanna Financial Group,974,TXN-US,2025Q3,2025,0.029180457497881954,160962.73,3674,20250723,89
William Stein,Truist Securities,852,TXN-US,2025Q3,2025,0.026186952838181305,160962.73,3674,20250723,89
Blayne Curtis,Jefferies,512,TXN-US,2025Q3,2025,0.02584806551821519,160962.73,3674,20250723,89
Melissa Fairbanks,Raymond James,402,TXN-US,2025Q3,2025,0.02850268285794973,160962.73,3674,20250424,179
James Kelleher,Argus Research,376,TXN-US,2025Q3,2025,0.032682293137531765,160962.73,3674,20250723,89
Kevin Garrigan,Rosenblatt Securities,2623,TXN-US,2025Q2,2025,0.03202557355860222,196802.31,3674,20250424,88
Christopher Rolland,Susquehanna Financial Group,974,TXN-US,2025Q2,2025,0.024870516548954436,196802.31,3674,20250721,0
Vijay Rakesh,Mizuho Securities USA,1802,TXN-US,2025Q2,2025,0.024205788671929095,196802.31,3674,20250703,18
Mark Lipacis,Evercore ISI,1772,TXN-US,2025Q2,2025,0.032717998430503624,196802.31,3674,20250424,88
Jay Goldberg,Seaport Research Partners,1321,TXN-US,2025Q2,2025,0.02251627198448968,196802.31,3674,20250718,3
C.J. Muse,Cantor Fitzgerald,1190,TXN-US,2025Q2,2025,0.02394728338641924,196802.31,3674,20250424,88
Tore Svanberg,Stifel Nicolaus,548,TXN-US,2025Q2,2025,0.021823847112588283,196802.31,3674,20250124,178
Nikolay Todorov,Edgewater Research,3222,TXN-US,2025Q2,2025,0.024916678207081197,196802.31,3674,20250716,5
Stacy A. Rasgon,Bernstein Research,1140,TXN-US,2025Q2,2025,,196802.31,3674,20250424,88
Joe Quatrochi,Wells Fargo Securities,596,TXN-US,2025Q2,2025,0.026993952822785394,196802.31,3674,20250124,178
Ross Seymore,Deutsche Bank Research,77,TXN-US,2025Q2,2025,0.02369132160827217,196802.31,3674,20250124,178
George Chang,Aletheia Capital,2859,TXN-US,2025Q2,2025,0.023116373540137562,196802.31,3674,20250711,10
John N. Vinh,KeyBanc Capital Markets,618,TXN-US,2025Q2,2025,0.02777870101094031,196802.31,3674,20250424,88
Rick Schafer,Oppenheimer,498,TXN-US,2025Q2,2025,0.025147486497714998,196802.31,3674,20250424,88
Joshua Buchalter,TD Cowen,917,TXN-US,2025Q2,2025,0.025701426395236118,196802.31,3674,20250709,12
William Stein,Truist Securities,852,TXN-US,2025Q2,2025,0.023301020172644602,196802.31,3674,20250424,88
Barney Yao,Haitong International Research,2898,TXN-US,2025Q2,2025,0.026255366292757234,196802.31,3674,20250424,88
Jack Egan,Charter Equity Research,3077,TXN-US,2025Q2,2025,0.027107681299912294,196802.31,3674,20250424,88
Egor Tolmachev,Freedom Broker,3713,TXN-US,2025Q2,2025,0.023993445044546,196802.31,3674,20250522,60
Cody Acree,"Benchmark, a StoneX Company",1124,TXN-US,2025Q2,2025,0.02371647509578544,196802.31,3674,20250124,178
Phoebe Wang,Fubon Securities,1084,TXN-US,2025Q2,2025,0.02357799012140516,196802.31,3674,20250421,91
Blayne Curtis,Jefferies,512,TXN-US,2025Q2,2025,0.0237626367539122,196802.31,3674,20250424,88
Melissa Fairbanks,Raymond James,402,TXN-US,2025Q2,2025,0.023485666805151642,196802.31,3674,20250424,88
James Kelleher,Argus Research,376,TXN-US,2025Q2,2025,0.026301527950883998,196802.31,3674,20250424,88
Barney Yao,Haitong International Research,2898,TXN-US,2025Q1,2025,0.03643175124991439,132857.1,3674,20250422,0
Kevin Cassidy,Rosenblatt Securities,2623,TXN-US,2025Q1,2025,0.05286898157660435,132857.1,3674,20250124,88
Mark Lipacis,Evercore ISI,1772,TXN-US,2025Q1,2025,0.045266762550510244,132857.1,3674,20250417,5
Phoebe Wang,Fubon Securities,1084,TXN-US,2025Q1,2025,0.0356098897335799,132857.1,3674,20250421,1
Tore Svanberg,Stifel Nicolaus,548,TXN-US,2025Q1,2025,0.033281282103965484,132857.1,3674,20250124,88
Vijay Rakesh,Mizuho Securities USA,1802,TXN-US,2025Q1,2025,0.03714745565372236,132857.1,3674,20250124,88
C.J. Muse,Cantor Fitzgerald,1190,TXN-US,2025Q1,2025,0.03985617423464147,132857.1,3674,20250124,88
Christopher Rolland,Susquehanna Financial Group,974,TXN-US,2025Q1,2025,0.03759605506472159,132857.1,3674,20250417,5
Nikolay Todorov,Edgewater Research,3222,TXN-US,2025Q1,2025,0.031432093692212865,132857.1,3674,20250416,6
Blayne Curtis,Jefferies,512,TXN-US,2025Q1,2025,0.03411970412985413,132857.1,3674,20250124,88
Stacy A. Rasgon,Bernstein Research,1140,TXN-US,2025Q1,2025,,132857.1,3674,20250124,88
John N. Vinh,KeyBanc Capital Markets,618,TXN-US,2025Q1,2025,0.0428166824190124,132857.1,3674,20250124,88
Rick Schafer,Oppenheimer,498,TXN-US,2025Q1,2025,0.03643175124991439,132857.1,3674,20250124,88
Joshua Buchalter,TD Cowen,917,TXN-US,2025Q1,2025,0.03664475035956442,132857.1,3674,20250124,88
Ross Seymore,Deutsche Bank Research,77,TXN-US,2025Q1,2025,0.0357120402712143,132857.1,3674,20250124,88
Joe Quatrochi,Wells Fargo Securities,596,TXN-US,2025Q1,2025,0.040990343127183075,132857.1,3674,20250124,88
Cody Acree,"Benchmark, a StoneX Company",1124,TXN-US,2025Q1,2025,0.03595233203205261,132857.1,3674,20250124,88
William Stein,Truist Securities,852,TXN-US,2025Q1,2025,0.034377097459078146,132857.1,3674,20250124,88
Melissa Fairbanks,Raymond James,402,TXN-US,2025Q1,2025,0.04054105883158688,132857.1,3674,20250124,88
James Kelleher,Argus Research,376,TXN-US,2025Q1,2025,0.03889733579891789,132857.1,3674,20250124,88
Mark Lipacis,Evercore ISI,1772,TXN-US,2024Q4,2024,0.04237708756048072,175337.16,3674,20241023,91
Christopher Rolland,Susquehanna Financial Group,974,TXN-US,2024Q4,2024,0.03332448884033089,175337.16,3674,20250121,1
John N. Vinh,KeyBanc Capital Markets,618,TXN-US,2024Q4,2024,0.03278989334581967,175337.16,3674,20250121,1
Nikolay Todorov,Edgewater Research,3222,TXN-US,2024Q4,2024,0.028069819468289892,175337.16,3674,20250117,5
Vijay Rakesh,Mizuho Securities USA,1802,TXN-US,2024Q4,2024,0.02950730971333437,175337.16,3674,20241023,91
C.J. Muse,Cantor Fitzgerald,1190,TXN-US,2024Q4,2024,0.03197180167525103,175337.16,3674,20241023,91
Hans Mosesmann,Rosenblatt Securities,2623,TXN-US,2024Q4,2024,0.04263721970761146,175337.16,3674,20240719,187
Joe Quatrochi,Wells Fargo Securities,596,TXN-US,2024Q4,2024,0.031607616669267986,175337.16,3674,20241120,63
Blayne Curtis,Jefferies,512,TXN-US,2024Q4,2024,0.028538057333125227,175337.16,3674,20241023,91
Ross Seymore,Deutsche Bank Research,77,TXN-US,2024Q4,2024,0.029630612351074344,175337.16,3674,20240124,364
Rick Schafer,Oppenheimer,498,TXN-US,2024Q4,2024,0.02890224233910827,175337.16,3674,20241023,91
Stacy A. Rasgon,Bernstein Research,1140,TXN-US,2024Q4,2024,,175337.16,3674,20241023,91
Joshua Buchalter,TD Cowen,917,TXN-US,2024Q4,2024,0.030150876645335827,175337.16,3674,20240724,182
William Stein,Truist Securities,852,TXN-US,2024Q4,2024,0.027809687321159147,175337.16,3674,20241213,40
Cody Acree,"Benchmark, a StoneX Company",1124,TXN-US,2024Q4,2024,0.02952655949222205,175337.16,3674,20241023,91
Alicia Xia,Haitong International Research,2898,TXN-US,2024Q4,2024,0.031087352375006507,175337.16,3674,20241023,91
Mark Lipacis,Evercore ISI,1772,TXN-US,2024Q3,2024,0.041082043420206715,184627.03,3674,20240724,89
Blayne Curtis,Jefferies,512,TXN-US,2024Q3,2024,0.030018792344592253,184627.03,3674,20240819,63
Vijay Rakesh,Mizuho Securities USA,1802,TXN-US,2024Q3,2024,0.03094406804806884,184627.03,3674,20241016,5
Stacy A. Rasgon,Bernstein Research,1140,TXN-US,2024Q3,2024,,184627.03,3674,20240724,89
Hans Mosesmann,Rosenblatt Securities,2623,TXN-US,2024Q3,2024,0.03969734434498789,184627.03,3674,20240719,94
Joshua Buchalter,TD Cowen,917,TXN-US,2024Q3,2024,0.027812175461154245,184627.03,3674,20240724,89
Rick Schafer,Oppenheimer,498,TXN-US,2024Q3,2024,0.029608822511250677,184627.03,3674,20240724,89
Ross Seymore,Deutsche Bank Research,77,TXN-US,2024Q3,2024,0.02753126947233074,184627.03,3674,20240124,271
Alicia Xia,Haitong International Research,2898,TXN-US,2024Q3,2024,0.029312101280846645,184627.03,3674,20240918,33
Cody Acree,"Benchmark, a StoneX Company",1124,TXN-US,2024Q3,2024,0.031685871124078925,184627.03,3674,20240820,62
Alicia Xia,Haitong International Research,2898,TXN-US,2024Q2,2024,0.037920663469224625,182242.11,3674,20240719,3
Hans Mosesmann,Rosenblatt Securities,2623,TXN-US,2024Q2,2024,0.041367905675459636,182242.11,3674,20240719,3
Mark Lipacis,Evercore ISI,1772,TXN-US,2024Q2,2024,0.03827038369304557,182242.11,3674,20240424,89
Ross Seymore,Deutsche Bank Research,77,TXN-US,2024Q2,2024,0.028882469024780175,182242.11,3674,20240124,180
Stacy A. Rasgon,Bernstein Research,1140,TXN-US,2024Q2,2024,,182242.11,3674,20240527,56
Sun-Woo Kim,Meritz Securities,1778,TXN-US,2024Q2,2024,0.031176059152677855,182242.11,3674,20240610,42
Blayne Curtis,Jefferies,512,TXN-US,2024Q2,2024,0.03157573940847322,182242.11,3674,20240510,73
Ishan Majumdar,Baptista Research,3454,TXN-US,2024Q2,2024,0.03142585931254996,182242.11,3674,20240202,171
Parth Talsania,Equisights,3723,TXN-US,2024Q2,2024,0.031176059152677855,182242.11,3674,20240424,89
Ross Seymore,Deutsche Bank Research,77,TXN-US,2024Q1,2024,0.03341164533610054,157725.05,3674,20240124,89
Mark Lipacis,Evercore ISI,1772,TXN-US,2024Q1,2024,0.04006918021445866,157725.05,3674,20240411,11
Stacy A. Rasgon,Bernstein Research,1140,TXN-US,2024Q1,2024,,157725.05,3674,20240124,89
Ishan Majumdar,Baptista Research,3454,TXN-US,2024Q1,2024,0.03655251931280987,157725.05,3674,20240202,80
Parth Talsania,Equisights,3723,TXN-US,2024Q1,2024,0.03747492217225873,157725.05,3674,20240125,88
Joshua Buchalter,TD Cowen,917,TXN-US,2023Q4,2023,0.04455500177999288,153068.72,3674,20231025,89
Matthew Prisco,Evercore ISI,1772,TXN-US,2023Q3,2023,0.050775085627299245,143149.97,3674,20231020,3
