firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
TXN-US,2026-03-31,2026Q1,2026,20260422,20260408,208.9,190195.8,190195.8,
TXN-US,2025-12-31,2025Q4,2025,20260127,20260112,189.07,171793.36,171793.36,
TXN-US,2025-09-30,2025Q3,2025,20251021,20251007,177.05,160962.73,160962.73,
TXN-US,2025-06-30,2025Q2,2025,20250722,20250708,216.63,196802.31,196802.31,
TXN-US,2025-03-31,2025Q1,2025,20250423,20250408,146.01,132857.1,132857.1,
TXN-US,2024-12-31,2024Q4,2024,20250123,20250107,192.21,175337.16,175337.16,
TXN-US,2024-09-30,2024Q3,2024,20241022,20241008,202.21,184627.03,184627.03,
TXN-US,2024-06-28,2024Q2,2024,20240723,20240709,200.16,182242.11,182242.11,
TXN-US,2024-03-29,2024Q1,2024,20240423,20240409,173.46,157725.05,157725.05,
TXN-US,2023-12-29,2023Q4,2023,20240123,20240108,168.54,153068.72,153068.72,
TXN-US,2023-09-29,2023Q3,2023,20231024,20231010,157.66,143149.97,143149.97,
TXN-US,2023-06-30,2023Q2,2023,20230725,20230711,178.82,162306.67,162306.67,
