analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_factor_obs,r_squared,factor_alpha_z,partial_reliability_score_with_factor_raw,partial_reliability_score_with_factor
Rick Paterson,7,0.06461559074130223,-0.06461559074130223,-0.0041272117742148,60.0,Loop Capital Markets,1009,1,-60.0,-0.333381548109261,1.6987864921659857,0.054213823652280585,0.47320625590300175,0.4117647058823529,0.19484963478358894,0.06651496174966255,37.62294148285679,0.2660598469986502,-0.00020833819642635383,-0.00048211756393705483,-0.00020578383183357825,-0.0007912478862047545,,,7,0.8939191242313268,1.2278221168893444,0.6618602211495874,0.2725306792968889
Conor Cunningham,9,0.06123982154842389,-0.06123982154842389,-0.006478202899999446,65.66666666666667,Melius Research,3130,1,-65.66666666666667,0.5774693522757434,0.5627356560263024,-0.10000538186932394,0.34673320881090725,0.47368421052631576,0.16424204627885078,0.0613687980650459,12.895733336629975,0.2454751922601836,-0.0004868568005036708,-0.0005352202990721109,-0.0005560178278685543,0.00039954235237563086,,,9,0.3126840497743083,0.5512371702227917,0.39785919916387835,0.18845962065657396
Christian Wetherbee,8,0.0595849222368412,-0.0595849222368412,-0.007634106569786627,29.125,Wells Fargo Securities,596,1,-29.125,1.0239947045366802,0.004177473412838045,0.894481700795728,0.6408846262484155,0.4444444444444444,0.2848376116659624,0.0549756806771854,6.1683434910976285,0.2199027227087416,0.0003918135368628935,-0.0015025307459076596,-9.872802132522711e-05,0.0015853647836484323,,,8,0.45947180824850975,-0.2892893368972059,0.4083411354620101,0.18148494909422672
Reed Seay,2,0.05488788862326617,-0.05488788862326617,-0.008693313042409011,12.5,Stephens Inc,472,1,-12.5,2.2913495062479807,-0.5076544878692862,1.3469336346421996,1.043542884340298,0.16666666666666666,0.17392381405671634,,,,,,,,,,2,,,1.043542884340298,0.17392381405671634
Fadi Chamoun,12,0.06358316033331614,-0.06358316033331614,-0.007539872673271433,47.416666666666664,BMO Capital Markets,181,1,-47.416666666666664,-0.054810913397956344,0.04971337346565368,0.39667117708996097,0.13052454571921943,0.5454545454545454,0.07119520675593786,0.06284061810507811,16.07537616512786,0.25136247242031245,-0.0001260703431886961,-0.0007992666102163727,-0.00018024187271974368,0.0001532578914606406,,,12,0.2335135332749101,0.7447427297650817,0.284079091730685,0.15495223185310092
Daniel Imbro,3,0.06335684462639024,-0.06335684462639024,-0.004899502292235627,44.666666666666664,Stephens Inc,472,1,-44.666666666666664,0.006253648083202866,1.32559865699392,0.4715128503577984,0.6011217184783071,0.23076923076923078,0.13872039657191704,,,,,,,,,,3,,,0.6011217184783071,0.13872039657191704
Harrison Bauer,1,0.05796841697345476,-0.05796841697345476,,4.0,Susquehanna Financial Group,974,1,-4.0,1.4601605649689804,,1.5782624429246062,1.5192115039467933,0.09090909090909091,0.13811013672243574,,,,,,,,,,1,,,1.5192115039467933,0.13811013672243574
Helane Becker,3,0.06764867718702572,-0.06764867718702572,-0.0028578827270293134,59.666666666666664,TD Cowen,917,1,-59.666666666666664,-1.1517697026848395,2.3121543222594245,0.06328554162413973,0.40789005373290826,0.23076923076923078,0.09412847393836345,,,,,,,,,,3,,,0.40789005373290826,0.09412847393836345
Jonathan Chappell,6,0.061293888317293654,-0.061293888317293654,-0.008181791542841372,8.0,Evercore ISI,1772,1,-8.0,0.5628810429772799,-0.26047600177725805,1.4694018272622973,0.5906022894874398,0.375,0.2214758585577899,0.047022847143726225,4.496247032325968,0.1880913885749049,0.0023662051195163228,-0.0029630602110625706,0.0015351858604830606,0.002321287882681834,,,6,0.7810881029922055,-1.3348774257813767,0.10923236067023562,0.04096213525133836
Lucas Servera,5,0.06274123620855324,-0.06274123620855324,-0.008132290055916895,46.2,Truist Securities,852,1,-46.2,0.17235726762400483,-0.23655579000191984,0.42978294768724645,0.12186147510311048,0.3333333333333333,0.04062049170103682,,,,,,,,,,5,,,0.12186147510311048,0.04062049170103682
Bascome Majors,4,0.059134912545127975,-0.059134912545127975,-0.009152047422853,75.25,Susquehanna Financial Group,974,1,-75.25,1.1454164337661816,-0.7293250721406245,-0.3608172735602724,0.018424696021761593,0.2857142857142857,0.005264198863360455,,,,,,,,,,4,,,0.018424696021761593,0.005264198863360455
Patrick Tyler Brown,9,0.06706004421490265,-0.06706004421490265,-0.009105387342339549,45.111111111111114,Raymond James,402,1,-45.111111111111114,-0.9929446047528788,-0.7067778906986014,0.45941722639531946,-0.4134350896853869,0.47368421052631576,-0.19583767406149905,0.06525172769848729,10.758597476133753,0.26100691079394917,-0.00013183710746256363,-0.0010500550146624243,-0.0006362395031016608,0.0004718823433886267,,,9,0.43488318570060536,1.061740119595577,-0.04464128736514594,-0.02114587296243755
Amit Mehrotra,2,0.07213642027802238,-0.07213642027802238,-0.004799782152740725,46.5,Deutsche Bank Research,77,1,-46.5,-2.3626536824765836,1.373785630824091,0.4216184015125734,-0.18908321671330638,0.16666666666666666,-0.03151386945221773,,,,,,,,,,2,,,-0.18908321671330638,-0.03151386945221773
Jeff Kauffman,6,0.06236841687951875,-0.06236841687951875,-0.009390492485660073,38.166666666666664,Vertical Research Partners,2963,1,-38.166666666666664,0.27295147360479,-0.8445469928039555,0.6484113508090504,0.025605277203294974,0.375,0.009601978951235615,0.04963208385977052,3.77235119913264,0.19852833543908208,0.0021732899319606503,-0.0032832891161770007,0.0010087651584045584,0.0022777445135040305,,,6,0.7369897248356254,-0.9918315390672725,-0.2287539268643469,-0.08578272257413008
