firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
UPS-US,2026-03-31,2026Q1,2026,20260428,1.0165,4210
UPS-US,2025-12-31,2025Q4,2025,20260127,2.0996,4210
UPS-US,2025-09-30,2025Q3,2025,20251028,1.546,4210
UPS-US,2025-06-30,2025Q2,2025,20250729,1.5148,4210
UPS-US,2025-03-31,2025Q1,2025,20250429,1.3965,4210
UPS-US,2024-12-31,2024Q4,2024,20250130,2.0152,4210
UPS-US,2024-09-30,2024Q3,2024,20241024,1.8,4210
UPS-US,2024-06-28,2024Q2,2024,20240723,1.6441,4210
UPS-US,2024-03-29,2024Q1,2024,20240423,1.2987,4210
UPS-US,2023-12-29,2023Q4,2023,20240130,1.8706,4210
UPS-US,2023-09-29,2023Q3,2023,20231026,1.3135,4210
UPS-US,2023-06-30,2023Q2,2023,20230808,2.417,4210
