firm,quarter_end,quarter,year,report_date,snapshot_date,analyst,broker,broker_code,estimate_value,revision_date,staleness_days,actual_eps,price_10d_prior,market_cap
UPS-US,2026-03-31,2026Q1,2026,20260428,20260427,Stephanie Moore,Jefferies,512,7.1454,20260427,0,1.0165,103.22,76869.1
UPS-US,2026-03-31,2026Q1,2026,20260428,20260427,Lucas Servera,Truist Securities,852,7.16,20260127,90,1.0165,103.22,76869.1
UPS-US,2026-03-31,2026Q1,2026,20260428,20260427,Harrison Bauer,Susquehanna Financial Group,974,7.0,20260423,4,1.0165,103.22,76869.1
UPS-US,2026-03-31,2026Q1,2026,20260428,20260427,J. Bruce Chan,Stifel Nicolaus,548,7.05,20260423,4,1.0165,103.22,76869.1
UPS-US,2026-03-31,2026Q1,2026,20260428,20260427,David Vernon,Bernstein Research,1140,,20260421,6,1.0165,103.22,76869.1
UPS-US,2026-03-31,2026Q1,2026,20260428,20260427,Jonathan Chappell,Evercore ISI,1772,7.02,20260421,6,1.0165,103.22,76869.1
UPS-US,2026-03-31,2026Q1,2026,20260428,20260427,Jeff Kauffman,Vertical Research Partners,2963,6.65103,20260304,54,1.0165,103.22,76869.1
UPS-US,2026-03-31,2026Q1,2026,20260428,20260427,Patrick Tyler Brown,Raymond James,402,7.0,20260414,13,1.0165,103.22,76869.1
UPS-US,2026-03-31,2026Q1,2026,20260428,20260427,Christian Wetherbee,Wells Fargo Securities,596,7.1,20260406,21,1.0165,103.22,76869.1
UPS-US,2026-03-31,2026Q1,2026,20260428,20260427,Fadi Chamoun,BMO Capital Markets,181,6.96,20260331,27,1.0165,103.22,76869.1
UPS-US,2026-03-31,2026Q1,2026,20260428,20260427,Richa Harnain,Deutsche Bank Research,77,7.1,20260127,90,1.0165,103.22,76869.1
UPS-US,2026-03-31,2026Q1,2026,20260428,20260427,Conor Cunningham,Melius Research,3130,7.05,20260128,89,1.0165,103.22,76869.1
UPS-US,2026-03-31,2026Q1,2026,20260428,20260427,Kristina Ruggeri,Argus Research,376,7.13,20260202,84,1.0165,103.22,76869.1
