analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Stephanie Moore,Jefferies,512,UPS-US,2026Q1,2026,0.05937705870955242,76869.1,4210,20260427,0
Lucas Servera,Truist Securities,852,UPS-US,2026Q1,2026,0.05951850416585933,76869.1,4210,20260127,90
Harrison Bauer,Susquehanna Financial Group,974,UPS-US,2026Q1,2026,0.05796841697345476,76869.1,4210,20260423,4
J. Bruce Chan,Stifel Nicolaus,548,UPS-US,2026Q1,2026,0.058452819221081184,76869.1,4210,20260423,4
David Vernon,Bernstein Research,1140,UPS-US,2026Q1,2026,,76869.1,4210,20260421,6
Jonathan Chappell,Evercore ISI,1772,UPS-US,2026Q1,2026,0.05816217787250533,76869.1,4210,20260421,6
Jeff Kauffman,Vertical Research Partners,2963,UPS-US,2026Q1,2026,0.054587579926370866,76869.1,4210,20260304,54
Patrick Tyler Brown,Raymond James,402,UPS-US,2026Q1,2026,0.05796841697345476,76869.1,4210,20260414,13
Christian Wetherbee,Wells Fargo Securities,596,UPS-US,2026Q1,2026,0.05893722146870761,76869.1,4210,20260406,21
Fadi Chamoun,BMO Capital Markets,181,UPS-US,2026Q1,2026,0.057580895175353614,76869.1,4210,20260331,27
Richa Harnain,Deutsche Bank Research,77,UPS-US,2026Q1,2026,0.05893722146870761,76869.1,4210,20260127,90
Conor Cunningham,Melius Research,3130,UPS-US,2026Q1,2026,0.058452819221081184,76869.1,4210,20260128,89
Kristina Ruggeri,Argus Research,376,UPS-US,2026Q1,2026,0.059227862817283476,76869.1,4210,20260202,84
Oliver Holmes,Rothschild & Co Redburn,1652,UPS-US,2026Q1,2026,,76869.1,4210,20260128,89
Will Chien,ARC Independent Research,940,UPS-US,2026Q1,2026,0.059324743266808755,76869.1,4210,20260127,90
Jason H. Seidl,TD Cowen,917,UPS-US,2026Q1,2026,0.05942162371633405,76869.1,4210,20260127,90
Scott Schneeberger,Oppenheimer,498,UPS-US,2026Q1,2026,0.05951850416585933,76869.1,4210,20251028,181
Lucas Servera,Truist Securities,852,UPS-US,2025Q4,2025,0.04934184948625381,79833.09,4210,20251028,90
J. Bruce Chan,Stifel Nicolaus,548,UPS-US,2025Q4,2025,0.04860131444968989,79833.09,4210,20251028,90
David Vernon,Bernstein Research,1140,UPS-US,2025Q4,2025,,79833.09,4210,20251021,97
Jonathan Chappell,Evercore ISI,1772,UPS-US,2025Q4,2025,0.046009441821716186,79833.09,4210,20260120,6
Bascome Majors,Susquehanna Financial Group,974,UPS-US,2025Q4,2025,0.04443580486901786,79833.09,4210,20251028,90
Reed Seay,Stephens Inc,472,UPS-US,2025Q4,2025,0.04619457558085716,79833.09,4210,20260115,11
Jeff Kauffman,Vertical Research Partners,2963,UPS-US,2025Q4,2025,0.04614646857354439,79833.09,4210,20251009,109
Patrick Tyler Brown,Raymond James,402,UPS-US,2025Q4,2025,0.04721281125613256,79833.09,4210,20260109,17
Richa Harnain,Deutsche Bank Research,77,UPS-US,2025Q4,2025,0.05415532722391929,79833.09,4210,20250410,291
Christian Wetherbee,Wells Fargo Securities,596,UPS-US,2025Q4,2025,0.04443580486901786,79833.09,4210,20260105,21
Conor Cunningham,Melius Research,3130,UPS-US,2025Q4,2025,0.045361473664722755,79833.09,4210,20251031,87
Stephanie Moore,Jefferies,512,UPS-US,2025Q4,2025,0.04165879848190317,79833.09,4210,20251218,39
Fadi Chamoun,BMO Capital Markets,181,UPS-US,2025Q4,2025,0.04573174118300472,79833.09,4210,20251028,90
Kristina Ruggeri,Argus Research,376,UPS-US,2025Q4,2025,0.051563454595945565,79833.09,4210,20250825,154
Jason H. Seidl,TD Cowen,917,UPS-US,2025Q4,2025,0.051841155234657044,79833.09,4210,20250729,181
Oliver Holmes,Rothschild & Co Redburn,1652,UPS-US,2025Q4,2025,,79833.09,4210,20251030,88
Will Chien,ARC Independent Research,940,UPS-US,2025Q4,2025,0.047490511894844024,79833.09,4210,20251029,89
Scott Schneeberger,Oppenheimer,498,UPS-US,2025Q4,2025,0.04647227621956864,79833.09,4210,20251028,90
Lucas Servera,Truist Securities,852,UPS-US,2025Q3,2025,0.0666745984533016,61864.41,4210,20251013,14
Christian Wetherbee,Wells Fargo Securities,596,UPS-US,2025Q3,2025,0.06009994051160024,61864.41,4210,20251003,24
J. Bruce Chan,Stifel Nicolaus,548,UPS-US,2025Q3,2025,0.06786436644854253,61864.41,4210,20251024,3
Stephanie Moore,Jefferies,512,UPS-US,2025Q3,2025,0.0672347769185009,61864.41,4210,20250729,90
David Vernon,Bernstein Research,1140,UPS-US,2025Q3,2025,,61864.41,4210,20251021,6
Conor Cunningham,Melius Research,3130,UPS-US,2025Q3,2025,0.061320642474717434,61864.41,4210,20250812,76
Jonathan Chappell,Evercore ISI,1772,UPS-US,2025Q3,2025,0.06548483045806068,61864.41,4210,20251020,7
Reed Seay,Stephens Inc,472,UPS-US,2025Q3,2025,0.06358120166567519,61864.41,4210,20251013,14
Patrick Tyler Brown,Raymond James,402,UPS-US,2025Q3,2025,0.06726948245092207,61864.41,4210,20251013,14
Jason H. Seidl,TD Cowen,917,UPS-US,2025Q3,2025,0.07321832242712671,61864.41,4210,20250729,90
Jeff Kauffman,Vertical Research Partners,2963,UPS-US,2025Q3,2025,0.0658688994646044,61864.41,4210,20251009,18
Rick Paterson,Loop Capital Markets,1009,UPS-US,2025Q3,2025,0.06536585365853659,61864.41,4210,20251008,19
Fadi Chamoun,BMO Capital Markets,181,UPS-US,2025Q3,2025,0.06322427126710292,61864.41,4210,20250918,39
Richa Harnain,Deutsche Bank Research,77,UPS-US,2025Q3,2025,0.07614967281380132,61864.41,4210,20250410,200
Kristina Ruggeri,Argus Research,376,UPS-US,2025Q3,2025,0.07286139202855443,61864.41,4210,20250825,63
Oliver Holmes,Rothschild & Co Redburn,1652,UPS-US,2025Q3,2025,,61864.41,4210,20250807,81
Bascome Majors,Susquehanna Financial Group,974,UPS-US,2025Q3,2025,0.06251041046995835,61864.41,4210,20250729,90
Will Chien,ARC Independent Research,940,UPS-US,2025Q3,2025,0.0717906008328376,61864.41,4210,20250729,90
Scott Schneeberger,Oppenheimer,498,UPS-US,2025Q3,2025,0.06072575847709697,61864.41,4210,20250729,90
Jairam Nathan,Daiwa Securities Co. Ltd.,467,UPS-US,2025Q3,2025,0.068459250446163,61864.41,4210,20250429,181
David Vernon,Bernstein Research,1140,UPS-US,2025Q2,2025,,73027.85,4210,20250422,97
Jason H. Seidl,TD Cowen,917,UPS-US,2025Q2,2025,0.06716768813423088,73027.85,4210,20250429,90
Jonathan Chappell,Evercore ISI,1772,UPS-US,2025Q2,2025,0.06415352155129107,73027.85,4210,20250718,10
Jeff Kauffman,Vertical Research Partners,2963,UPS-US,2025Q2,2025,0.06720117552496735,73027.85,4210,20250711,17
Richa Harnain,Deutsche Bank Research,77,UPS-US,2025Q2,2025,0.06468451723098563,73027.85,4210,20250410,109
Christian Wetherbee,Wells Fargo Securities,596,UPS-US,2025Q2,2025,0.05716365919823169,73027.85,4210,20250429,90
Jairam Nathan,Daiwa Securities Co. Ltd.,467,UPS-US,2025Q2,2025,0.05862754948256806,73027.85,4210,20250429,90
Lucas Servera,Truist Securities,852,UPS-US,2025Q2,2025,0.06435446599015372,73027.85,4210,20250626,32
Fadi Chamoun,BMO Capital Markets,181,UPS-US,2025Q2,2025,0.06435446599015372,73027.85,4210,20250606,52
Patrick Tyler Brown,Raymond James,402,UPS-US,2025Q2,2025,0.06817241032854417,73027.85,4210,20250623,35
Kristina Ruggeri,Argus Research,376,UPS-US,2025Q2,2025,0.06566060484276098,73027.85,4210,20250523,66
Oliver Holmes,Rothschild & Co Redburn,1652,UPS-US,2025Q2,2025,,73027.85,4210,20250507,82
Conor Cunningham,Melius Research,3130,UPS-US,2025Q2,2025,0.06365116045413442,73027.85,4210,20250502,87
Rick Paterson,Loop Capital Markets,1009,UPS-US,2025Q2,2025,0.059933688335175324,73027.85,4210,20250429,90
