firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
UPS-US,2026-03-31,2026Q1,2026,20260428,20260414,103.22,76869.1,76869.1,
UPS-US,2025-12-31,2025Q4,2025,20260127,20260112,108.03,79833.09,79833.09,
UPS-US,2025-09-30,2025Q3,2025,20251028,20251014,84.05,61864.41,61864.41,
UPS-US,2025-06-30,2025Q2,2025,20250729,20250715,99.53,73027.85,73027.85,
UPS-US,2025-03-31,2025Q1,2025,20250429,20250414,98.67,72392.87,72392.87,
UPS-US,2024-12-31,2024Q4,2024,20250130,20250115,127.47,93227.695,93227.695,
UPS-US,2024-09-30,2024Q3,2024,20241024,20241010,132.84,97306.5,97306.5,
UPS-US,2024-06-28,2024Q2,2024,20240723,20240709,134.28,97943.75,97943.75,
UPS-US,2024-03-29,2024Q1,2024,20240423,20240409,150.57,109591.13,109591.13,
UPS-US,2023-12-29,2023Q4,2023,20240130,20240116,155.33,112343.44,112343.44,
UPS-US,2023-09-29,2023Q3,2023,20231026,20231012,155.38,112382.6,112382.6,
UPS-US,2023-06-30,2023Q2,2023,20230808,20230725,184.69,133859.56,133859.56,
