analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score
Greg Harrison,4,0.037439415814446035,-0.037439415814446035,-0.0015364497247104534,9.5,Scotiabank GBM,810,1,-9.5,0.1910920637931133,1.2342480775445912,2.0552172801777897,1.1601858071718314,0.2857142857142857,0.3314816591919518
Jay Olson,7,0.03518496771265687,-0.03518496771265687,-0.0024538301689227236,78.42857142857143,Oppenheimer,498,1,-78.42857142857143,0.6173174486336866,1.0419853701871582,0.1353459144602168,0.5982162444270205,0.4117647058823529,0.24632433594053785
Cory Kasimov,3,0.033931614193530774,-0.033931614193530774,-0.006149770421614625,32.0,Evercore ISI,1772,1,-32.0,0.8542761462443561,0.26739781090685827,1.4285235183114318,0.8500658251542154,0.23076923076923078,0.19616903657404972
Robyn Karnauskas,3,0.033020551899116485,-0.033020551899116485,-0.003336499738601224,62.0,Truist Securities,852,1,-62.0,1.026521351952259,0.8569972965487133,0.5929318358229545,0.8254834947746422,0.23076923076923078,0.19049619110184052
Danielle Brill,5,0.03742788271122298,-0.03742788271122298,-0.0037566212234967345,59.4,Raymond James,402,1,-59.4,0.19327250935571108,0.7689490995170075,0.6653497816386226,0.5425237968371137,0.3333333333333333,0.18084126561237124
Brian Abrahams,12,0.03658216938951223,-0.03658216938951223,-0.009605035088389625,44.75,RBC Capital Markets,1269,1,-44.75,0.3531628549018747,-0.45674945390765637,1.073397053253829,0.32327015141601584,0.5454545454545454,0.176329173499645
Debjit Chattopadhyay,4,0.02329685651574235,-0.02329685651574235,-0.011817497280136233,90.25,Guggenheim Securities,1515,1,-90.25,2.8648807284941347,-0.9204327312162542,-0.19391699852036176,0.583510332919173,0.2857142857142857,0.16671723797690655
Louise Chen,2,0.031117594789379595,-0.031117594789379595,-0.00045636249282693386,84.5,Scotiabank GBM,810,1,-84.5,1.3862939392160856,1.4606105389358772,-0.033761926043403584,0.9377141840361864,0.16666666666666666,0.1562856973393644
Michael Yee,3,0.03614399504394448,-0.03614399504394448,-0.0027315966703306033,76.66666666666667,Jefferies,512,1,-76.66666666666667,0.43600398525154477,0.9837716379119538,0.1844203466063654,0.534731989923288,0.23076923076923078,0.12339968998229722
Akash Tewari,1,0.033689603351700896,-0.033689603351700896,,53.0,Jefferies,512,1,-53.0,0.9000306544597674,,0.8436093405694977,0.8718199975146326,0.09090909090909091,0.07925636341042115
Paul Matteis,5,0.0370848384694639,-0.0370848384694639,-0.002846483898568103,102.8,Stifel Nicolaus,548,1,-102.8,0.2581283664699503,0.959693808826879,-0.5434728523613748,0.22478310764515155,0.3333333333333333,0.07492770254838385
Carter Gould,5,0.035768295816899796,-0.035768295816899796,-0.002118203641916137,128.4,Cantor Fitzgerald,1190,1,-128.4,0.5070335855800427,1.1123252876667247,-1.2565110880848758,0.12094926172063054,0.3333333333333333,0.04031642057354351
Liisa A. Bayko,2,0.037931218036885456,-0.037931218036885456,-0.0008302998052991638,125.5,Evercore ISI,1772,1,-125.5,0.09811206067912076,1.3822415258056628,-1.1757372254443228,0.10153878701348695,0.16666666666666666,0.01692313116891449
Andrew S. Fein,8,0.04491440125534715,-0.04491440125534715,-0.0031229887400485365,77.0,HC Wainwright,536,1,-77.0,-1.2221267828493434,0.9017444926452873,0.17513599457871576,-0.048415431875113435,0.4444444444444444,-0.021517969722272635
Narumi Nakagiri,10,0.035769001197912306,-0.035769001197912306,-0.009719151574764141,100.6,Daiwa Securities Co. Ltd.,467,1,-100.6,0.506900226425189,-0.4806657524977377,-0.4821961289788863,-0.15198721835047835,0.5,-0.07599360917523917
Jasper Hellweg,5,0.035597244525127233,-0.035597244525127233,-0.001825579754675934,173.2,Argus Research,376,1,-173.2,0.5393724993059246,1.1736528003177784,-2.5043280006010016,-0.26376756699243287,0.3333333333333333,-0.08792252233081095
Evan David Seigerman,11,0.04352838951789179,-0.04352838951789179,-0.00996005732112012,49.45454545454545,BMO Capital Markets,181,1,-49.45454545454545,-0.9600877562150062,-0.5311542835151334,0.9423610848635905,-0.1829603182888497,0.5238095238095238,-0.09583635719892128
Joon Lee,6,0.03692905453141209,-0.03692905453141209,-0.011989506120912952,87.5,Truist Securities,852,1,-87.5,0.2875808381837224,-0.9564819904148658,-0.11732109429225132,-0.26207408217446493,0.375,-0.09827778081542435
Hartaj Singh,5,0.04357112514129558,-0.04357112514129558,-0.010764414943785293,71.8,Oppenheimer,498,1,-71.8,-0.9681673423084833,-0.699729900308433,0.3199718862100519,-0.4493084521356215,0.3333333333333333,-0.14976948404520715
Whitney Ijem,3,0.04799996478754807,-0.04799996478754807,-0.017190282244021242,33.0,Canaccord Genuity,466,1,-33.0,-1.8054826396191903,-2.046449957464015,1.4006704622284827,-0.8170873782849076,0.23076923076923078,-0.18855862575805563
Christopher Raymond,10,0.04136189132819288,-0.04136189132819288,-0.01019644862022724,86.4,Raymond James,402,2,-86.4,-0.55049015938943,-0.5806966859598482,-0.08668273260100731,-0.4059565259834285,0.5,-0.20297826299171426
David Risinger,12,0.03955617647635242,-0.03955617647635242,-0.009868041477849252,100.0,Leerink Partners,1079,1,-100.0,-0.2091021686757655,-0.5118697922676388,-0.4654842953291169,-0.39548541875750703,0.5454545454545454,-0.21571931932227656
Naz Rahman,11,0.03925698147067147,-0.03925698147067147,-0.010216076846251445,102.63636363636364,Maxim Group,1063,1,-102.63636363636364,-0.15253643698403335,-0.5848103292142319,-0.5389150795478014,-0.42542061524868896,0.5238095238095238,-0.22283936989217043
Mohit Bansal,12,0.044059925844815745,-0.044059925844815745,-0.011398316480762513,64.33333333333333,Wells Fargo Securities,596,1,-64.33333333333333,-1.0605798790188574,-0.8325816811221494,0.5279413716294064,-0.4550733961705335,0.5454545454545454,-0.24822185245665462
Olivia Brayer Saunders,7,0.04450318669666511,-0.04450318669666511,-0.011468413367417258,81.85714285714286,Cantor Fitzgerald,1190,1,-81.85714285714286,-1.1443826629526805,-0.8472724425075643,0.039849722175819315,-0.6506017944281418,0.4117647058823529,-0.26789485652923484
Joseph Stringer,12,0.04415077330870407,-0.04415077330870407,-0.009979195861350876,121.91666666666667,Needham,477,1,-121.91666666666667,-1.077755477439979,-0.5351652994277234,-1.075930441147088,-0.8962837393382634,0.5454545454545454,-0.48888203963905275
Myles R. Minter,11,0.045139168710646535,-0.045139168710646535,-0.01496607831954961,87.0,William Blair,198,1,-87.0,-1.2646212607921206,-1.580305871951991,-0.1033945662507767,-0.9827738996649628,0.5238095238095238,-0.5147863283959329
Phil Nadeau,12,0.04164834328076917,-0.04164834328076917,-0.010189553281466555,148.16666666666666,TD Cowen,917,1,-148.16666666666666,-0.6046466927016262,-0.5792515750392485,-1.8070731633245054,-0.9969904770217933,0.5454545454545454,-0.5438129874664327
