analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_factor_obs,r_squared,factor_alpha_z,partial_reliability_score_with_factor_raw,partial_reliability_score_with_factor
Greg Harrison,4,0.037439415814446035,-0.037439415814446035,-0.0015364497247104534,9.5,Scotiabank GBM,810,1,-9.5,0.1910920637931133,1.2342480775445912,2.0552172801777897,1.1601858071718314,0.2857142857142857,0.3314816591919518,,,,,,,,,,4,,,1.1601858071718314,0.3314816591919518
Joon Lee,6,0.03692905453141209,-0.03692905453141209,-0.011989506120912952,87.5,Truist Securities,852,1,-87.5,0.2875808381837224,-0.9564819904148658,-0.11732109429225132,-0.26207408217446493,0.375,-0.09827778081542435,0.10055473036446391,1.0645748551990126,0.40221892145785565,-0.01176618538058591,0.009197399313682079,-0.0017996405310395976,0.00941078046669704,,,6,0.707761610113653,3.3896234351459458,0.6508502971556378,0.24406886143336418
Cory Kasimov,3,0.033931614193530774,-0.033931614193530774,-0.006149770421614625,32.0,Evercore ISI,1772,1,-32.0,0.8542761462443561,0.26739781090685827,1.4285235183114318,0.8500658251542154,0.23076923076923078,0.19616903657404972,,,,,,,,,,3,,,0.8500658251542154,0.19616903657404972
Robyn Karnauskas,3,0.033020551899116485,-0.033020551899116485,-0.003336499738601224,62.0,Truist Securities,852,1,-62.0,1.026521351952259,0.8569972965487133,0.5929318358229545,0.8254834947746422,0.23076923076923078,0.19049619110184052,,,,,,,,,,3,,,0.8254834947746422,0.19049619110184052
Danielle Brill,5,0.03742788271122298,-0.03742788271122298,-0.0037566212234967345,59.4,Raymond James,402,1,-59.4,0.19327250935571108,0.7689490995170075,0.6653497816386226,0.5425237968371137,0.3333333333333333,0.18084126561237124,,,,,,,,,,5,,,0.5425237968371137,0.18084126561237124
Debjit Chattopadhyay,4,0.02329685651574235,-0.02329685651574235,-0.011817497280136233,90.25,Guggenheim Securities,1515,1,-90.25,2.8648807284941347,-0.9204327312162542,-0.19391699852036176,0.583510332919173,0.2857142857142857,0.16671723797690655,,,,,,,,,,4,,,0.583510332919173,0.16671723797690655
Louise Chen,2,0.031117594789379595,-0.031117594789379595,-0.00045636249282693386,84.5,Scotiabank GBM,810,1,-84.5,1.3862939392160856,1.4606105389358772,-0.033761926043403584,0.9377141840361864,0.16666666666666666,0.1562856973393644,,,,,,,,,,2,,,0.9377141840361864,0.1562856973393644
Michael Yee,3,0.03614399504394448,-0.03614399504394448,-0.0027315966703306033,76.66666666666667,Jefferies,512,1,-76.66666666666667,0.43600398525154477,0.9837716379119538,0.1844203466063654,0.534731989923288,0.23076923076923078,0.12339968998229722,,,,,,,,,,3,,,0.534731989923288,0.12339968998229722
Jay Olson,7,0.03518496771265687,-0.03518496771265687,-0.0024538301689227236,78.42857142857143,Oppenheimer,498,1,-78.42857142857143,0.6173174486336866,1.0419853701871582,0.1353459144602168,0.5982162444270205,0.4117647058823529,0.24632433594053785,0.03583299038170781,7.654827363298913,0.14333196152683125,-0.00014755689470158864,-9.614771028724926e-05,-0.0002430899299192073,0.00014818950094296694,,,7,0.14038543327806685,-0.6932584033585171,0.27534758248063607,0.11337841631555602
Akash Tewari,1,0.033689603351700896,-0.033689603351700896,,53.0,Jefferies,512,1,-53.0,0.9000306544597674,,0.8436093405694977,0.8718199975146326,0.09090909090909091,0.07925636341042115,,,,,,,,,,1,,,0.8718199975146326,0.07925636341042115
Paul Matteis,5,0.0370848384694639,-0.0370848384694639,-0.002846483898568103,102.8,Stifel Nicolaus,548,1,-102.8,0.2581283664699503,0.959693808826879,-0.5434728523613748,0.22478310764515155,0.3333333333333333,0.07492770254838385,,,,,,,,,,5,,,0.22478310764515155,0.07492770254838385
Brian Abrahams,12,0.03658216938951223,-0.03658216938951223,-0.009605035088389625,44.75,RBC Capital Markets,1269,1,-44.75,0.3531628549018747,-0.45674945390765637,1.073397053253829,0.32327015141601584,0.5454545454545454,0.176329173499645,0.038332361619271754,7.975146064776107,0.15332944647708702,-0.0004887341451773697,-0.0005579307748964657,-0.0008914704487637047,7.066576930766542e-05,,,12,0.28594797167208685,-0.5355890107209107,0.10855536088178419,0.059212015026427735
Carter Gould,5,0.035768295816899796,-0.035768295816899796,-0.002118203641916137,128.4,Cantor Fitzgerald,1190,1,-128.4,0.5070335855800427,1.1123252876667247,-1.2565110880848758,0.12094926172063054,0.3333333333333333,0.04031642057354351,,,,,,,,,,5,,,0.12094926172063054,0.04031642057354351
Liisa A. Bayko,2,0.037931218036885456,-0.037931218036885456,-0.0008302998052991638,125.5,Evercore ISI,1772,1,-125.5,0.09811206067912076,1.3822415258056628,-1.1757372254443228,0.10153878701348695,0.16666666666666666,0.01692313116891449,,,,,,,,,,2,,,0.10153878701348695,0.01692313116891449
Andrew S. Fein,8,0.04491440125534715,-0.04491440125534715,-0.0031229887400485365,77.0,HC Wainwright,536,1,-77.0,-1.2221267828493434,0.9017444926452873,0.17513599457871576,-0.048415431875113435,0.4444444444444444,-0.021517969722272635,0.043160306789704325,18.99256978374575,0.1726412271588173,0.00040420036257600385,0.00023130142447094193,0.0001468153392477311,3.701714243233744e-05,,,8,0.7083028158236002,-0.2310247382074345,-0.0940677584581937,-0.04180789264808609
Evan David Seigerman,11,0.04352838951789179,-0.04352838951789179,-0.00996005732112012,49.45454545454545,BMO Capital Markets,181,1,-49.45454545454545,-0.9600877562150062,-0.5311542835151334,0.9423610848635905,-0.1829603182888497,0.5238095238095238,-0.09583635719892128,0.045628608343853405,8.222525751017304,0.18251443337541362,-0.0003152058889181928,-0.0008531850355542989,-0.0009390601852005912,-0.0002769522056628203,,,11,0.3481608014588,-0.0753153337619938,-0.15604907215713573,-0.0817399901775473
Jasper Hellweg,5,0.035597244525127233,-0.035597244525127233,-0.001825579754675934,173.2,Argus Research,376,1,-173.2,0.5393724993059246,1.1736528003177784,-2.5043280006010016,-0.26376756699243287,0.3333333333333333,-0.08792252233081095,,,,,,,,,,5,,,-0.26376756699243287,-0.08792252233081095
Narumi Nakagiri,10,0.035769001197912306,-0.035769001197912306,-0.009719151574764141,100.6,Daiwa Securities Co. Ltd.,467,1,-100.6,0.506900226425189,-0.4806657524977377,-0.4821961289788863,-0.15198721835047835,0.5,-0.07599360917523917,0.03759927682928861,7.010321160397625,0.15039710731715444,-0.0004238982660498212,-0.0008351922985264913,-0.000681761283486565,-8.064593498498747e-05,,,10,0.29284370019346306,-0.5818346551659378,-0.2594490775543432,-0.1297245387771716
Hartaj Singh,5,0.04357112514129558,-0.04357112514129558,-0.010764414943785293,71.8,Oppenheimer,498,1,-71.8,-0.9681673423084833,-0.699729900308433,0.3199718862100519,-0.4493084521356215,0.3333333333333333,-0.14976948404520715,,,,,,,,,,5,,,-0.4493084521356215,-0.14976948404520715
Christopher Raymond,10,0.04136189132819288,-0.04136189132819288,-0.01019644862022724,86.4,Raymond James,402,2,-86.4,-0.55049015938943,-0.5806966859598482,-0.08668273260100731,-0.4059565259834285,0.5,-0.20297826299171426,0.04429967103560269,9.343073849077879,0.17719868414241077,-0.0005089378713740957,-0.0006873814437774946,-0.0012117041550146054,-0.00012489532654631378,,,10,0.4978741970706593,-0.1591495137734315,-0.34425477293092926,-0.17212738646546463
Whitney Ijem,3,0.04799996478754807,-0.04799996478754807,-0.017190282244021242,33.0,Canaccord Genuity,466,1,-33.0,-1.8054826396191903,-2.046449957464015,1.4006704622284827,-0.8170873782849076,0.23076923076923078,-0.18855862575805563,,,,,,,,,,3,,,-0.8170873782849076,-0.18855862575805563
Mohit Bansal,12,0.044059925844815745,-0.044059925844815745,-0.011398316480762513,64.33333333333333,Wells Fargo Securities,596,1,-64.33333333333333,-1.0605798790188574,-0.8325816811221494,0.5279413716294064,-0.4550733961705335,0.5454545454545454,-0.24822185245665462,0.04568420979576485,8.344181126902058,0.1827368391830594,-0.00027976253381205643,-0.0007970365105471072,-0.0011035325322467043,-0.00030222883268260763,,,12,0.34210395751489153,-0.07180779273691916,-0.3592569953121299,-0.19595836107934356
Olivia Brayer Saunders,7,0.04450318669666511,-0.04450318669666511,-0.011468413367417258,81.85714285714286,Cantor Fitzgerald,1190,1,-81.85714285714286,-1.1443826629526805,-0.8472724425075643,0.039849722175819315,-0.6506017944281418,0.4117647058823529,-0.26789485652923484,0.04588094275699984,7.213461409716119,0.18352377102799936,-0.00021400652829353065,-0.0021984109023291186,-0.001108795887181435,-0.002147076164018067,,,7,0.729241956133362,-0.05939716479836973,-0.5028006370206988,-0.20703555642028773
David Risinger,12,0.03955617647635242,-0.03955617647635242,-0.009868041477849252,100.0,Leerink Partners,1079,1,-100.0,-0.2091021686757655,-0.5118697922676388,-0.4654842953291169,-0.39548541875750703,0.5454545454545454,-0.21571931932227656,0.04092521036373112,8.421703764667647,0.16370084145492447,-0.00035266470334228403,-0.0006975523346832096,-0.0009061091957826375,-6.878430121763833e-05,,,12,0.3084972782782788,-0.3720227182886807,-0.3896197436403005,-0.21251986016743662
Naz Rahman,11,0.03925698147067147,-0.03925698147067147,-0.010216076846251445,102.63636363636364,Maxim Group,1063,1,-102.63636363636364,-0.15253643698403335,-0.5848103292142319,-0.5389150795478014,-0.42542061524868896,0.5238095238095238,-0.22283936989217043,0.04117530088296186,7.219519753052425,0.16470120353184745,-0.0004380209967321801,-0.0005070758531871773,-0.0009629513638245871,9.494062908253857e-05,,,11,0.29253915917850504,-0.3562461022826617,-0.40812698700718214,-0.2137808027180478
Joseph Stringer,12,0.04415077330870407,-0.04415077330870407,-0.009979195861350876,121.91666666666667,Needham,477,1,-121.91666666666667,-1.077755477439979,-0.5351652994277234,-1.075930441147088,-0.8962837393382634,0.5454545454545454,-0.48888203963905275,0.047148138486416885,10.110142629168003,0.18859255394566754,-0.0006483922490193969,-0.0005055490979110579,-0.0011572765065615293,-0.00013040923378440116,,,12,0.37727349597144055,0.020542132736673976,-0.6670772713195291,-0.3638603298106522
Myles R. Minter,11,0.045139168710646535,-0.045139168710646535,-0.01496607831954961,87.0,William Blair,198,1,-87.0,-1.2646212607921206,-1.580305871951991,-0.1033945662507767,-0.9827738996649628,0.5238095238095238,-0.5147863283959329,0.04564835132350605,5.106363252057858,0.1825934052940242,-0.00021286569324427168,-0.000780762121177857,-0.0007398884135808395,-0.0002249116711675649,,,11,0.11864681858037274,-0.07406987507866372,-0.755597893518388,-0.39578937279534615
Phil Nadeau,12,0.04164834328076917,-0.04164834328076917,-0.010189553281466555,148.16666666666666,TD Cowen,917,1,-148.16666666666666,-0.6046466927016262,-0.5792515750392485,-1.8070731633245054,-0.9969904770217933,0.5454545454545454,-0.5438129874664327,0.04364497265213892,8.988409882532826,0.1745798906085557,-0.00042605586198455497,-0.000695650367150925,-0.0010427906233972152,-0.00020111821186895927,,,12,0.3524604003139511,-0.20045025970910385,-0.797855422693621,-0.43519386692379325
