firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
VRTX-US,2026-03-31,2026Q1,2026,20260504,4.0242,2834
VRTX-US,2025-12-31,2025Q4,2025,20260212,4.6509,2834
VRTX-US,2025-09-30,2025Q3,2025,20251103,4.2038,2834
VRTX-US,2025-06-30,2025Q2,2025,20250804,3.9896,2834
VRTX-US,2025-03-31,2025Q1,2025,20250505,2.4906,2834
VRTX-US,2024-12-31,2024Q4,2024,20250210,3.5048,2834
VRTX-US,2024-09-30,2024Q3,2024,20241104,4.0054,2834
VRTX-US,2024-06-28,2024Q2,2024,20240801,-13.9233,2834
VRTX-US,2024-03-29,2024Q1,2024,20240506,4.2114,2834
VRTX-US,2023-12-29,2023Q4,2023,20240205,3.7133,2834
VRTX-US,2023-09-29,2023Q3,2023,20231106,3.9728,2834
VRTX-US,2023-06-30,2023Q2,2023,20230801,3.5165,2834
