analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Myles R. Minter,William Blair,198,VRTX-US,2026Q1,2026,0.0350102463682317,111709.71,2834,20260213,77
Paul Matteis,Stifel Nicolaus,548,VRTX-US,2026Q1,2026,0.033689603351700896,111709.71,2834,20260213,77
Whitney Ijem,Canaccord Genuity,466,VRTX-US,2026Q1,2026,0.03537456168313675,111709.71,2834,20260429,2
Brian Abrahams,RBC Capital Markets,1269,VRTX-US,2026Q1,2026,0.033325288036795846,111709.71,2834,20260408,23
Carter Gould,Cantor Fitzgerald,1190,VRTX-US,2026Q1,2026,0.03414499749533221,111709.71,2834,20260407,24
Louise Chen,Scotiabank GBM,810,VRTX-US,2026Q1,2026,0.03066123229655266,111709.71,2834,20260213,77
Jay Olson,Oppenheimer,498,VRTX-US,2026Q1,2026,0.03341636686552211,111709.71,2834,20260424,7
Steve Chesney,Rothschild & Co Redburn,1652,VRTX-US,2026Q1,2026,,111709.71,2834,20260216,74
William Pickering,Bernstein Research,1140,VRTX-US,2026Q1,2026,,111709.71,2834,20260213,77
Joseph Stringer,Needham,477,VRTX-US,2026Q1,2026,0.038881096589097865,111709.71,2834,20260213,77
Andrew S. Fein,HC Wainwright,536,VRTX-US,2026Q1,2026,0.042433170909422106,111709.71,2834,20260213,77
Akash Tewari,Jefferies,512,VRTX-US,2026Q1,2026,0.033689603351700896,111709.71,2834,20260309,53
Christopher Raymond,Raymond James,402,VRTX-US,2026Q1,2026,0.03220957238489913,111709.71,2834,20260416,15
Debjit Chattopadhyay,Guggenheim Securities,1515,VRTX-US,2026Q1,2026,0.03353021540142993,111709.71,2834,20260213,77
Mohit Bansal,Wells Fargo Securities,596,VRTX-US,2026Q1,2026,0.03402660412587094,111709.71,2834,20260213,77
Evan David Seigerman,BMO Capital Markets,181,VRTX-US,2026Q1,2026,0.03494193724668701,111709.71,2834,20260410,21
Cory Kasimov,Evercore ISI,1772,VRTX-US,2026Q1,2026,0.030137529031376658,111709.71,2834,20260408,23
Jasper Hellweg,Argus Research,376,VRTX-US,2026Q1,2026,0.0350102463682317,111709.71,2834,20260318,44
Naz Rahman,Maxim Group,1063,VRTX-US,2026Q1,2026,0.03378068218042716,111709.71,2834,20260213,77
Phil Nadeau,TD Cowen,917,VRTX-US,2026Q1,2026,0.03420852497836877,111709.71,2834,20260213,77
Narumi Nakagiri,Daiwa Securities Co. Ltd.,467,VRTX-US,2026Q1,2026,0.034236076324058465,111709.71,2834,20260224,66
David Risinger,Leerink Partners,1079,VRTX-US,2026Q1,2026,0.03384899130197186,111709.71,2834,20260213,77
Brian Abrahams,RBC Capital Markets,1269,VRTX-US,2025Q4,2025,0.03212054322233434,120688.97,2834,20260107,35
William Pickering,Bernstein Research,1140,VRTX-US,2025Q4,2025,,120688.97,2834,20260108,34
Myles R. Minter,William Blair,198,VRTX-US,2025Q4,2025,0.03392848133198789,120688.97,2834,20251104,99
Louise Chen,Scotiabank GBM,810,VRTX-US,2025Q4,2025,0.03157395728220653,120688.97,2834,20251111,92
Joseph Stringer,Needham,477,VRTX-US,2025Q4,2025,0.035231878573831144,120688.97,2834,20251104,99
Mohit Bansal,Wells Fargo Securities,596,VRTX-US,2025Q4,2025,0.033634165825765214,120688.97,2834,20251209,64
Evan David Seigerman,BMO Capital Markets,181,VRTX-US,2025Q4,2025,0.03397052640430541,120688.97,2834,20260123,19
Cory Kasimov,Evercore ISI,1772,VRTX-US,2025Q4,2025,0.02905125294315506,120688.97,2834,20260121,21
Debjit Chattopadhyay,Guggenheim Securities,1515,VRTX-US,2025Q4,2025,0.0032986461486713753,120688.97,2834,20251104,99
Jay Olson,Oppenheimer,498,VRTX-US,2025Q4,2025,0.03132168684830138,120688.97,2834,20251105,98
Carter Gould,Cantor Fitzgerald,1190,VRTX-US,2025Q4,2025,0.03279326437941473,120688.97,2834,20250417,300
Phil Nadeau,TD Cowen,917,VRTX-US,2025Q4,2025,0.03257652203161789,120688.97,2834,20250211,365
Christopher Raymond,Raymond James,402,VRTX-US,2025Q4,2025,0.03241485872855701,120688.97,2834,20251104,99
David Risinger,Leerink Partners,1079,VRTX-US,2025Q4,2025,0.03077510090817356,120688.97,2834,20251104,99
Paul Matteis,Stifel Nicolaus,548,VRTX-US,2025Q4,2025,0.033760301042717794,120688.97,2834,20251104,99
Jasper Hellweg,Argus Research,376,VRTX-US,2025Q4,2025,0.03279326437941473,120688.97,2834,20250225,351
Steve Chesney,Rothschild & Co Redburn,1652,VRTX-US,2025Q4,2025,,120688.97,2834,20251013,121
Narumi Nakagiri,Daiwa Securities Co. Ltd.,467,VRTX-US,2025Q4,2025,0.03243588126471577,120688.97,2834,20251111,92
Naz Rahman,Maxim Group,1063,VRTX-US,2025Q4,2025,0.029261478304742683,120688.97,2834,20250506,281
Joon Lee,Truist Securities,852,VRTX-US,2025Q4,2025,0.03212054322233434,120688.97,2834,20251104,99
Andrew S. Fein,HC Wainwright,536,VRTX-US,2025Q4,2025,0.04267385637403296,120688.97,2834,20251104,99
Joseph Stringer,Needham,477,VRTX-US,2025Q3,2025,0.042486757337151036,107453.33,2834,20250107,297
William Pickering,Bernstein Research,1140,VRTX-US,2025Q3,2025,,107453.33,2834,20251024,7
Evan David Seigerman,BMO Capital Markets,181,VRTX-US,2025Q3,2025,0.03981436411357671,107453.33,2834,20250805,87
Andrew S. Fein,HC Wainwright,536,VRTX-US,2025Q3,2025,0.044109281794321165,107453.33,2834,20250805,87
Christopher Raymond,Raymond James,402,VRTX-US,2025Q3,2025,0.03671247912192794,107453.33,2834,20251017,14
Steve Chesney,Rothschild & Co Redburn,1652,VRTX-US,2025Q3,2025,,107453.33,2834,20250820,72
Mohit Bansal,Wells Fargo Securities,596,VRTX-US,2025Q3,2025,0.03902696253877355,107453.33,2834,20250805,87
Myles R. Minter,William Blair,198,VRTX-US,2025Q3,2025,0.0390985445001193,107453.33,2834,20250506,178
