firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
VRTX-US,2026-03-31,2026Q1,2026,20260504,20260420,439.18,111709.71,111709.71,
VRTX-US,2025-12-31,2025Q4,2025,20260212,20260129,475.68,120688.97,120688.97,
VRTX-US,2025-09-30,2025Q3,2025,20251103,20251020,419.1,107453.33,107453.33,
VRTX-US,2025-06-30,2025Q2,2025,20250804,20250721,458.49,117738.94,117738.94,
VRTX-US,2025-03-31,2025Q1,2025,20250505,20250421,477.52,122761.24,122761.24,
VRTX-US,2024-12-31,2024Q4,2024,20250210,20250127,443.88,114312.11,114312.11,
VRTX-US,2024-09-30,2024Q3,2024,20241104,20241021,478.09,123396.08,123396.08,
VRTX-US,2024-06-28,2024Q2,2024,20240801,20240718,488.12,125961.016,125961.016,
VRTX-US,2024-03-29,2024Q1,2024,20240506,20240422,399.92,103302.47,103302.47,
VRTX-US,2023-12-29,2023Q4,2023,20240205,20240122,440.11,113408.945,113408.945,
VRTX-US,2023-09-29,2023Q3,2023,20231106,20231023,367.66,94891.14,94891.14,
VRTX-US,2023-06-30,2023Q2,2023,20230801,20230718,358.98,92455.875,92455.875,
