analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score
Trevor Williams,5,0.030240249513008827,-0.030240249513008827,-0.0009023471168992173,82.2,Jefferies,512,1,-82.2,0.6021963729511542,0.6259332875767583,0.6069394439733065,0.6116897015004062,0.3333333333333333,0.20389656716680207
Adam Frisch,5,0.02950728512762853,-0.02950728512762853,-0.0012580570389552263,80.0,Evercore ISI,1772,1,-80.0,0.9037437714860544,0.2929058448278426,0.6254763531631771,0.6073753231590248,0.3333333333333333,0.20245844105300825
Gus Gala,7,0.030752195889244376,-0.030752195889244376,-0.0015878062640160267,72.85714285714286,"Monness, Crespi, Hardt",1080,1,-72.85714285714286,0.3915775475042651,-0.015816331196091167,0.6856611232601594,0.3538074465227778,0.4117647058823529,0.1456854191564379
Sanjay Sakhrani,6,0.03047028117331027,-0.03047028117331027,-0.00131254702521241,114.66666666666667,Keefe Bruyette & Woods,525,1,-114.66666666666667,0.5075595118319414,0.241890509990497,0.33337960229248914,0.3609432080383092,0.375,0.13535370301436594
Alex Markgraff,3,0.030625003885077856,-0.030625003885077856,-0.00106385034152178,62.333333333333336,KeyBanc Capital Markets,618,1,-62.333333333333336,0.4439053532419942,0.4747286048935271,0.7743333512030467,0.5643224364461893,0.23076923076923078,0.13022825456450524
Matthew Coad,4,0.030325844734709725,-0.030325844734709725,-0.0007630466654873442,150.0,Truist Securities,852,1,-150.0,0.5669818155377926,0.756350996588994,0.03566560621274966,0.45299947277984537,0.2857142857142857,0.12942842079424152
Ramsey El-Assal,2,0.030447110940358443,-0.030447110940358443,-0.0006512607717525567,49.5,Cantor Fitzgerald,1190,1,-49.5,0.5170919306089411,0.8610086628995687,0.8824653214772918,0.7535219716619338,0.16666666666666666,0.12558699527698897
Yuanyuan Kou,2,0.0300817675569822,-0.0300817675569822,-0.0009021813659845623,50.5,Haitong International Research,2898,1,-50.5,0.6673971146348808,0.6260884690879227,0.8740394536637143,0.7225083457955059,0.16666666666666666,0.12041805763258431
Andrew Dusing,2,0.030971867331419177,-0.030971867331419177,-0.000681455082429297,50.5,Cleveland Research Company,2295,1,-50.5,0.30120296281574443,0.8327397464405619,0.8740394536637143,0.6693273876400069,0.16666666666666666,0.11155456460666781
Madison Suhr,2,0.030375504074213355,-0.030375504074213355,-0.0008834482975629918,89.0,Raymond James,402,1,-89.0,0.546551566894113,0.6436269899006588,0.5496435428409792,0.5799406998785837,0.16666666666666666,0.09665678331309727
Irene Weng,2,0.03094789052599528,-0.03094789052599528,-0.0003816276224807569,134.5,Fubon Securities,1084,1,-134.5,0.3110672119456691,1.1134481722146483,0.16626655732320145,0.5302606471611729,0.16666666666666666,0.08837677452686216
Steve Biggar,6,0.030594642534723323,-0.030594642534723323,-0.001364352195234916,149.5,Argus Research,376,1,-149.5,0.45639625511666837,0.19338878927928374,0.03987854011953843,0.2298878615051635,0.375,0.08620794806443631
