analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_factor_obs,r_squared,factor_alpha_z,partial_reliability_score_with_factor_raw,partial_reliability_score_with_factor
Trevor Williams,5,0.030240249513008827,-0.030240249513008827,-0.0009023471168992173,82.2,Jefferies,512,1,-82.2,0.6021963729511542,0.6259332875767583,0.6069394439733065,0.6116897015004062,0.3333333333333333,0.20389656716680207,,,,,,,,,,5,,,0.6116897015004062,0.20389656716680207
Adam Frisch,5,0.02950728512762853,-0.02950728512762853,-0.0012580570389552263,80.0,Evercore ISI,1772,1,-80.0,0.9037437714860544,0.2929058448278426,0.6254763531631771,0.6073753231590248,0.3333333333333333,0.20245844105300825,,,,,,,,,,5,,,0.6073753231590248,0.20245844105300825
Alex Markgraff,3,0.030625003885077856,-0.030625003885077856,-0.00106385034152178,62.333333333333336,KeyBanc Capital Markets,618,1,-62.333333333333336,0.4439053532419942,0.4747286048935271,0.7743333512030467,0.5643224364461893,0.23076923076923078,0.13022825456450524,,,,,,,,,,3,,,0.5643224364461893,0.13022825456450524
Matthew Coad,4,0.030325844734709725,-0.030325844734709725,-0.0007630466654873442,150.0,Truist Securities,852,1,-150.0,0.5669818155377926,0.756350996588994,0.03566560621274966,0.45299947277984537,0.2857142857142857,0.12942842079424152,,,,,,,,,,4,,,0.45299947277984537,0.12942842079424152
Ramsey El-Assal,2,0.030447110940358443,-0.030447110940358443,-0.0006512607717525567,49.5,Cantor Fitzgerald,1190,1,-49.5,0.5170919306089411,0.8610086628995687,0.8824653214772918,0.7535219716619338,0.16666666666666666,0.12558699527698897,,,,,,,,,,2,,,0.7535219716619338,0.12558699527698897
Yuanyuan Kou,2,0.0300817675569822,-0.0300817675569822,-0.0009021813659845623,50.5,Haitong International Research,2898,1,-50.5,0.6673971146348808,0.6260884690879227,0.8740394536637143,0.7225083457955059,0.16666666666666666,0.12041805763258431,,,,,,,,,,2,,,0.7225083457955059,0.12041805763258431
Andrew Dusing,2,0.030971867331419177,-0.030971867331419177,-0.000681455082429297,50.5,Cleveland Research Company,2295,1,-50.5,0.30120296281574443,0.8327397464405619,0.8740394536637143,0.6693273876400069,0.16666666666666666,0.11155456460666781,,,,,,,,,,2,,,0.6693273876400069,0.11155456460666781
Madison Suhr,2,0.030375504074213355,-0.030375504074213355,-0.0008834482975629918,89.0,Raymond James,402,1,-89.0,0.546551566894113,0.6436269899006588,0.5496435428409792,0.5799406998785837,0.16666666666666666,0.09665678331309727,,,,,,,,,,2,,,0.5799406998785837,0.09665678331309727
Sanjay Sakhrani,6,0.03047028117331027,-0.03047028117331027,-0.00131254702521241,114.66666666666667,Keefe Bruyette & Woods,525,1,-114.66666666666667,0.5075595118319414,0.241890509990497,0.33337960229248914,0.3609432080383092,0.375,0.13535370301436594,0.0318821635471623,16.825267670889527,0.1275286541886492,-0.00040201065639427716,8.758878032956533e-05,-0.00023422752173661799,-3.009950417396214e-05,,,6,0.7207517031109851,-0.06735347771949265,0.25386903659885873,0.09520088872457202
Jeff Cantwell,7,0.031020327904040985,-0.031020327904040985,-0.0017536833360198693,103.28571428571429,Seaport Research Partners,1321,1,-103.28571428571429,0.2812658964355877,-0.17111595506044674,0.4292740026470144,0.17980798134071843,0.4117647058823529,0.07403858055206053,0.03235773750690896,10.242001098712409,0.12943095002763583,-0.00033561497339554443,0.00023972562118636828,-0.00018095700516704283,-6.94250809716782e-05,,,7,0.23337712570643587,0.3624538241490094,0.22546944204279118,0.09284035848820812
Dan Dolev,8,0.031713940829791204,-0.031713940829791204,-0.002603247553500559,113.625,Mizuho Securities USA,1802,1,-113.625,-0.004091997511249741,-0.9665061909111877,0.34215654793163247,-0.20948054683026837,0.4444444444444444,-0.09310246525789705,0.03353463726657451,9.88791092755538,0.13413854906629805,-0.0004571811107861384,7.114715479183575e-05,-0.0004692810171251163,-3.69019925214339e-05,,,8,0.32690269302823305,1.4260951356728921,0.19941337379552176,0.088628166131343
Irene Weng,2,0.03094789052599528,-0.03094789052599528,-0.0003816276224807569,134.5,Fubon Securities,1084,1,-134.5,0.3110672119456691,1.1134481722146483,0.16626655732320145,0.5302606471611729,0.16666666666666666,0.08837677452686216,,,,,,,,,,2,,,0.5302606471611729,0.08837677452686216
Mikhail Paramonov,4,0.02986874477155731,-0.02986874477155731,-0.000840241960864596,221.0,Freedom Broker,3713,1,-221.0,0.7550363888681091,0.6840781972722366,-0.5625710085512552,0.2921811925296968,0.2857142857142857,0.08348034072277051,,,,,,,,,,4,,,0.2921811925296968,0.08348034072277051
Hui Ting Tang,1,0.029043573109822612,-0.029043573109822612,,89.0,Mega Intl Invst Serv,1175,1,-89.0,1.0945185968770492,,0.5496435428409792,0.8220810698590142,0.09090909090909091,0.07473464271445583,,,,,,,,,,1,,,0.8220810698590142,0.07473464271445583
Arvind Ramnani,2,0.03144040010312013,-0.03144040010312013,-0.0004266164644782071,135.5,Piper Sandler Companies,570,1,-135.5,0.10844484079394426,1.0713281241821204,0.1578406895096239,0.4458712181618962,0.16666666666666666,0.07431186969364936,,,,,,,,,,2,,,0.4458712181618962,0.07431186969364936
Andrew Bauch,1,0.030873558788579506,-0.030873558788579506,,7.0,BMO Capital Markets,181,1,-7.0,0.34164788202103225,,1.240564703554337,0.7911062927876846,0.09090909090909091,0.07191875388978951,,,,,,,,,,1,,,0.7911062927876846,0.07191875388978951
Gus Gala,7,0.030752195889244376,-0.030752195889244376,-0.0015878062640160267,72.85714285714286,"Monness, Crespi, Hardt",1080,1,-72.85714285714286,0.3915775475042651,-0.015816331196091167,0.6856611232601594,0.3538074465227778,0.4117647058823529,0.1456854191564379,0.03154974727089608,11.89644595309592,0.12619898908358432,-0.00021490892589928453,0.0002861762761290785,-1.4207369397272856e-05,-0.0001409593895574531,,,7,0.34103895665731354,-0.3677798149295232,0.1734106311597025,0.0714043775363481
Rayna Kumar,7,0.031593349309858174,-0.031593349309858174,-0.0021434174522843817,104.42857142857143,Oppenheimer,498,1,-104.42857142857143,0.045520316328947964,-0.5359979784276286,0.41964443943149726,-0.023611074222394463,0.4117647058823529,-0.009722207032750662,0.0326989310456716,7.79822253163544,0.1307957241826864,-0.0002697948513861984,0.00020161727628010596,-0.00014614824102881444,-7.168310356268184e-05,,,7,0.09601795937341995,0.6708127477298084,0.14999488126565624,0.06176259816821139
Jason Kupferberg,3,0.03051285578341492,-0.03051285578341492,-0.0012134881669570612,180.66666666666666,Wells Fargo Securities,596,1,-180.66666666666666,0.4900439774120336,0.33463270299913533,-0.22272767340362795,0.20064966900251366,0.23076923076923078,0.04630376976981085,,,,,,,,,,3,,,0.20064966900251366,0.04630376976981085
Steve Biggar,6,0.030594642534723323,-0.030594642534723323,-0.001364352195234916,149.5,Argus Research,376,1,-149.5,0.45639625511666837,0.19338878927928374,0.03987854011953843,0.2298878615051635,0.375,0.08620794806443631,0.03172502063130399,25.269193164539747,0.12690008252521595,-0.0003784519015808351,0.00013355520244337808,-0.00016317890946202727,2.617883720080241e-05,,,6,0.8865467977327138,-0.20937381186224066,0.12007244316331245,0.04502716618624217
Dominick Gabriele,6,0.031056745775542387,-0.031056745775542387,-0.001326189406462918,171.0,Loop Capital Markets,1009,2,-171.0,0.2662832934190326,0.22911805957752515,-0.14127761787237855,0.11804124504139306,0.375,0.044265466890522395,0.032095489696799005,15.096271634432513,0.12838195878719602,-0.0003340421721361178,-2.9063400221532025e-05,-0.00022619148874169172,5.768500342912656e-05,,,6,0.6556610339664792,0.12544332057911994,0.11989176392582478,0.04495941147218429
Andrew Schmidt,3,0.030196127418533048,-0.030196127418533048,-0.0008776174819259758,271.6666666666667,KeyBanc Capital Markets,618,1,-271.6666666666667,0.6203485547930849,0.6490859931511503,-0.9894816444391837,0.09331763450168384,0.23076923076923078,0.021534838731157812,,,,,,,,,,3,,,0.09331763450168384,0.021534838731157812
Ze Yu Yao,5,0.031013293901940252,-0.031013293901940252,-0.0014296601244647906,198.2,China International Capital,898,1,-198.2,0.2841597410439643,0.13224533694896692,-0.3704612224016874,0.015314618530414622,0.3333333333333333,0.005104872843471541,,,,,,,,,,5,,,0.015314618530414622,0.005104872843471541
James E. Friedman,7,0.031028506582665906,-0.031028506582665906,-0.001774848075745914,193.42857142857142,Susquehanna Financial Group,974,1,-193.42857142857142,0.27790112276855833,-0.19093108730829342,-0.33025779597690313,-0.08109592017221275,0.4117647058823529,-0.03339243771796995,0.0320411571825549,9.84578085551272,0.1281646287302196,-0.00026822320090813783,0.00023322568197780413,-9.806237740209856e-05,-8.545235927518125e-05,,,7,0.2058708252757806,0.07633947274979407,-0.04173707194171104,-0.017185853152469253
Pei Feng Li,1,0.03229667641267378,-0.03229667641267378,,180.0,China International Capital,898,1,-180.0,-0.24383406759939816,,-0.21711042819457635,-0.23047224789698725,0.09090909090909091,-0.02095202253608975,,,,,,,,,,1,,,-0.23047224789698725,-0.02095202253608975
