firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
V-US,2026-03-31,2026Q1,2026,20260428,3.1169,7389
V-US,2025-12-31,2025Q4,2025,20260129,3.0021,7389
V-US,2025-09-30,2025Q3,2025,20251028,2.5918,7389
V-US,2025-06-30,2025Q2,2025,20250729,2.6641,7389
V-US,2025-03-31,2025Q1,2025,20250429,2.2948,7389
V-US,2024-12-31,2024Q4,2024,20250130,2.5511,7389
V-US,2024-09-30,2024Q3,2024,20241029,2.6201,7389
V-US,2024-06-28,2024Q2,2024,20240723,2.3657,7389
V-US,2024-03-29,2024Q1,2024,20240423,2.2526,7389
V-US,2023-12-29,2023Q4,2023,20240125,2.355,7389
V-US,2023-09-29,2023Q3,2023,20231024,2.232,7389
V-US,2023-06-30,2023Q2,2023,20230725,1.9664,7389
