firm,quarter_end,quarter,year,report_date,snapshot_date,analyst,broker,broker_code,estimate_value,revision_date,staleness_days,actual_eps,price_10d_prior,market_cap
V-US,2026-03-31,2026Q1,2026,20260428,20260427,James E. Friedman,Susquehanna Financial Group,974,12.91,20250730,271,3.1169,311.37,523442.22
V-US,2026-03-31,2026Q1,2026,20260428,20260427,Daniel Perlin,RBC Capital Markets,1269,12.8,20250131,451,3.1169,311.37,523442.22
V-US,2026-03-31,2026Q1,2026,20260428,20260427,Gus Gala,"Monness, Crespi, Hardt",1080,12.91,20260102,115,3.1169,311.37,523442.22
V-US,2026-03-31,2026Q1,2026,20260428,20260427,Jason Kupferberg,Wells Fargo Securities,596,13.144406,20260424,3,3.1169,311.37,523442.22
V-US,2026-03-31,2026Q1,2026,20260428,20260427,Andrew Bauch,BMO Capital Markets,181,12.73,20260420,7,3.1169,311.37,523442.22
V-US,2026-03-31,2026Q1,2026,20260428,20260427,Matthew Coad,Truist Securities,852,12.95,20250715,286,3.1169,311.37,523442.22
V-US,2026-03-31,2026Q1,2026,20260428,20260427,Harshita Rawat,Bernstein Research,1140,,20260130,87,3.1169,311.37,523442.22
V-US,2026-03-31,2026Q1,2026,20260428,20260427,Adam Frisch,Evercore ISI,1772,12.9,20260130,87,3.1169,311.37,523442.22
V-US,2026-03-31,2026Q1,2026,20260428,20260427,Ramsey El-Assal,Cantor Fitzgerald,1190,12.8,20260123,94,3.1169,311.37,523442.22
V-US,2026-03-31,2026Q1,2026,20260428,20260427,Andrew Schmidt,KeyBanc Capital Markets,618,12.9,20250430,362,3.1169,311.37,523442.22
V-US,2026-03-31,2026Q1,2026,20260428,20260427,Nate Svensson,Deutsche Bank Research,77,12.86,20240126,822,3.1169,311.37,523442.22
V-US,2026-03-31,2026Q1,2026,20260428,20260427,Dan Dolev,Mizuho Securities USA,1802,12.69,20251030,179,3.1169,311.37,523442.22
V-US,2026-03-31,2026Q1,2026,20260428,20260427,Jeff Cantwell,Seaport Research Partners,1321,12.88,20260130,87,3.1169,311.37,523442.22
V-US,2026-03-31,2026Q1,2026,20260428,20260427,Bryan C. Bergin,TD Cowen,917,12.7983,20251029,180,3.1169,311.37,523442.22
V-US,2026-03-31,2026Q1,2026,20260428,20260427,Rayna Kumar,Oppenheimer,498,12.88,20251015,194,3.1169,311.37,523442.22
V-US,2026-03-31,2026Q1,2026,20260428,20260427,Dominick Gabriele,Loop Capital Markets,1009,12.92,20260327,31,3.1169,311.37,523442.22
V-US,2026-03-31,2026Q1,2026,20260428,20260427,Sanjay Sakhrani,Keefe Bruyette & Woods,525,12.84,20250730,271,3.1169,311.37,523442.22
V-US,2026-03-31,2026Q1,2026,20260428,20260427,Fahed Kunwar,Rothschild & Co Redburn,1652,,20260209,77,3.1169,311.37,523442.22
V-US,2026-03-31,2026Q1,2026,20260428,20260427,Mikhail Paramonov,Freedom Broker,3713,12.85,20250505,357,3.1169,311.37,523442.22
V-US,2026-03-31,2026Q1,2026,20260428,20260427,Ze Yu Yao,China International Capital,898,12.94,20250501,361,3.1169,311.37,523442.22
V-US,2026-03-31,2026Q1,2026,20260428,20260427,Kazuya Nishimura,Daiwa Securities Co. Ltd.,467,12.87,20241101,542,3.1169,311.37,523442.22
V-US,2026-03-31,2026Q1,2026,20260428,20260427,Madison Suhr,Raymond James,402,12.85,20260130,87,3.1169,311.37,523442.22
V-US,2026-03-31,2026Q1,2026,20260428,20260427,Steve Biggar,Argus Research,376,13.2,20260130,87,3.1169,311.37,523442.22
V-US,2026-03-31,2026Q1,2026,20260428,20260427,Andrew W. Jeffrey,William Blair,198,12.66,20241030,544,3.1169,311.37,523442.22
V-US,2026-03-31,2026Q1,2026,20260428,20260427,Andrew Dusing,Cleveland Research Company,2295,12.972795,20260122,95,3.1169,311.37,523442.22
V-US,2025-12-31,2025Q4,2025,20260129,20260128,Fahed Kunwar,Rothschild & Co Redburn,1652,,20260128,0,3.0021,329.17,554905.7
V-US,2025-12-31,2025Q4,2025,20260129,20260128,Harshita Rawat,Bernstein Research,1140,,20250218,344,3.0021,329.17,554905.7
V-US,2025-12-31,2025Q4,2025,20260129,20260128,Ramsey El-Assal,Cantor Fitzgerald,1190,12.81,20260123,5,3.0021,329.17,554905.7
V-US,2025-12-31,2025Q4,2025,20260129,20260128,Gus Gala,"Monness, Crespi, Hardt",1080,12.92,20260102,26,3.0021,329.17,554905.7
V-US,2025-12-31,2025Q4,2025,20260129,20260128,Andrew Dusing,Cleveland Research Company,2295,12.972795,20260122,6,3.0021,329.17,554905.7
V-US,2025-12-31,2025Q4,2025,20260129,20260128,Bryan C. Bergin,TD Cowen,917,12.7204,20251029,91,3.0021,329.17,554905.7
V-US,2025-12-31,2025Q4,2025,20260129,20260128,Andrew Schmidt,KeyBanc Capital Markets,618,12.8,20250430,273,3.0021,329.17,554905.7
V-US,2025-12-31,2025Q4,2025,20260129,20260128,Jason Kupferberg,Wells Fargo Securities,596,12.85,20250318,316,3.0021,329.17,554905.7
V-US,2025-12-31,2025Q4,2025,20260129,20260128,Madison Suhr,Raymond James,402,12.71,20251029,91,3.0021,329.17,554905.7
V-US,2025-12-31,2025Q4,2025,20260129,20260128,Matthew Coad,Truist Securities,852,12.976,20250715,197,3.0021,329.17,554905.7
V-US,2025-12-31,2025Q4,2025,20260129,20260128,Adam Frisch,Evercore ISI,1772,12.67,20251029,91,3.0021,329.17,554905.7
V-US,2025-12-31,2025Q4,2025,20260129,20260128,Nate Svensson,Deutsche Bank Research,77,12.86,20240126,733,3.0021,329.17,554905.7
V-US,2025-12-31,2025Q4,2025,20260129,20260128,Dan Dolev,Mizuho Securities USA,1802,12.7,20251030,90,3.0021,329.17,554905.7
V-US,2025-12-31,2025Q4,2025,20260129,20260128,Daniel Perlin,RBC Capital Markets,1269,12.7,20241030,455,3.0021,329.17,554905.7
V-US,2025-12-31,2025Q4,2025,20260129,20260128,Trevor Williams,Jefferies,512,12.75,20251029,91,3.0021,329.17,554905.7
V-US,2025-12-31,2025Q4,2025,20260129,20260128,Jeff Cantwell,Seaport Research Partners,1321,12.72,20250416,287,3.0021,329.17,554905.7
V-US,2025-12-31,2025Q4,2025,20260129,20260128,Dominick Gabriele,Compass Point Research,1921,12.82,20251029,91,3.0021,329.17,554905.7
V-US,2025-12-31,2025Q4,2025,20260129,20260128,Andrew W. Jeffrey,William Blair,198,12.72,20241030,455,3.0021,329.17,554905.7
V-US,2025-12-31,2025Q4,2025,20260129,20260128,Rayna Kumar,Oppenheimer,498,12.82,20251015,105,3.0021,329.17,554905.7
V-US,2025-12-31,2025Q4,2025,20260129,20260128,Kazuya Nishimura,Daiwa Securities Co. Ltd.,467,12.82,20241101,453,3.0021,329.17,554905.7
V-US,2025-12-31,2025Q4,2025,20260129,20260128,Sanjay Sakhrani,Keefe Bruyette & Woods,525,12.8,20250730,182,3.0021,329.17,554905.7
V-US,2025-12-31,2025Q4,2025,20260129,20260128,Mikhail Paramonov,Freedom Broker,3713,12.79,20250505,268,3.0021,329.17,554905.7
V-US,2025-12-31,2025Q4,2025,20260129,20260128,Ze Yu Yao,China International Capital,898,12.98,20250501,272,3.0021,329.17,554905.7
V-US,2025-12-31,2025Q4,2025,20260129,20260128,Steve Biggar,Argus Research,376,12.83,20250730,182,3.0021,329.17,554905.7
V-US,2025-12-31,2025Q4,2025,20260129,20260128,James E. Friedman,Susquehanna Financial Group,974,12.81,20250131,362,3.0021,329.17,554905.7
V-US,2025-09-30,2025Q3,2025,20251028,20251027,Gus Gala,"Monness, Crespi, Hardt",1080,12.92,20251024,3,2.5918,348.38,591787.0
V-US,2025-09-30,2025Q3,2025,20251028,20251027,Bryan C. Bergin,TD Cowen,917,12.9028,20250711,108,2.5918,348.38,591787.0
V-US,2025-09-30,2025Q3,2025,20251028,20251027,Matthew Coad,Truist Securities,852,12.9377,20250715,104,2.5918,348.38,591787.0
V-US,2025-09-30,2025Q3,2025,20251028,20251027,Rayna Kumar,Oppenheimer,498,12.88,20251015,12,2.5918,348.38,591787.0
V-US,2025-09-30,2025Q3,2025,20251028,20251027,Adam Frisch,Evercore ISI,1772,12.84,20250730,89,2.5918,348.38,591787.0
V-US,2025-09-30,2025Q3,2025,20251028,20251027,James E. Friedman,Susquehanna Financial Group,974,12.81,20250131,269,2.5918,348.38,591787.0
V-US,2025-09-30,2025Q3,2025,20251028,20251027,Andrew Schmidt,KeyBanc Capital Markets,618,12.835349,20250430,180,2.5918,348.38,591787.0
V-US,2025-09-30,2025Q3,2025,20251028,20251027,Jason Kupferberg,Wells Fargo Securities,596,12.84,20250318,223,2.5918,348.38,591787.0
V-US,2025-09-30,2025Q3,2025,20251028,20251027,Harshita Rawat,Bernstein Research,1140,,20250131,269,2.5918,348.38,591787.0
V-US,2025-09-30,2025Q3,2025,20251028,20251027,Nate Svensson,Deutsche Bank Research,77,12.86,20240126,640,2.5918,348.38,591787.0
V-US,2025-09-30,2025Q3,2025,20251028,20251027,Trevor Williams,Jefferies,512,12.9,20250715,104,2.5918,348.38,591787.0
V-US,2025-09-30,2025Q3,2025,20251028,20251027,Daniel Perlin,RBC Capital Markets,1269,12.75,20241030,362,2.5918,348.38,591787.0
V-US,2025-09-30,2025Q3,2025,20251028,20251027,Andrew W. Jeffrey,William Blair,198,12.73,20241030,362,2.5918,348.38,591787.0
V-US,2025-09-30,2025Q3,2025,20251028,20251027,Jeff Cantwell,Seaport Research Partners,1321,12.8,20250416,194,2.5918,348.38,591787.0
V-US,2025-09-30,2025Q3,2025,20251028,20251027,Dan Dolev,Mizuho Securities USA,1802,13.02,20250604,145,2.5918,348.38,591787.0
V-US,2025-09-30,2025Q3,2025,20251028,20251027,Dominick Gabriele,Compass Point Research,1921,13.0,20241030,362,2.5918,348.38,591787.0
V-US,2025-09-30,2025Q3,2025,20251028,20251027,Sanjay Sakhrani,Keefe Bruyette & Woods,525,12.8,20250730,89,2.5918,348.38,591787.0
