analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
James E. Friedman,Susquehanna Financial Group,974,V-US,2026Q1,2026,0.03145164916337476,523442.22,7389,20250730,271
Daniel Perlin,RBC Capital Markets,1269,V-US,2026Q1,2026,0.031098371712111,523442.22,7389,20250131,451
Gus Gala,"Monness, Crespi, Hardt",1080,V-US,2026Q1,2026,0.03145164916337476,523442.22,7389,20260102,115
Jason Kupferberg,Wells Fargo Securities,596,V-US,2026Q1,2026,0.03220447056556509,523442.22,7389,20260424,3
Andrew Bauch,BMO Capital Markets,181,V-US,2026Q1,2026,0.030873558788579506,523442.22,7389,20260420,7
Matthew Coad,Truist Securities,852,V-US,2026Q1,2026,0.03158011369110704,523442.22,7389,20250715,286
Harshita Rawat,Bernstein Research,1140,V-US,2026Q1,2026,,523442.22,7389,20260130,87
Adam Frisch,Evercore ISI,1772,V-US,2026Q1,2026,0.031419533031441696,523442.22,7389,20260130,87
Ramsey El-Assal,Cantor Fitzgerald,1190,V-US,2026Q1,2026,0.031098371712111,523442.22,7389,20260123,94
Andrew Schmidt,KeyBanc Capital Markets,618,V-US,2026Q1,2026,0.031419533031441696,523442.22,7389,20250430,362
Nate Svensson,Deutsche Bank Research,77,V-US,2026Q1,2026,0.03129106850370941,523442.22,7389,20240126,822
Dan Dolev,Mizuho Securities USA,1802,V-US,2026Q1,2026,0.030745094260847223,523442.22,7389,20251030,179
Jeff Cantwell,Seaport Research Partners,1321,V-US,2026Q1,2026,0.031355300767575554,523442.22,7389,20260130,87
Bryan C. Bergin,TD Cowen,917,V-US,2026Q1,2026,0.03109291196968237,523442.22,7389,20251029,180
Rayna Kumar,Oppenheimer,498,V-US,2026Q1,2026,0.031355300767575554,523442.22,7389,20251015,194
Dominick Gabriele,Loop Capital Markets,1009,V-US,2026Q1,2026,0.03148376529530784,523442.22,7389,20260327,31
Sanjay Sakhrani,Keefe Bruyette & Woods,525,V-US,2026Q1,2026,0.031226836239843275,523442.22,7389,20250730,271
Fahed Kunwar,Rothschild & Co Redburn,1652,V-US,2026Q1,2026,,523442.22,7389,20260209,77
Mikhail Paramonov,Freedom Broker,3713,V-US,2026Q1,2026,0.031258952371776345,523442.22,7389,20250505,357
