firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
V-US,2026-03-31,2026Q1,2026,20260428,20260414,311.37,523442.22,523442.22,
V-US,2025-12-31,2025Q4,2025,20260129,20260114,329.17,554905.7,554905.7,
V-US,2025-09-30,2025Q3,2025,20251028,20251014,348.38,591787.0,591787.0,
V-US,2025-06-30,2025Q2,2025,20250729,20250715,347.02,593746.06,593746.06,
V-US,2025-03-31,2025Q1,2025,20250429,20250414,335.18,577636.56,577636.56,
V-US,2024-12-31,2024Q4,2024,20250130,20250115,316.28,546974.3,546974.3,
V-US,2024-09-30,2024Q3,2024,20241029,20241015,279.29,466538.6,466538.6,
V-US,2024-06-28,2024Q2,2024,20240723,20240709,265.44,417842.9,417842.9,
V-US,2024-03-29,2024Q1,2024,20240423,20240409,276.72,437657.66,437657.66,
V-US,2023-12-29,2023Q4,2023,20240125,20240110,264.56,418672.6,418672.6,
V-US,2023-09-29,2023Q3,2023,20231024,20231010,236.6,380165.97,380165.97,
V-US,2023-06-30,2023Q2,2023,20230725,20230711,240.55,389263.66,389263.66,
