analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score
Steven Alexopoulos,3,0.060115654922084476,-0.060115654922084476,-0.00204122523343884,55.333333333333336,TD Cowen,917,1,-55.333333333333336,1.188729396736748,1.7076439350872872,0.24716719591514538,1.047846842579727,0.23076923076923078,0.24181080982609085
Christopher McGratty,4,0.06221469048446458,-0.06221469048446458,-0.005782581633571392,28.75,Keefe Bruyette & Woods,525,1,-28.75,0.9164487893105994,0.4070957138711507,1.0107259066209862,0.7780901366009121,0.2857142857142857,0.22231146760026058
Chris Kotowski,6,0.06486097139504238,-0.06486097139504238,-0.006228741738205226,53.166666666666664,Oppenheimer,498,1,-53.166666666666664,0.5731811540851485,0.2520041726219445,0.30940082123913254,0.37819538264874186,0.375,0.1418232684932782
Pei Feng Li,2,0.062160990433808724,-0.062160990433808724,-0.006799947066191293,45.0,China International Capital,898,1,-45.0,0.9234145990726849,0.053445149152504666,0.5439737166910835,0.5069444883054244,0.16666666666666666,0.08449074805090406
James Fotheringham,2,0.0887623287923138,-0.0887623287923138,-0.000736103809567068,3.0,BMO Capital Markets,181,1,-3.0,-2.5272313530089296,2.1613225384481884,1.750348607586832,0.46147993100869694,0.16666666666666666,0.07691332183478282
John McDonald,6,0.06766821470304518,-0.06766821470304518,-0.008065588422108718,37.5,Truist Securities,852,1,-37.5,0.20903395868018568,-0.3865096260936253,0.7593978043510385,0.1939740456458663,0.375,0.07274026711719986
R. Scott Siefers,6,0.062030971069054114,-0.062030971069054114,-0.006244278093664255,87.0,Piper Sandler Companies,570,1,-87.0,0.9402803217155186,0.24660351647068737,-0.6624011742046648,0.1748275546605137,0.375,0.06556033299769264
Jim Mitchell,6,0.06816086780255413,-0.06816086780255413,-0.006427656127469762,62.666666666666664,Seaport Research Partners,1321,1,-62.666666666666664,0.14512847390003716,0.18285872710300916,0.03653031020318944,0.12150583706874525,0.375,0.04556468890077947
David Chiaverini,1,0.07351822916666667,-0.07351822916666667,,20.0,Jefferies,512,1,-20.0,-0.5498123992159516,,1.2620540088909338,0.3561208048374911,0.09090909090909091,0.0323746186215901
Steve Biggar,5,0.06408349408223812,-0.06408349408223812,-0.006640125157211831,86.0,Argus Research,376,1,-86.0,0.6740331828856292,0.10900149749377509,-0.6336779625166709,0.049785572620911135,0.3333333333333333,0.016595190873637044
Mikhail Paramonov,4,0.06266315074448797,-0.06266315074448797,-0.005148650988133205,110.0,Freedom Broker,3713,1,-110.0,0.8582758673296115,0.627458941835699,-1.323035043028527,0.054233255378927835,0.2857142857142857,0.015495215822550808
Parth Talsania,2,0.06841671155764109,-0.06841671155764109,-0.005407739853017221,84.5,Equisights,3723,1,-84.5,0.11194118813424758,0.537396000398236,-0.5905931449846799,0.019581347849267905,0.16666666666666666,0.003263557974877984
Gerard Cassidy,6,0.06657059848295806,-0.06657059848295806,-0.006420741716086126,82.83333333333333,RBC Capital Markets,1269,1,-82.83333333333333,0.35141344785245926,0.18526227396249184,-0.5427211255046896,-0.0020151345632461646,0.375,-0.0007556754612173117
David Long,6,0.06846704319953935,-0.06846704319953935,-0.009092845897715618,70.83333333333333,Raymond James,402,1,-70.83333333333333,0.10541231826923513,-0.743598804388481,-0.19804258524876156,-0.2787430237893358,0.375,-0.10452863392100092
John Pancari,7,0.07183314114798334,-0.07183314114798334,-0.009580547736145478,55.0,Evercore ISI,1772,1,-55.0,-0.3312278275599246,-0.9131308378593694,0.2567415998111434,-0.3292056885360502,0.4117647058823529,-0.1355552835148442
David Konrad,5,0.08582956449963183,-0.08582956449963183,-0.007240067813235593,44.2,Keefe Bruyette & Woods,525,1,-44.2,-2.14680195135377,-0.09954702627042547,0.5669522860414786,-0.559798897194239,0.3333333333333333,-0.18659963239807967
Matthew O'Connor,7,0.07362360950286431,-0.07362360950286431,-0.009601336864094338,67.71428571428571,Deutsche Bank Research,77,1,-67.71428571428571,-0.5634820208578691,-0.920357431768885,-0.10845352022192306,-0.5307643242828923,0.4117647058823529,-0.21855001588119094
Kazuya Nishimura,9,0.07489826754114609,-0.07489826754114609,-0.011038368383430168,61.333333333333336,Daiwa Securities Co. Ltd.,467,1,-61.333333333333336,-0.7288268445208124,-1.4198898436603373,0.07482792578718132,-0.6912962541313229,0.47368421052631576,-0.32745612037799504
Glenn Thum,4,0.0704353481175687,-0.0704353481175687,-0.012669973833211041,160.0,Phillip Securities,651,1,-160.0,-0.14991030145485015,-1.9870588964038531,-2.7591956274282277,-1.6320549417623103,0.2857142857142857,-0.4663014119320886
