firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
WFC-US,2026-03-31,2026Q1,2026,20260414,1.6038,6021
WFC-US,2025-12-31,2025Q4,2025,20260114,1.6189,6021
WFC-US,2025-09-30,2025Q3,2025,20251014,1.6569,6021
WFC-US,2025-06-30,2025Q2,2025,20250715,1.596,6021
WFC-US,2025-03-31,2025Q1,2025,20250411,1.3897,6021
WFC-US,2024-12-31,2024Q4,2024,20250115,1.4286,6021
WFC-US,2024-09-30,2024Q3,2024,20241011,1.4166,6021
WFC-US,2024-06-28,2024Q2,2024,20240712,1.331,6021
WFC-US,2024-03-29,2024Q1,2024,20240412,1.198,6021
WFC-US,2023-12-29,2023Q4,2023,20240112,0.8641,6021
WFC-US,2023-09-29,2023Q3,2023,20231013,1.4807,6021
WFC-US,2023-06-30,2023Q2,2023,20230714,1.2508,6021
