firm,quarter_end,quarter,year,report_date,snapshot_date,analyst,broker,broker_code,estimate_value,revision_date,staleness_days,actual_eps,price_10d_prior,market_cap
WFC-US,2026-03-31,2026Q1,2026,20260414,20260413,Christopher McGratty,Keefe Bruyette & Woods,525,7.1,20260407,6,1.6038,76.8,236976.83
WFC-US,2026-03-31,2026Q1,2026,20260414,20260413,David Chiaverini,Jefferies,512,7.25,20260324,20,1.6038,76.8,236976.83
WFC-US,2026-03-31,2026Q1,2026,20260414,20260413,John Pancari,Evercore ISI,1772,7.15,20260114,89,1.6038,76.8,236976.83
WFC-US,2026-03-31,2026Q1,2026,20260414,20260413,Kazuya Nishimura,Daiwa Securities Co. Ltd.,467,7.05,20251103,161,1.6038,76.8,236976.83
WFC-US,2026-03-31,2026Q1,2026,20260414,20260413,John McDonald,Truist Securities,852,6.85,20260211,61,1.6038,76.8,236976.83
WFC-US,2026-03-31,2026Q1,2026,20260414,20260413,Matthew O'Connor,Deutsche Bank Research,77,7.12,20260114,89,1.6038,76.8,236976.83
WFC-US,2026-03-31,2026Q1,2026,20260414,20260413,Jim Mitchell,Seaport Research Partners,1321,7.1,20260116,87,1.6038,76.8,236976.83
WFC-US,2026-03-31,2026Q1,2026,20260414,20260413,Chris Kotowski,Oppenheimer,498,7.1,20260114,89,1.6038,76.8,236976.83
WFC-US,2026-03-31,2026Q1,2026,20260414,20260413,Gerard Cassidy,RBC Capital Markets,1269,7.0,20260114,89,1.6038,76.8,236976.83
WFC-US,2026-03-31,2026Q1,2026,20260414,20260413,Pei Feng Li,China International Capital,898,6.9,20260113,90,1.6038,76.8,236976.83
WFC-US,2026-03-31,2026Q1,2026,20260414,20260413,Mikhail Paramonov,Freedom Broker,3713,7.03,20260121,82,1.6038,76.8,236976.83
WFC-US,2026-03-31,2026Q1,2026,20260414,20260413,R. Scott Siefers,Piper Sandler Companies,570,6.82,20251014,181,1.6038,76.8,236976.83
WFC-US,2026-03-31,2026Q1,2026,20260414,20260413,Steve Biggar,Argus Research,376,6.98,20260114,89,1.6038,76.8,236976.83
