analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Christopher McGratty,Keefe Bruyette & Woods,525,WFC-US,2026Q1,2026,0.07156510416666667,236976.83,6021,20260407,6
David Chiaverini,Jefferies,512,WFC-US,2026Q1,2026,0.07351822916666667,236976.83,6021,20260324,20
John Pancari,Evercore ISI,1772,WFC-US,2026Q1,2026,0.07221614583333334,236976.83,6021,20260114,89
Kazuya Nishimura,Daiwa Securities Co. Ltd.,467,WFC-US,2026Q1,2026,0.0709140625,236976.83,6021,20251103,161
John McDonald,Truist Securities,852,WFC-US,2026Q1,2026,0.06830989583333334,236976.83,6021,20260211,61
Matthew O'Connor,Deutsche Bank Research,77,WFC-US,2026Q1,2026,0.07182552083333334,236976.83,6021,20260114,89
Jim Mitchell,Seaport Research Partners,1321,WFC-US,2026Q1,2026,0.07156510416666667,236976.83,6021,20260116,87
Chris Kotowski,Oppenheimer,498,WFC-US,2026Q1,2026,0.07156510416666667,236976.83,6021,20260114,89
Gerard Cassidy,RBC Capital Markets,1269,WFC-US,2026Q1,2026,0.07026302083333334,236976.83,6021,20260114,89
Pei Feng Li,China International Capital,898,WFC-US,2026Q1,2026,0.06896093750000001,236976.83,6021,20260113,90
Mikhail Paramonov,Freedom Broker,3713,WFC-US,2026Q1,2026,0.07065364583333335,236976.83,6021,20260121,82
R. Scott Siefers,Piper Sandler Companies,570,WFC-US,2026Q1,2026,0.06791927083333335,236976.83,6021,20251014,181
Steve Biggar,Argus Research,376,WFC-US,2026Q1,2026,0.07000260416666668,236976.83,6021,20260114,89
Steven Alexopoulos,TD Cowen,917,WFC-US,2025Q4,2025,0.05726964266779768,296047.06,6021,20251014,91
Pei Feng Li,China International Capital,898,WFC-US,2025Q4,2025,0.05536104336761743,296047.06,6021,20260113,0
John Pancari,Evercore ISI,1772,WFC-US,2025Q4,2025,0.060026508323613614,296047.06,6021,20251212,32
Christopher McGratty,Keefe Bruyette & Woods,525,WFC-US,2025Q4,2025,0.05705757607888877,296047.06,6021,20260107,6
Jim Mitchell,Seaport Research Partners,1321,WFC-US,2025Q4,2025,0.05917824196797795,296047.06,6021,20251014,91
Matthew O'Connor,Deutsche Bank Research,77,WFC-US,2025Q4,2025,0.06087477467924929,296047.06,6021,20251014,91
John McDonald,Truist Securities,852,WFC-US,2025Q4,2025,0.05864807549570565,296047.06,6021,20251216,28
Kazuya Nishimura,Daiwa Securities Co. Ltd.,467,WFC-US,2025Q4,2025,0.05790584243452444,296047.06,6021,20251103,71
R. Scott Siefers,Piper Sandler Companies,570,WFC-US,2025Q4,2025,0.054618810306436213,296047.06,6021,20251014,91
Chris Kotowski,Oppenheimer,498,WFC-US,2025Q4,2025,0.05695154278443431,296047.06,6021,20251216,28
Gerard Cassidy,RBC Capital Markets,1269,WFC-US,2025Q4,2025,0.058117909023433355,296047.06,6021,20251210,34
David Long,Raymond James,402,WFC-US,2025Q4,2025,0.05832997561234227,296047.06,6021,20251014,91
Glenn Thum,Phillip Securities,651,WFC-US,2025Q4,2025,0.05769377584561552,296047.06,6021,20250411,277
Mikhail Paramonov,Freedom Broker,3713,WFC-US,2025Q4,2025,0.05663344290107093,296047.06,6021,20251016,89
Steve Biggar,Argus Research,376,WFC-US,2025Q4,2025,0.05324037747852825,296047.06,6021,20251015,90
Christopher McGratty,Keefe Bruyette & Woods,525,WFC-US,2025Q3,2025,0.05777976616559294,268512.44,6021,20250715,90
John McDonald,Truist Securities,852,WFC-US,2025Q3,2025,0.060165831543784305,268512.44,6021,20250922,21
Kazuya Nishimura,Daiwa Securities Co. Ltd.,467,WFC-US,2025Q3,2025,0.061716774039608686,268512.44,6021,20250731,74
Jim Mitchell,Seaport Research Partners,1321,WFC-US,2025Q3,2025,0.06195538057742782,268512.44,6021,20250707,98
Steven Alexopoulos,TD Cowen,917,WFC-US,2025Q3,2025,0.061120257695060846,268512.44,6021,20251001,12
Gerard Cassidy,RBC Capital Markets,1269,WFC-US,2025Q3,2025,0.059569315199236465,268512.44,6021,20250929,14
R. Scott Siefers,Piper Sandler Companies,570,WFC-US,2025Q3,2025,0.0571832498210451,268512.44,6021,20250908,35
Matthew O'Connor,Deutsche Bank Research,77,WFC-US,2025Q3,2025,0.06648890479599141,268512.44,6021,20250613,122
John Pancari,Evercore ISI,1772,WFC-US,2025Q3,2025,0.061120257695060846,268512.44,6021,20250926,17
Chris Kotowski,Oppenheimer,498,WFC-US,2025Q3,2025,0.05921140539250776,268512.44,6021,20250922,21
Mikhail Paramonov,Freedom Broker,3713,WFC-US,2025Q3,2025,0.06028513481269387,268512.44,6021,20250416,180
David Long,Raymond James,402,WFC-US,2025Q3,2025,0.060762347888332145,268512.44,6021,20250617,118
Glenn Thum,Phillip Securities,651,WFC-US,2025Q3,2025,0.06446074922452875,268512.44,6021,20250411,185
Steve Biggar,Argus Research,376,WFC-US,2025Q3,2025,0.060762347888332145,268512.44,6021,20250606,129
Matthew O'Connor,Deutsche Bank Research,77,WFC-US,2025Q2,2025,0.06948790564153769,261327.4,6021,20250613,31
John McDonald,Truist Securities,852,WFC-US,2025Q2,2025,0.062456315526709924,261327.4,6021,20250411,94
Kazuya Nishimura,Daiwa Securities Co. Ltd.,467,WFC-US,2025Q2,2025,0.06607588617074388,261327.4,6021,20250708,6
Jim Mitchell,Seaport Research Partners,1321,WFC-US,2025Q2,2025,0.06557663504742885,261327.4,6021,20250707,7
Christopher McGratty,Keefe Bruyette & Woods,525,WFC-US,2025Q2,2025,0.062456315526709924,261327.4,6021,20250701,13
David Long,Raymond James,402,WFC-US,2025Q2,2025,0.063954068896655,261327.4,6021,20250617,27
Steven Alexopoulos,TD Cowen,917,WFC-US,2025Q2,2025,0.0619570644033949,261327.4,6021,20250512,63
Gerard Cassidy,RBC Capital Markets,1269,WFC-US,2025Q2,2025,0.06432850723914128,261327.4,6021,20250115,180
John Pancari,Evercore ISI,1772,WFC-US,2025Q2,2025,0.06557663504742885,261327.4,6021,20250411,94
R. Scott Siefers,Piper Sandler Companies,570,WFC-US,2025Q2,2025,0.05808786819770344,261327.4,6021,20250609,35
Chris Kotowski,Oppenheimer,498,WFC-US,2025Q2,2025,0.06095856215676485,261327.4,6021,20250618,26
Steve Biggar,Argus Research,376,WFC-US,2025Q2,2025,0.06482775836245631,261327.4,6021,20250606,38
Mikhail Paramonov,Freedom Broker,3713,WFC-US,2025Q2,2025,0.06308037943085372,261327.4,6021,20250416,89
Glenn Thum,Phillip Securities,651,WFC-US,2025Q2,2025,0.06819770344483274,261327.4,6021,20250411,94
R. Scott Siefers,Piper Sandler Companies,570,WFC-US,2025Q1,2025,0.07229169613806763,230814.1,6021,20250115,85
John McDonald,Truist Securities,852,WFC-US,2025Q1,2025,0.0793648323666714,230814.1,6021,20250403,7
Jim Mitchell,Seaport Research Partners,1321,WFC-US,2025Q1,2025,0.07724289149809026,230814.1,6021,20250115,85
David Konrad,Keefe Bruyette & Woods,525,WFC-US,2025Q1,2025,0.07865751874381101,230814.1,6021,20250115,85
Kazuya Nishimura,Daiwa Securities Co. Ltd.,467,WFC-US,2025Q1,2025,0.07780874239637854,230814.1,6021,20250128,72
Chris Kotowski,Oppenheimer,498,WFC-US,2025Q1,2025,0.07342339793464424,230814.1,6021,20250116,84
Matthew O'Connor,Deutsche Bank Research,77,WFC-US,2025Q1,2025,0.07724289149809026,230814.1,6021,20250115,85
