firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
WFC-US,2026-03-31,2026Q1,2026,20260414,20260330,76.8,236976.83,236976.83,
WFC-US,2025-12-31,2025Q4,2025,20260114,20251230,94.31,296047.06,296047.06,
WFC-US,2025-09-30,2025Q3,2025,20251014,20250930,83.82,268512.44,268512.44,
WFC-US,2025-06-30,2025Q2,2025,20250715,20250630,80.12,261327.4,261327.4,
WFC-US,2025-03-31,2025Q1,2025,20250411,20250328,70.69,230814.1,230814.1,
WFC-US,2024-12-31,2024Q4,2024,20250115,20241230,70.41,234429.45,234429.45,
WFC-US,2024-09-30,2024Q3,2024,20241011,20240927,55.9,190270.77,190270.77,
WFC-US,2024-06-28,2024Q2,2024,20240712,20240627,57.42,200184.22,200184.22,
WFC-US,2024-03-29,2024Q1,2024,20240412,20240328,57.96,207348.63,207348.63,
WFC-US,2023-12-29,2023Q4,2023,20240112,20231228,49.48,179693.53,179693.53,
WFC-US,2023-09-29,2023Q3,2023,20231013,20230929,40.86,149497.89,149497.89,
WFC-US,2023-06-30,2023Q2,2023,20230714,20230629,42.45,159281.89,159281.89,
