firm,quarter,consensus_fe,consensus_nn_predicted_fe,consensus_linear_predicted_fe,market_cap,sic_code,industry
WMB-US,2023Q4,0.04573797583945435,,,42163.844,4922,Utilities
WMB-US,2024Q1,0.04084444645628557,,,47104.31,4922,Utilities
WMB-US,2024Q2,0.04158811704266249,,,54563.617,4922,Utilities
WMB-US,2024Q3,0.032602870813397127,,,63689.152,4922,Utilities
WMB-US,2024Q4,0.03422917043195373,,,67447.93,4922,Utilities
WMB-US,2025Q1,0.031123316796598154,,,68895.5,4922,Utilities
WMB-US,2025Q2,0.03413661581137309,,,70427.65,4922,Utilities
WMB-US,2025Q3,0.028744053282588007,,,77007.445,4922,Utilities
WMB-US,2025Q4,0.026223274282223576,,,79965.414,4922,Utilities
WMB-US,2026Q1,0.0226385559159498,,,86712.79,4922,Utilities
