analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score
Sunil K. Sibal,7,0.02835754550853038,-0.02835754550853038,-0.003694474209745509,5.857142857142857,Seaport Research Partners,1321,1,-5.857142857142857,0.2971723776037086,0.22780859126847236,1.1779260127716609,0.5676356605479472,0.4117647058823529,0.2337323308138606
Elvira Scotto,3,0.025447805122600697,-0.025447805122600697,-0.001581982348125938,42.333333333333336,RBC Capital Markets,1269,1,-42.333333333333336,0.9520522572667376,1.4146452412794943,0.36973264123641686,0.9121433799275497,0.23076923076923078,0.21049462613712686
Ameet Thakkar,3,0.026441134468867204,-0.026441134468867204,-0.0026321237760758317,18.333333333333332,BMO Capital Markets,181,1,-18.333333333333332,0.7284888748102226,0.8246565378767202,0.9014943373901543,0.818213250025699,0.23076923076923078,0.18881844231362285
Jason Gabelman,3,0.027699186733507256,-0.027699186733507256,-0.002204915825579616,42.0,TD Cowen,917,1,-42.0,0.44534570517859745,1.0646697952230868,0.37711822034966325,0.6290445735837825,0.23076923076923078,0.14516413236548828
Julien Dumoulin-Smith,3,0.025535739381500045,-0.025535739381500045,-0.003926134780447655,25.666666666666668,Jefferies,512,1,-25.666666666666668,0.932261358681858,0.0976574362903001,0.7390115968987346,0.5896434639569642,0.23076923076923078,0.13607156860545327
Gabe Daoud,1,0.02277957974897758,-0.02277957974897758,,42.0,Truist Securities,852,1,-42.0,1.5525756304314717,,0.37711822034966325,0.9648469253905675,0.09090909090909091,0.08771335685368796
Robert Catellier,6,0.028824182854294486,-0.028824182854294486,-0.005037915764335486,27.166666666666668,CIBC Capital Markets,183,1,-27.166666666666668,0.1921487781382755,-0.5269614994966414,0.705776490889126,0.12365458984358668,0.375,0.046370471191345006
Brandon Bingham,6,0.029023456396231728,-0.029023456396231728,-0.00539977167852983,31.833333333333332,Scotiabank GBM,810,1,-31.833333333333332,0.1472993359698497,-0.7302587849403053,0.6023783833036771,0.006472978111073835,0.375,0.002427366791652688
Bin Yang,2,0.029103589035719746,-0.029103589035719746,-0.0013110105390499154,168.0,Haitong International Research,2898,1,-168.0,0.129264306604772,1.5668821705544094,-2.414630684457458,-0.23949473576609223,0.16666666666666666,-0.039915789294348705
William Selesky,5,0.029412351260750404,-0.029412351260750404,-0.00302970544203963,135.2,Argus Research,376,1,-135.2,0.05977282559487382,0.6012878702329482,-1.6878896997140167,-0.3422763346287316,0.3333333333333333,-0.11409211154291052
James Carreker,9,0.03154609040521308,-0.03154609040521308,-0.005799385447961224,46.666666666666664,U.S. Capital Advisors,1866,1,-46.666666666666664,-0.42045655875673027,-0.9547691255608002,0.2737201127642143,-0.3671685238511054,0.47368421052631576,-0.17392193235052358
Tristan J. Richardson,3,0.0412613074582379,-0.0412613074582379,-0.00391404363671118,62.0,Scotiabank GBM,810,1,-62.0,-2.60700907916391,0.10445046247313118,-0.06601652644511798,-0.8561917143786322,0.23076923076923078,-0.1975827033181459
Gabriel Moreen,8,0.03355143643043206,-0.03355143643043206,-0.006298845535656403,51.0,Mizuho Securities USA,1802,1,-51.0,-0.8717891828040631,-1.2353749579732838,0.1777075842920117,-0.6431521854951118,0.4444444444444444,-0.28584541577560524
Selman Akyol,8,0.033267093606624436,-0.033267093606624436,-0.006050016843307606,91.25,Stifel Nicolaus,548,1,-91.25,-0.8077936472784122,-1.0955784375609123,-0.7141010936324855,-0.8724910594906033,0.4444444444444444,-0.3877738042180459
Praneeth Satish,9,0.032918479803161295,-0.032918479803161295,-0.006519095276662262,96.0,Wells Fargo Securities,596,1,-96.0,-0.7293329822772393,-1.3591152996666158,-0.819345595996246,-0.9692646259800336,0.47368421052631576,-0.45912534914843695
