analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_factor_obs,r_squared,factor_alpha_z,partial_reliability_score_with_factor_raw,partial_reliability_score_with_factor
Elvira Scotto,3,0.025447805122600697,-0.025447805122600697,-0.001581982348125938,42.333333333333336,RBC Capital Markets,1269,1,-42.333333333333336,0.9520522572667376,1.4146452412794943,0.36973264123641686,0.9121433799275497,0.23076923076923078,0.21049462613712686,,,,,,,,,,3,,,0.9121433799275497,0.21049462613712686
Ameet Thakkar,3,0.026441134468867204,-0.026441134468867204,-0.0026321237760758317,18.333333333333332,BMO Capital Markets,181,1,-18.333333333333332,0.7284888748102226,0.8246565378767202,0.9014943373901543,0.818213250025699,0.23076923076923078,0.18881844231362285,,,,,,,,,,3,,,0.818213250025699,0.18881844231362285
Sunil K. Sibal,7,0.02835754550853038,-0.02835754550853038,-0.003694474209745509,5.857142857142857,Seaport Research Partners,1321,1,-5.857142857142857,0.2971723776037086,0.22780859126847236,1.1779260127716609,0.5676356605479472,0.4117647058823529,0.2337323308138606,0.031290163987381936,7.669656129372167,0.12516065594952774,-0.00031327916087803677,-0.0001870362309936481,-0.0008171269004607978,-0.0001669793414742528,,,7,0.7119578263664446,0.05821628108521161,0.44028081568226335,0.1812921005750496
Jason Gabelman,3,0.027699186733507256,-0.027699186733507256,-0.002204915825579616,42.0,TD Cowen,917,1,-42.0,0.44534570517859745,1.0646697952230868,0.37711822034966325,0.6290445735837825,0.23076923076923078,0.14516413236548828,,,,,,,,,,3,,,0.6290445735837825,0.14516413236548828
Julien Dumoulin-Smith,3,0.025535739381500045,-0.025535739381500045,-0.003926134780447655,25.666666666666668,Jefferies,512,1,-25.666666666666668,0.932261358681858,0.0976574362903001,0.7390115968987346,0.5896434639569642,0.23076923076923078,0.13607156860545327,,,,,,,,,,3,,,0.5896434639569642,0.13607156860545327
Gabe Daoud,1,0.02277957974897758,-0.02277957974897758,,42.0,Truist Securities,852,1,-42.0,1.5525756304314717,,0.37711822034966325,0.9648469253905675,0.09090909090909091,0.08771335685368796,,,,,,,,,,1,,,0.9648469253905675,0.08771335685368796
Brandon Bingham,6,0.029023456396231728,-0.029023456396231728,-0.00539977167852983,31.833333333333332,Scotiabank GBM,810,1,-31.833333333333332,0.1472993359698497,-0.7302587849403053,0.6023783833036771,0.006472978111073835,0.375,0.002427366791652688,0.032089606694893254,4.949329272682316,0.12835842677957301,-0.0004156781710175678,-0.000517288086174054,-0.001166489659359905,0.000203374151330609,,,6,0.8068325396161663,0.29459447678056794,0.07850335277844736,0.02943875729191776
Bin Yang,2,0.029103589035719746,-0.029103589035719746,-0.0013110105390499154,168.0,Haitong International Research,2898,1,-168.0,0.129264306604772,1.5668821705544094,-2.414630684457458,-0.23949473576609223,0.16666666666666666,-0.039915789294348705,,,,,,,,,,2,,,-0.23949473576609223,-0.039915789294348705
William Selesky,5,0.029412351260750404,-0.029412351260750404,-0.00302970544203963,135.2,Argus Research,376,1,-135.2,0.05977282559487382,0.6012878702329482,-1.6878896997140167,-0.3422763346287316,0.3333333333333333,-0.11409211154291052,,,,,,,,,,5,,,-0.3422763346287316,-0.11409211154291052
James Carreker,9,0.03154609040521308,-0.03154609040521308,-0.005799385447961224,46.666666666666664,U.S. Capital Advisors,1866,1,-46.666666666666664,-0.42045655875673027,-0.9547691255608002,0.2737201127642143,-0.3671685238511054,0.47368421052631576,-0.17392193235052358,0.031197893476338816,14.00448520909212,0.12479157390535527,-9.235303281622721e-05,-0.0007054534296974544,-0.0007988344777259072,0.00016292645692766525,,,9,0.8120619734613239,0.03093385457567683,-0.26764292924440986,-0.12677822964208887
Selman Akyol,8,0.033267093606624436,-0.033267093606624436,-0.006050016843307606,91.25,Stifel Nicolaus,548,1,-91.25,-0.8077936472784122,-1.0955784375609123,-0.7141010936324855,-0.8724910594906033,0.4444444444444444,-0.3877738042180459,0.035460389188440966,7.912084589370721,0.14184155675376386,-0.00041884942588249,-0.0006087289173910547,-0.0010628864167896745,-9.929148405457918e-05,,,8,0.7823680564962529,1.2912631266037602,-0.3315525129670125,-0.14735667242978331
Robert Catellier,6,0.028824182854294486,-0.028824182854294486,-0.005037915764335486,27.166666666666668,CIBC Capital Markets,183,1,-27.166666666666668,0.1921487781382755,-0.5269614994966414,0.705776490889126,0.12365458984358668,0.375,0.046370471191345006,0.02418595205053621,15.20681752534044,0.09674380820214484,0.0009568661754090514,-0.0016989335758312307,3.0537858461340394e-05,0.0009613813558220462,,,6,0.9866464550339804,-2.0423480041237214,-0.4178460586482403,-0.1566922719930901
Gabriel Moreen,8,0.03355143643043206,-0.03355143643043206,-0.006298845535656403,51.0,Mizuho Securities USA,1802,1,-51.0,-0.8717891828040631,-1.2353749579732838,0.1777075842920117,-0.6431521854951118,0.4444444444444444,-0.28584541577560524,0.03184218709324001,15.050287675178458,0.12736874837296003,-8.472337056872483e-05,-0.0008881450742149835,-0.0007880409775126944,0.00030488309375770943,,,8,0.879444029112568,0.2214377659006575,-0.4270046976461695,-0.18977986562051977
Tristan J. Richardson,3,0.0412613074582379,-0.0412613074582379,-0.00391404363671118,62.0,Scotiabank GBM,810,1,-62.0,-2.60700907916391,0.10445046247313118,-0.06601652644511798,-0.8561917143786322,0.23076923076923078,-0.1975827033181459,,,,,,,,,,3,,,-0.8561917143786322,-0.1975827033181459
Praneeth Satish,9,0.032918479803161295,-0.032918479803161295,-0.006519095276662262,96.0,Wells Fargo Securities,596,1,-96.0,-0.7293329822772393,-1.3591152996666158,-0.819345595996246,-0.9692646259800336,0.47368421052631576,-0.45912534914843695,0.03158672309850125,14.710667283664904,0.126346892394005,3.797483202022038e-05,-0.000868370677787765,-0.0007722073819758442,0.0002833213286232763,,,9,0.8618241605487852,0.14590249917784512,-0.6904728446905639,-0.3270660843271092
