firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
WMB-US,2026-03-31,2026Q1,2026,20260504,0.7047,4922
WMB-US,2025-12-31,2025Q4,2025,20260210,0.5979,4922
WMB-US,2025-09-30,2025Q3,2025,20251103,0.5274,4922
WMB-US,2025-06-30,2025Q2,2025,20250804,0.446,4922
WMB-US,2025-03-31,2025Q1,2025,20250505,0.5634,4922
WMB-US,2024-12-31,2024Q4,2024,20250212,0.3961,4922
WMB-US,2024-09-30,2024Q3,2024,20241106,0.5765,4922
WMB-US,2024-06-28,2024Q2,2024,20240805,0.3281,4922
WMB-US,2024-03-29,2024Q1,2024,20240506,0.5163,4922
WMB-US,2023-12-29,2023Q4,2023,20240214,0.9298,4922
WMB-US,2023-09-29,2023Q3,2023,20231101,0.5352,4922
WMB-US,2023-06-30,2023Q2,2023,20230802,0.3771,4922
