firm,quarter_end,quarter,year,report_date,snapshot_date,analyst,broker,broker_code,estimate_value,revision_date,staleness_days,actual_eps,price_10d_prior,market_cap
WMB-US,2026-03-31,2026Q1,2026,20260504,20260501,Sunil K. Sibal,Seaport Research Partners,1321,2.21,20260501,0,0.7047,70.91,86712.79
WMB-US,2026-03-31,2026Q1,2026,20260504,20260501,Elvira Scotto,RBC Capital Markets,1269,2.36,20260402,29,0.7047,70.91,86712.79
WMB-US,2026-03-31,2026Q1,2026,20260504,20260501,Gabriel Moreen,Mizuho Securities USA,1802,2.31,20260429,2,0.7047,70.91,86712.79
WMB-US,2026-03-31,2026Q1,2026,20260504,20260501,James Carreker,U.S. Capital Advisors,1866,2.19,20260320,42,0.7047,70.91,86712.79
WMB-US,2026-03-31,2026Q1,2026,20260504,20260501,Brandon Bingham,Scotiabank GBM,810,2.2036,20260211,79,0.7047,70.91,86712.79
WMB-US,2026-03-31,2026Q1,2026,20260504,20260501,Julien Dumoulin-Smith,Jefferies,512,2.18,20260409,22,0.7047,70.91,86712.79
WMB-US,2026-03-31,2026Q1,2026,20260504,20260501,Robert Catellier,CIBC Capital Markets,183,2.309072,20260422,9,0.7047,70.91,86712.79
WMB-US,2026-03-31,2026Q1,2026,20260504,20260501,Jason Gabelman,TD Cowen,917,2.46,20260416,15,0.7047,70.91,86712.79
WMB-US,2026-03-31,2026Q1,2026,20260504,20260501,Ameet Thakkar,BMO Capital Markets,181,2.39,20260417,14,0.7047,70.91,86712.79
WMB-US,2026-03-31,2026Q1,2026,20260504,20260501,Gabe Daoud,Truist Securities,852,2.32,20260320,42,0.7047,70.91,86712.79
WMB-US,2026-03-31,2026Q1,2026,20260504,20260501,Praneeth Satish,Wells Fargo Securities,596,2.2537358,20260210,80,0.7047,70.91,86712.79
WMB-US,2026-03-31,2026Q1,2026,20260504,20260501,William Selesky,Argus Research,376,2.46,20260217,73,0.7047,70.91,86712.79
WMB-US,2026-03-31,2026Q1,2026,20260504,20260501,Selman Akyol,Stifel Nicolaus,548,2.33,20260212,78,0.7047,70.91,86712.79
