analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Sunil K. Sibal,Seaport Research Partners,1321,WMB-US,2026Q1,2026,0.02122831758567198,86712.79,4922,20260501,0
Elvira Scotto,RBC Capital Markets,1269,WMB-US,2026Q1,2026,0.023343675081088706,86712.79,4922,20260402,29
Gabriel Moreen,Mizuho Securities USA,1802,WMB-US,2026Q1,2026,0.0226385559159498,86712.79,4922,20260429,2
James Carreker,U.S. Capital Advisors,1866,WMB-US,2026Q1,2026,0.020946269919616418,86712.79,4922,20260320,42
Brandon Bingham,Scotiabank GBM,810,WMB-US,2026Q1,2026,0.021138062332534197,86712.79,4922,20260211,79
Julien Dumoulin-Smith,Jefferies,512,WMB-US,2026Q1,2026,0.02080524608658864,86712.79,4922,20260409,22
Robert Catellier,CIBC Capital Markets,183,WMB-US,2026Q1,2026,0.02262546890424482,86712.79,4922,20260422,9
Jason Gabelman,TD Cowen,917,WMB-US,2026Q1,2026,0.024753913411366523,86712.79,4922,20260416,15
Ameet Thakkar,BMO Capital Markets,181,WMB-US,2026Q1,2026,0.023766746580172055,86712.79,4922,20260417,14
Gabe Daoud,Truist Securities,852,WMB-US,2026Q1,2026,0.02277957974897758,86712.79,4922,20260320,42
Praneeth Satish,Wells Fargo Securities,596,WMB-US,2026Q1,2026,0.021845096601325626,86712.79,4922,20260210,80
William Selesky,Argus Research,376,WMB-US,2026Q1,2026,0.024753913411366523,86712.79,4922,20260217,73
Selman Akyol,Stifel Nicolaus,548,WMB-US,2026Q1,2026,0.022920603582005362,86712.79,4922,20260212,78
Sunil K. Sibal,Seaport Research Partners,1321,WMB-US,2025Q4,2025,0.02660507025045815,79965.414,4922,20260205,4
Praneeth Satish,Wells Fargo Securities,596,WMB-US,2025Q4,2025,0.027674098961514966,79965.414,4922,20251104,97
Robert Catellier,CIBC Capital Markets,183,WMB-US,2025Q4,2025,0.02492516799022602,79965.414,4922,20260126,14
Elvira Scotto,RBC Capital Markets,1269,WMB-US,2025Q4,2025,0.025841478313989003,79965.414,4922,20251110,91
James Carreker,U.S. Capital Advisors,1866,WMB-US,2025Q4,2025,0.024772449602932192,79965.414,4922,20260130,10
Gabriel Moreen,Mizuho Securities USA,1802,WMB-US,2025Q4,2025,0.026757788637751984,79965.414,4922,20260130,10
Julien Dumoulin-Smith,Jefferies,512,WMB-US,2025Q4,2025,0.025383323152107506,79965.414,4922,20260108,32
Brandon Bingham,Scotiabank GBM,810,WMB-US,2025Q4,2025,0.025014746487477087,79965.414,4922,20260115,25
Ameet Thakkar,BMO Capital Markets,181,WMB-US,2025Q4,2025,0.025536041539401342,79965.414,4922,20260116,24
Jason Gabelman,TD Cowen,917,WMB-US,2025Q4,2025,0.028284972510690287,79965.414,4922,20251105,96
Selman Akyol,Stifel Nicolaus,548,WMB-US,2025Q4,2025,0.02889584605986561,79965.414,4922,20251104,97
William Selesky,Argus Research,376,WMB-US,2025Q4,2025,0.02782681734880879,79965.414,4922,20250512,273
Elvira Scotto,RBC Capital Markets,1269,WMB-US,2025Q3,2025,0.02715826197272439,77007.445,4922,20251024,7
James Carreker,U.S. Capital Advisors,1866,WMB-US,2025Q3,2025,0.028744053282588007,77007.445,4922,20250527,157
Sunil K. Sibal,Seaport Research Partners,1321,WMB-US,2025Q3,2025,0.02652394544877894,77007.445,4922,20251024,7
Praneeth Satish,Wells Fargo Securities,596,WMB-US,2025Q3,2025,0.028744053282588007,77007.445,4922,20250806,86
Jason Gabelman,TD Cowen,917,WMB-US,2025Q3,2025,0.03005867427846495,77007.445,4922,20251016,15
Brandon Bingham,Scotiabank GBM,810,WMB-US,2025Q3,2025,0.02784173802727561,77007.445,4922,20251006,25
Selman Akyol,Stifel Nicolaus,548,WMB-US,2025Q3,2025,0.030012686330478905,77007.445,4922,20250506,178
Julien Dumoulin-Smith,Jefferies,512,WMB-US,2025Q3,2025,0.030418648905803997,77007.445,4922,20251008,23
Robert Catellier,CIBC Capital Markets,183,WMB-US,2025Q3,2025,0.02715826197272439,77007.445,4922,20251021,10
Ameet Thakkar,BMO Capital Markets,181,WMB-US,2025Q3,2025,0.030020615287028225,77007.445,4922,20251014,17
William Selesky,Argus Research,376,WMB-US,2025Q3,2025,0.030012686330478905,77007.445,4922,20250512,172
Bin Yang,Haitong International Research,2898,WMB-US,2025Q3,2025,0.027792578496669832,77007.445,4922,20250214,259
James Carreker,U.S. Capital Advisors,1866,WMB-US,2025Q2,2025,0.03283633841886269,70427.65,4922,20250527,66
Sunil K. Sibal,Seaport Research Partners,1321,WMB-US,2025Q2,2025,0.031622746185852986,70427.65,4922,20250724,8
Robert Catellier,CIBC Capital Markets,183,WMB-US,2025Q2,2025,0.03737246879334257,70427.65,4922,20250506,87
Selman Akyol,Stifel Nicolaus,548,WMB-US,2025Q2,2025,0.034396671289875176,70427.65,4922,20250506,87
Brandon Bingham,Scotiabank GBM,810,WMB-US,2025Q2,2025,0.03445964112343967,70427.65,4922,20250711,21
Gabriel Moreen,Mizuho Securities USA,1802,WMB-US,2025Q2,2025,0.03457004160887656,70427.65,4922,20250402,121
Praneeth Satish,Wells Fargo Securities,596,WMB-US,2025Q2,2025,0.03361179264909848,70427.65,4922,20250506,87
William Selesky,Argus Research,376,WMB-US,2025Q2,2025,0.03387656033287101,70427.65,4922,20250512,81
Brandon Bingham,Scotiabank GBM,810,WMB-US,2025Q1,2025,0.02856744684620836,68895.5,4922,20250425,7
James Carreker,U.S. Capital Advisors,1866,WMB-US,2025Q1,2025,0.0314776754075124,68895.5,4922,20250321,42
Sunil K. Sibal,Seaport Research Partners,1321,WMB-US,2025Q1,2025,0.028465627214741315,68895.5,4922,20250425,7
Robert Catellier,CIBC Capital Markets,183,WMB-US,2025Q1,2025,0.03340166548547129,68895.5,4922,20250423,9
Praneeth Satish,Wells Fargo Securities,596,WMB-US,2025Q1,2025,0.031123316796598154,68895.5,4922,20250213,78
Gabriel Moreen,Mizuho Securities USA,1802,WMB-US,2025Q1,2025,0.033249468462083626,68895.5,4922,20250402,30
Bin Yang,Haitong International Research,2898,WMB-US,2025Q1,2025,0.030414599574769663,68895.5,4922,20250214,77
William Selesky,Argus Research,376,WMB-US,2025Q1,2025,0.03059177888022679,68895.5,4922,20250214,77
Selman Akyol,Stifel Nicolaus,548,WMB-US,2025Q1,2025,0.034312544294826365,68895.5,4922,20250213,78
Brandon Bingham,Scotiabank GBM,810,WMB-US,2024Q4,2024,0.037119103560455446,67447.93,4922,20250108,34
Gabriel Moreen,Mizuho Securities USA,1802,WMB-US,2024Q4,2024,0.03422917043195373,67447.93,4922,20241031,103
Sunil K. Sibal,Seaport Research Partners,1321,WMB-US,2024Q4,2024,0.03260256641966384,67447.93,4922,20250204,7
James Carreker,U.S. Capital Advisors,1866,WMB-US,2024Q4,2024,0.03422917043195373,67447.93,4922,20241125,78
Robert Catellier,CIBC Capital Markets,183,WMB-US,2024Q4,2024,0.02746206397975782,67447.93,4922,20250108,34
Selman Akyol,Stifel Nicolaus,548,WMB-US,2024Q4,2024,0.03531357310681366,67447.93,4922,20241107,96
Praneeth Satish,Wells Fargo Securities,596,WMB-US,2024Q4,2024,0.03399060184348455,67447.93,4922,20241107,96
Gabriel Moreen,Mizuho Securities USA,1802,WMB-US,2024Q3,2024,0.032602870813397127,63689.152,4922,20241031,5
Sunil K. Sibal,Seaport Research Partners,1321,WMB-US,2024Q3,2024,0.03145454545454546,63689.152,4922,20241028,8
James Carreker,U.S. Capital Advisors,1866,WMB-US,2024Q3,2024,0.031885167464114836,63689.152,4922,20241025,11
Selman Akyol,Stifel Nicolaus,548,WMB-US,2024Q3,2024,0.03489952153110048,63689.152,4922,20240806,91
Praneeth Satish,Wells Fargo Securities,596,WMB-US,2024Q3,2024,0.03298564593301435,63689.152,4922,20240806,91
James Carreker,U.S. Capital Advisors,1866,WMB-US,2024Q2,2024,0.04011027473754746,54563.617,4922,20240726,7
Gabriel Moreen,Mizuho Securities USA,1802,WMB-US,2024Q2,2024,0.04158811704266249,54563.617,4922,20240410,114
Tristan J. Richardson,Scotiabank GBM,810,WMB-US,2024Q2,2024,0.03842305115032387,54563.617,4922,20240515,79
Selman Akyol,Stifel Nicolaus,548,WMB-US,2024Q2,2024,0.045385302658029925,54563.617,4922,20240708,25
Praneeth Satish,Wells Fargo Securities,596,WMB-US,2024Q2,2024,0.04248157248157248,54563.617,4922,20240214,170
Gabriel Moreen,Mizuho Securities USA,1802,WMB-US,2024Q1,2024,0.042775478530781175,47104.31,4922,20240410,23
James Carreker,U.S. Capital Advisors,1866,WMB-US,2024Q1,2024,0.03891341438178996,47104.31,4922,20240426,7
Tristan J. Richardson,Scotiabank GBM,810,WMB-US,2024Q1,2024,0.038564875840662184,47104.31,4922,20240306,58
Praneeth Satish,Wells Fargo Securities,596,WMB-US,2024Q1,2024,0.043810139679255046,47104.31,4922,20240214,79
Tristan J. Richardson,Scotiabank GBM,810,WMB-US,2023Q4,2023,0.046795995383727654,42163.844,4922,20231226,49
