firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
WMB-US,2026-03-31,2026Q1,2026,20260504,20260420,70.91,86712.79,86712.79,
WMB-US,2025-12-31,2025Q4,2025,20260210,20260127,65.48,79965.414,79965.414,
WMB-US,2025-09-30,2025Q3,2025,20251103,20251020,63.06,77007.445,77007.445,
WMB-US,2025-06-30,2025Q2,2025,20250804,20250721,57.68,70427.65,70427.65,
WMB-US,2025-03-31,2025Q1,2025,20250505,20250421,56.44,68895.5,68895.5,
WMB-US,2024-12-31,2024Q4,2024,20250212,20250129,55.33,67447.93,67447.93,
WMB-US,2024-09-30,2024Q3,2024,20241106,20241023,52.25,63689.152,63689.152,
WMB-US,2024-06-28,2024Q2,2024,20240805,20240722,44.77,54563.617,54563.617,
WMB-US,2024-03-29,2024Q1,2024,20240506,20240422,38.66,47104.31,47104.31,
WMB-US,2023-12-29,2023Q4,2023,20240214,20240131,34.66,42163.844,42163.844,
WMB-US,2023-09-29,2023Q3,2023,20231101,20231018,35.65,43365.43,43365.43,
WMB-US,2023-06-30,2023Q2,2023,20230802,20230719,33.32,40589.996,40589.996,
