analyst,n_predictions,accuracy_score,predictability_r2,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,predictability_r2_z,consistency_score_z,freshness_score_z,reliability_composite_raw,credibility_weight,reliability_composite
Pierre Ferragu,8,-0.023122879189772898,-1.4880973102081136,-0.01311471155116729,48.857142857142854,New Street Research,1634,1,-48.857142857142854,0.7272262323577299,0.5692873990079805,-0.4143515499301477,0.36911804949088795,0.31282003273161263,0.4444444444444444,0.1390311256584945
Brian J. Pitz,2,-0.02442139365272305,-1.7698771951127052,-0.00557023080802182,47.5,BMO Capital Markets,181,1,-47.5,0.6180245178585272,0.5237140748399062,0.3401813166373864,0.39438112252057794,0.46907525796409943,0.16666666666666666,0.07817920966068323
Josh J. Beck,2,-0.0248462358054937,-1.0851296690966432,-0.008642328156551951,47.0,Raymond James,402,1,-47.0,0.5822963894488643,0.6344608763264038,0.032937054549902645,0.4036885704788848,0.4133457227010139,0.16666666666666666,0.06889095378350231
Brian Bedell,1,-0.0305534823816914,,-0.0,14.0,Deutsche Bank Research,77,1,-14.0,0.10233168441621897,,0.8972670011409961,1.0179801357271379,0.6725262737614509,0.09090909090909091,0.061138752160131905
David Risinger,2,-0.030660598926464597,-4.52627709888387,-0.004707609886706784,41.0,Leerink Partners,1079,1,-41.0,0.09332345949904092,0.07791111628611992,0.4264531037464348,0.5153779459785671,0.2782664063775407,0.16666666666666666,0.04637773439625678
Evan David Seigerman,1,-0.034941937246687,,-0.0,21.0,BMO Capital Markets,181,1,-21.0,-0.2667260418805762,,0.8972670011409961,0.8876758643108417,0.5060722745237539,0.09090909090909091,0.04600657041125036
Narumi Nakagiri,2,-0.031606362147914,-1.231617668899481,-0.0038579405752562548,70.5,Daiwa Securities Co. Ltd.,467,1,-70.5,0.013787213858834545,0.6107688193010843,0.5114295843061745,-0.033761483561537804,0.27555603347613883,0.16666666666666666,0.04592600557935647
Youssef Squali,2,-0.02234146777685075,-6.292018341288402,-0.007328805607264047,52.0,Truist Securities,852,1,-52.0,0.7929409151395255,-0.20766887841182252,0.1643040721297085,0.31061409089581615,0.26504754993830687,0.16666666666666666,0.044174591656384474
Maria Ripps,2,-0.0227304055309551,-7.464132639401138,-0.006059781266756261,48.0,Canaccord Genuity,466,1,-48.0,0.7602322539782406,-0.39723934717687753,0.2912207687171136,0.38507367456227104,0.25982183752018695,0.16666666666666666,0.04330363958669782
Ken Gawrelski,2,-0.02535000891318305,-7.631213216348543,-0.006961315305561447,47.0,Wells Fargo Securities,596,1,-47.0,0.5399303714737682,-0.4242619194161671,0.20105723251537938,0.4036885704788848,0.18010356376296632,0.16666666666666666,0.030017260627161053
Lun Ke Zhang,4,-0.030288867363043873,-0.39948425283169176,-0.006203289457311725,111.0,Guosen Securities,1894,1,-111.0,0.12458512443790148,0.7453528969913172,0.2768683367761728,-0.7876647681843938,0.08978539750524944,0.2857142857142857,0.025652970715785553
Mohit Bansal,2,-0.03120848121314725,-8.537527095749695,-0.004380732544438295,48.0,Wells Fargo Securities,596,1,-48.0,0.047247973428936066,-0.5708434833839389,0.4591445117405376,0.38507367456227104,0.08015566908695146,0.16666666666666666,0.013359278181158576
Brad Erickson,2,-0.024804534691996,-5.803781140885848,-0.007527034967185544,85.0,RBC Capital Markets,1269,1,-85.0,0.5858033454515945,-0.12870443347852803,0.14447890824214651,-0.30367747435243686,0.07447508646569403,0.16666666666666666,0.012412514410949005
John Blackledge,2,-0.025867116142760202,-6.760299270822547,-0.00622007466821207,85.0,TD Cowen,917,1,-85.0,0.4964429882670664,-0.2834057203464863,0.2751896270375225,-0.30367747435243686,0.046137355151416426,0.16666666666666666,0.007689559191902737
Ben Reitzes,5,-0.02845489174017838,-2.781637194400326,-0.009505130242499433,105.6,Melius Research,3130,1,-105.6,0.27881774030853684,0.36007831196975787,-0.053352851058495604,-0.6871443302346796,-0.025400282253720124,0.3333333333333333,-0.008466760751240041
Thomas Champion,2,-0.02379421175793555,-9.791938368799538,-0.005775999122974098,130.5,Piper Sandler Companies,570,1,-130.5,0.6707688962754218,-0.7737241524783417,0.3196021725165966,-1.1506552385583615,-0.2335020805611712,0.16666666666666666,-0.038917013426861866
Mike Mayo,3,-0.07086008930368343,-0.3129988373976207,-0.0005614391366513932,16.333333333333332,Wells Fargo Securities,596,1,-16.333333333333332,-3.287349914914517,0.7593405096085984,0.8411167774737595,0.9745453785883725,-0.1780868123109466,0.23076923076923078,-0.04109695668714153
