firm,quarter,consensus_fe,consensus_nn_predicted_fe,consensus_linear_predicted_fe,market_cap,sic_code,industry
AAPL-US,2023Q2,0.0340687619738,,,3037684.3,3571,Computers
AAPL-US,2023Q3,0.03422603442380025,,,2743182.5,3571,Computers
AAPL-US,2023Q4,0.0302846843026029,,,2916577.5,3571,Computers
AAPL-US,2024Q1,0.036886973180076596,,,2579411.8,3571,Computers
AAPL-US,2024Q2,0.030188241591578152,,,3437594.5,3571,Computers
AAPL-US,2024Q3,0.0311574413094981,,,3509361.8,3571,Computers
AAPL-US,2024Q4,0.0243918947324168,,,3577059.0,3571,Computers
AAPL-US,2025Q1,0.0331713594481906,,,2918338.3,3571,Computers
AAPL-US,2025Q2,0.0301509380059042,,,3136822.3,3571,Computers
AAPL-US,2025Q3,0.0249428167306526,,,3672254.3,3571,Computers
AAPL-US,2025Q4,0.0207247268810586,,,3820872.8,3571,Computers
AAPL-US,2026Q1,0.0246446469248291,,,3867012.0,3571,Computers
APO-US,2022Q3,0.09881693430244794,,,49461.26,6282,Trading
APO-US,2023Q3,0.09881693430244794,,,49461.26,6282,Trading
APO-US,2023Q4,0.05758310662132425,,,56744.18,6282,Trading
APO-US,2024Q1,0.0759878844361603,,,60963.703,6282,Trading
APO-US,2024Q2,0.07562203939167286,,,68468.24,6282,Trading
APO-US,2024Q3,0.0606995970543281,,,81978.76,6282,Trading
APO-US,2024Q4,0.0444540297801938,,,95758.78,6282,Trading
APO-US,2025Q1,0.0703091970342325,,,72456.336,6282,Trading
APO-US,2025Q2,0.05510056799198125,,,85524.11,6282,Trading
APO-US,2025Q3,0.0502651214478488,,,72487.17,6282,Trading
APO-US,2025Q4,0.06159242930982055,,,76360.39,6282,Trading
CME-US,2023Q2,0.0450267497655948,,,65219.836,6200,Trading
CME-US,2023Q3,0.0363426992169507,,,78100.91,6200,Trading
CME-US,2023Q4,0.0396370967741935,,,74100.305,6200,Trading
CME-US,2024Q1,0.0379405660377358,,,76325.34,6200,Trading
CME-US,2024Q2,0.04076660812067355,,,69706.92,6200,Trading
CME-US,2024Q3,0.036739366025467304,,,79805.125,6200,Trading
CME-US,2024Q4,0.036284731182795654,,,83783.484,6200,Trading
CME-US,2025Q1,0.035011175155864,,,91907.6,6200,Trading
CME-US,2025Q2,0.0315306196488173,,,99334.336,6200,Trading
CME-US,2025Q3,0.0339790141164037,,,95536.48,6200,Trading
CME-US,2025Q4,0.03039595800336825,,,100631.71,6200,Trading
CME-US,2026Q1,0.0302840064727056,0.03171582095151669,0.03195014344394487,109725.08,6200,Trading
EME-US,2025Q1,0.05116175339656495,,,17578.02,1731,Construction
EME-US,2025Q2,0.0337396513187304,,,25030.914,1731,Construction
EME-US,2025Q3,0.0308947644131428,,,30762.889,1731,Construction
EME-US,2025Q4,0.0226710863192786,,,36193.65,1731,Construction
EME-US,2026Q1,0.0264843711114429,,,35788.152,1731,Construction
GFS-US,2025Q1,0.0618385367391989,,,17532.865,3674,Electronic Equipment
GFS-US,2025Q2,0.04141935483870965,,,22282.387,3674,Electronic Equipment
GFS-US,2025Q3,0.04458951965065495,,,18992.555,3674,Electronic Equipment
GFS-US,2025Q4,0.0336776588774841,,,25454.13,3674,Electronic Equipment
GFS-US,2026Q1,0.0275027428474976,,,32490.932,3674,Electronic Equipment
GS-US,2024Q1,0.0737979734468332,,,134623.45,6211,Trading
GS-US,2024Q2,0.0836863282631765,,,145856.69,6211,Trading
GS-US,2024Q3,0.0793522655405267,,,154795.47,6211,Trading
GS-US,2024Q4,0.0663485310783715,,,180042.97,6211,Trading
GS-US,2025Q1,0.06549030734591516,,,169781.67,6211,Trading
GS-US,2025Q2,0.0560384168955071,,,216770.98,6211,Trading
GS-US,2025Q3,0.0525598041062346,,,241071.94,6211,Trading
GS-US,2025Q4,0.04836643913538105,,,263637.16,6211,Trading
GS-US,2026Q1,0.0514449052796771,,,236847.67,6211,Trading
KLAC-US,2024Q1,0.042494397739113,,,94746.05,3827,Measuring and Control Equipment
KLAC-US,2024Q2,0.0387628172802151,,,120145.96,3827,Measuring and Control Equipment
KLAC-US,2024Q3,0.0448673435004907,,,91450.56,3827,Measuring and Control Equipment
KLAC-US,2024Q4,0.0427460258289703,,,95805.44,3827,Measuring and Control Equipment
KLAC-US,2025Q1,0.042730060188403,,,89859.34,3827,Measuring and Control Equipment
KLAC-US,2025Q2,0.0307212745976864,,,123920.8,3827,Measuring and Control Equipment
KLAC-US,2025Q3,0.02832264548356885,,,143142.4,3827,Measuring and Control Equipment
KLAC-US,2025Q4,0.0243282502614151,,,188482.3,3827,Measuring and Control Equipment
KLAC-US,2026Q1,0.02267534392282585,,,229136.36,3827,Measuring and Control Equipment
MSFT-US,2023Q2,0.0453295034138418,,,2472076.8,7372,Business Services
MSFT-US,2023Q3,0.0440107798654039,,,2439619.5,7372,Business Services
MSFT-US,2023Q4,0.0377469444230917,,,2900486.5,7372,Business Services
MSFT-US,2024Q1,0.0359727058163718,,,3179706.5,7372,Business Services
MSFT-US,2024Q2,0.034905899626268,,,3340970.0,7372,Business Services
MSFT-US,2024Q3,0.0350374867826588,,,3093617.8,7372,Business Services
MSFT-US,2024Q4,0.03491182909519565,,,3090457.0,7372,Business Services
MSFT-US,2025Q1,0.036130920592124,,,2867510.0,7372,Business Services
MSFT-US,2025Q2,0.027929332304893,,,3758042.8,7372,Business Services
MSFT-US,2025Q3,0.0280342013516935,,,3816370.0,7372,Business Services
MSFT-US,2025Q4,0.02858648309856155,,,3498197.3,7372,Business Services
MSFT-US,2026Q1,0.0357633383590292,,,3053567.3,7372,Business Services
NRG-US,2023Q2,0.09881693430244794,,,8829.411,4911,Utilities
NRG-US,2023Q3,0.09881693430244794,,,9338.826,4911,Utilities
NRG-US,2023Q4,0.09881693430244794,,,10800.45,4911,Utilities
NRG-US,2024Q1,0.0791243530563715,,,15351.364,4911,Utilities
NRG-US,2024Q2,0.0734293336981803,,,15237.484,4911,Utilities
NRG-US,2024Q3,0.09881693430244794,,,18064.428,4911,Utilities
NRG-US,2024Q4,0.0499044525128989,,,20729.857,4911,Utilities
NRG-US,2025Q1,0.040546817849305,,,22273.02,4911,Utilities
NRG-US,2025Q2,0.0619576455932731,,,31389.2,4911,Utilities
NRG-US,2025Q3,0.0538056284720102,,,31685.898,4911,Utilities
NRG-US,2025Q4,0.05775473927562285,,,33429.586,4911,Utilities
NRG-US,2026Q1,0.059619986631016,,,32097.668,4911,Utilities
TSM-US,2024Q1,0.0523401037165082,,,720163.94,3674,Electronic Equipment
TSM-US,2024Q2,0.0397617787276015,,,946525.7,3674,Electronic Equipment
TSM-US,2024Q3,0.0447403303989302,,,930881.44,3674,Electronic Equipment
TSM-US,2024Q4,0.0434409995442807,,,1024291.2,3674,Electronic Equipment
