analyst,n_predictions,accuracy_score,predictability_r2,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,predictability_r2_z,consistency_score_z,freshness_score_z,reliability_composite_raw,credibility_weight,reliability_composite,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_obs,r_squared,factor_alpha_z,factor_adjusted_composite_raw,factor_adjusted_composite
Pierre Ferragu,8,-0.023122879189772898,-1.4880973102081136,-0.01311471155116729,48.857142857142854,New Street Research,1634,1,-48.857142857142854,0.7272262323577299,0.5692873990079805,-0.4143515499301477,0.36911804949088795,0.31282003273161263,0.4444444444444444,0.1390311256584945,0.04800157570313316,5.209380058494871,0.19200630281253264,-0.0008957321832068605,-0.000752522174780134,-0.0015918636068595743,-0.0027702336465695076,,,11,0.5599749388896372,1.0844364364834669,0.46714331348198346,0.20761925043643709
Mike Mayo,3,-0.07086008930368343,-0.3129988373976207,-0.0005614391366513932,16.333333333333332,Wells Fargo Securities,596,1,-16.333333333333332,-3.287349914914517,0.7593405096085984,0.8411167774737595,0.9745453785883725,-0.1780868123109466,0.23076923076923078,-0.04109695668714153,0.07298293706391631,6.111281632891295,0.29193174825566526,0.0012329300048232379,-0.003764027055735802,-0.002070070971747353,-0.0017450370023588016,,,9,0.7470772459938904,3.300487614987305,0.5176280731487037,0.11945263226508548
Brian Bedell,1,-0.0305534823816914,,-0.0,14.0,Deutsche Bank Research,77,1,-14.0,0.10233168441621897,,0.8972670011409961,1.0179801357271379,0.6725262737614509,0.09090909090909091,0.061138752160131905,0.04614335777878651,5.189311402169146,0.18457343111514604,0.0024383742080049536,-0.003127093589799835,-0.0006252775550366194,-0.0016272787644717626,,,10,0.7353227575970017,0.9195973005495134,0.7342940304584665,0.0667540027689515
Evan David Seigerman,1,-0.034941937246687,,-0.0,21.0,BMO Capital Markets,181,1,-21.0,-0.2667260418805762,,0.8972670011409961,0.8876758643108417,0.5060722745237539,0.09090909090909091,0.04600657041125036,0.03543567405263367,9.874627373023257,0.14174269621053467,0.0006753756547142443,-0.0015647269984886655,-0.0009253129331677433,-0.0015059846618927161,,,12,0.7614314373371998,-0.030261868360226516,0.3719887388027588,0.033817158072978075
Brian J. Pitz,2,-0.02442139365272305,-1.7698771951127052,-0.00557023080802182,47.5,BMO Capital Markets,181,1,-47.5,0.6180245178585272,0.5237140748399062,0.3401813166373864,0.39438112252057794,0.46907525796409943,0.16666666666666666,0.07817920966068323,0.023685860724671666,7.621220736572143,0.09474344289868666,0.0009817727687243846,-0.0012234822382170287,-0.0003275790599157637,-0.001420678544735203,,,10,0.838826503376515,-1.072566460835567,0.16074691420416615,0.026791152367361022
David Risinger,2,-0.030660598926464597,-4.52627709888387,-0.004707609886706784,41.0,Leerink Partners,1079,1,-41.0,0.09332345949904092,0.07791111628611992,0.4264531037464348,0.5153779459785671,0.2782664063775407,0.16666666666666666,0.04637773439625678,0.03194717196711528,8.32175424027358,0.12778868786846112,0.0006276817559908336,-0.0015953836336729849,-0.0009428773080919611,-0.0015280998367529898,,,12,0.7380764275553298,-0.33972055022222125,0.1546690150575883,0.025778169176264715
Josh J. Beck,2,-0.0248462358054937,-1.0851296690966432,-0.008642328156551951,47.0,Raymond James,402,1,-47.0,0.5822963894488643,0.6344608763264038,0.032937054549902645,0.4036885704788848,0.4133457227010139,0.16666666666666666,0.06889095378350231,0.025251821200627286,5.388151758679854,0.10100728480250915,0.0018697077830804629,-0.001793637706622584,4.671875223203443e-05,-0.0013382251908208766,,,10,0.8009719167200144,-0.9336529521554663,0.14394598772971784,0.02399099795495297
Youssef Squali,2,-0.02234146777685075,-6.292018341288402,-0.007328805607264047,52.0,Truist Securities,852,1,-52.0,0.7929409151395255,-0.20766887841182252,0.1643040721297085,0.31061409089581615,0.26504754993830687,0.16666666666666666,0.044174591656384474,0.030220798168461002,6.505067415433742,0.12088319267384401,0.0011167493573092445,-0.0018085919626230377,-0.0004490608572945835,-0.001990428874720119,,,12,0.6972955352521965,-0.4928640333092465,0.11346523328879621,0.018910872214799368
Maria Ripps,2,-0.0227304055309551,-7.464132639401138,-0.006059781266756261,48.0,Canaccord Genuity,466,1,-48.0,0.7602322539782406,-0.39723934717687753,0.2912207687171136,0.38507367456227104,0.25982183752018695,0.16666666666666666,0.04330363958669782,0.02964600219803945,6.349385436985312,0.1185840087921578,0.0010311485619592209,-0.0018767050148145302,-0.0005536556574778778,-0.0016403099019891578,,,12,0.6736041023919637,-0.5438531395175081,0.09908684211264793,0.01651447368544132
Ken Gawrelski,2,-0.02535000891318305,-7.631213216348543,-0.006961315305561447,47.0,Wells Fargo Securities,596,1,-47.0,0.5399303714737682,-0.4242619194161671,0.20105723251537938,0.4036885704788848,0.18010356376296632,0.16666666666666666,0.030017260627161053,0.03289556852533253,6.142812840594177,0.1315822741013301,0.0011923436850019228,-0.002102133429281336,-0.0005837090623376378,-0.0018922711258764677,,,12,0.6665731986279204,-0.25559001465318504,0.09296484807973605,0.015494141346622674
