analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_factor_obs,r_squared,factor_alpha_z,partial_reliability_score_with_factor_raw,partial_reliability_score_with_factor
Brandon Nispel,5,0.025817644735777755,-0.025817644735777755,-0.004279039825304789,29.4,KeyBanc Capital Markets,618,1,-29.4,1.0228902934888613,0.5430478328363703,1.0081464826561217,0.8580282029937845,0.3333333333333333,0.28600940099792815,,,,,,,,,,5,,,0.8580282029937845,0.28600940099792815
Cheng Chieh Tsai,4,0.03233311315573788,-0.03233311315573788,-0.0033702116966125495,14.75,First Capital Management,1173,1,-14.75,0.5746992005066455,0.661140653073894,1.3332761103356587,0.8563719879720662,0.2857142857142857,0.24467771084916173,,,,,,,,,,4,,,0.8563719879720662,0.24467771084916173
Ananda Baruah,3,0.0239891513959949,-0.0239891513959949,-0.002742664148513477,27.666666666666668,Loop Capital Markets,1009,1,-27.666666666666668,1.1486701109394992,0.7426839696246281,1.0466146069777051,0.9793228958472775,0.23076923076923078,0.22599759134937175,,,,,,,,,,3,,,0.9793228958472775,0.22599759134937175
Eui-Young Ko,3,0.023500104791699464,-0.023500104791699464,-0.0024560223723333638,44.333333333333336,iM Securities,2140,1,-44.333333333333336,1.1823110279036482,0.779930105256138,0.6767287961932489,0.8796566431176783,0.23076923076923078,0.2029976868733104,,,,,,,,,,3,,,0.8796566431176783,0.2029976868733104
Anthony Lau,3,0.033684549538316795,-0.033684549538316795,-0.003301762730305855,14.333333333333334,Yuanta Research,762,1,-14.333333333333334,0.4817355468806972,0.6700348886485921,1.34252325560527,0.8314312303781864,0.23076923076923078,0.1918687454718892,,,,,,,,,,3,,,0.8314312303781864,0.1918687454718892
Sherman Shang,6,0.03826757193418582,-0.03826757193418582,-0.006804725877391515,6.5,Fubon Securities,1084,1,-6.5,0.16647504918971398,0.21486103985639451,1.5163695866739644,0.6325685585733577,0.375,0.23721320946500912,0.04044500290814846,5.02081007424118,0.16178001163259384,-0.0009071289458895412,-0.0012707953413618313,-0.0008623329404809932,0.00033903769129292285,,,6,0.812237198433227,0.0757421075195841,0.49336194580991427,0.18501072967871784
Owen Lau,4,0.0344172311578661,-0.0344172311578661,-0.002048090765080455,46.75,Oppenheimer,498,1,-46.75,0.4313352756019986,0.8329366005918863,0.6230953536295029,0.6291224099411292,0.2857142857142857,0.17974925998317975,,,,,,,,,,4,,,0.6291224099411292,0.17974925998317975
Michael Turrin,5,0.03089208487388694,-0.03089208487388694,-0.0035439545081377287,62.2,Wells Fargo Securities,596,1,-62.2,0.6738257711584927,0.6385645707968973,0.2802112070323119,0.5308671829959006,0.3333333333333333,0.1769557276653002,,,,,,,,,,5,,,0.5308671829959006,0.1769557276653002
Jorge Chang,5,0.04704963815224841,-0.04704963815224841,-0.004024984973510021,9.6,Yuanta Research,762,1,-9.6,-0.4376325303754956,0.5760596345140337,1.4475708258680557,0.5286659766688646,0.3333333333333333,0.17622199222295487,,,,,,,,,,5,,,0.5286659766688646,0.17622199222295487
Li Yen Chen,6,0.036311889632266135,-0.036311889632266135,-0.005322004140139172,18.5,Capital Securities Asia,1128,1,-18.5,0.30100403957483257,0.4075254018536059,1.250051802909156,0.6528604147791982,0.375,0.24482265554219934,0.036422667700647775,9.7790450404128,0.1456906708025911,-0.0002704672351789859,-0.00144403788366696,-0.0007169806873682066,0.0006439097799049938,,,6,0.9343780902845322,-0.18649447247385217,0.4430216929659356,0.16613313486222583
