date,long_industries,short_industries,long_return,short_return,ls_return,n_long,n_short,rf,excess_return
201804,"Fun,Oil,Clths,Toys,Coal","Boxes,Mach,Txtls,Guns,Smoke",4.07,-6.986,11.056000000000001,5,5,0.14,10.916
201805,"Fun,Oil,Clths,Toys,Coal","Boxes,Mach,Txtls,Guns,Smoke",5.85,-0.622,6.4719999999999995,5,5,0.14,6.332
201806,"Fun,Oil,Clths,Toys,Coal","Boxes,Mach,Txtls,Guns,Smoke",4.358,-1.248,5.606,5,5,0.14,5.466
201807,"Toys,Guns,FabPr,Chips,Drugs","Autos,Books,Txtls,Mines,Gold",7.328,-4.392,11.72,5,5,0.16,11.56
201808,"Toys,Guns,FabPr,Chips,Drugs","Autos,Books,Txtls,Mines,Gold",3.94,-5.5520000000000005,9.492,5,5,0.16,9.332
201809,"Toys,Guns,FabPr,Chips,Drugs","Autos,Books,Txtls,Mines,Gold",3.3979999999999997,-3.53,6.927999999999999,5,5,0.15,6.777999999999999
201810,"Gold,Soda,Hshld,Util,Meals","Ships,Oil,Steel,Txtls,Toys",-0.06200000000000001,-16.14,16.078,5,5,0.19,15.888
201811,"Gold,Soda,Hshld,Util,Meals","Ships,Oil,Steel,Txtls,Toys",5.066,-0.1299999999999999,5.196,5,5,0.18,5.016
201812,"Gold,Soda,Hshld,Util,Meals","Ships,Oil,Steel,Txtls,Toys",-3.408,-14.268,10.860000000000001,5,5,0.19,10.670000000000002
201901,"Mines,FabPr,Smoke,Fun,LabEq","Insur,Autos,Ships,Gold,Soda",11.384000000000002,5.752000000000001,5.6320000000000014,5,5,0.21,5.4220000000000015
201902,"Mines,FabPr,Smoke,Fun,LabEq","Insur,Autos,Ships,Gold,Soda",9.206,0.040000000000000036,9.166,5,5,0.18,8.986
201903,"Mines,FabPr,Smoke,Fun,LabEq","Insur,Autos,Ships,Gold,Soda",2.7800000000000002,-1.3239999999999998,4.104,5,5,0.19,3.914
201904,"Guns,Toys,Txtls,Gold,Meals","Oil,Paper,Coal,FabPr,Smoke",3.8520000000000003,-0.916,4.768000000000001,5,5,0.21,4.558000000000001
201905,"Guns,Toys,Txtls,Gold,Meals","Oil,Paper,Coal,FabPr,Smoke",0.03200000000000007,-11.114,11.146,5,5,0.21,10.936
