analyst,n_observations,n_firms_covered,firms_covered,avg_abs_fe,n_times_smart_weighted,avg_weight_when_smart_weighted
Gordon L. Johnson II,10,1,TSLA-US,0.0029668299450786497,0,
Rob Wertheimer,4,1,TSLA-US,0.0045157394941485,0,
Yue Wang,3,1,TSLA-US,0.004913772831935166,0,
Edison Yu,9,1,TSLA-US,0.0050397010731177,0,
Colin M. Langan,12,1,TSLA-US,0.005213810581063024,0,
Yue Zhu,1,1,TSLA-US,0.0061358361085881,0,
Chris Pierce,9,1,TSLA-US,0.006837315123336867,0,
Colin Rusch,9,1,TSLA-US,0.0068687108050727785,0,
Ron Jewsikow,4,1,TSLA-US,0.007080210500631399,0,
Battle Road Research Team,4,1,TSLA-US,0.007136945201444299,0,
Yeon-Ju Park,8,1,TSLA-US,0.007308607962052887,0,
Alexander E. Potter,9,1,TSLA-US,0.008028508674714177,0,
Yiming Wang,9,1,TSLA-US,0.008290343343310724,0,
Yu Jing Ni,9,1,TSLA-US,0.008481134654777,0,
Itay Michaeli,8,1,TSLA-US,0.008571293514484287,0,
Philippe Houchois,9,1,TSLA-US,0.008969444537656678,0,
Chris McNally,12,1,TSLA-US,0.009192997736347307,0,
Vadim Merkulov,3,1,TSLA-US,0.0092513486310808,0,
YongHuo Liang,9,1,TSLA-US,0.009462516216372523,0,
Tingting Song,5,1,TSLA-US,0.00949297664641558,0,
Oscar Wang,9,1,TSLA-US,0.009798885899990468,0,
Andres Sheppard,9,1,TSLA-US,0.0099193520846793,0,
Tom Narayan,8,1,TSLA-US,0.010433237224746513,0,
Cindy Yen,3,2,"TSLA-US, TXN-US",0.010702432241446102,0,
Xue Deng,8,1,TSLA-US,0.01231300735841945,0,
Mickey Legg,7,1,TSLA-US,0.012456244213078572,0,
Ji Wen,2,1,TSLA-US,0.014270650263620299,0,
Li Xiong,1,1,AMD-US,0.0147145317817081,0,
Jing Lin Li,9,1,TSLA-US,0.01621978644046738,0,
Yi Meng Ding,2,1,TSLA-US,0.01747353079857685,0,
Dan Ives,17,3,"AAPL-US, MSFT-US, TSLA-US",0.017839192487017177,0,
George Gianarikas,10,1,TSLA-US,0.018063398472495627,0,
Jed Dorsheimer,15,2,"AMAT-US, TSLA-US",0.018169952398395608,0,
Jeffrey Wlodarczak,1,1,AMZN-US,0.0181798792756539,0,
Garvit Bhandari,1,1,AMAT-US,0.0194380085680245,0,
Andrew Cheng,1,1,AMZN-US,0.0199505030181086,0,
Simeon Siegel,1,1,AMZN-US,0.0200309859154929,0,
Jeff Osborne,4,1,TSLA-US,0.0203775660730537,0,
Anthony Codling,4,1,MLM-US,0.020946186936462774,0,
Qian Li,1,1,AAPL-US,0.0213786736420987,0,
Gregory Paul Francfort,9,1,CMG-US,0.021655684115715633,0,
Keith Hughes,4,1,MLM-US,0.021676266577204527,0,
Ivan Feinseth,4,4,"AAPL-US, AMZN-US, META-US, TSLA-US",0.021887687842018524,0,
Phoebe Wang,7,2,"TSLA-US, TXN-US",0.022222272688444487,0,
Jairam Nathan,12,2,"TSLA-US, UPS-US",0.022254322264847397,0,
Jeff Farmer,9,1,CMG-US,0.022502345374523346,0,
Min-Gyu Jung,1,1,TXN-US,0.0225921493537577,0,
Gabe Daoud,1,1,WMB-US,0.0227795797489775,0,
Brian Vaccaro,6,1,CMG-US,0.022874640668652902,0,
Dylan Carden,5,1,AMZN-US,0.023037415020888158,0,
William Stein,29,4,"AMD-US, NVDA-US, TSLA-US, TXN-US",0.023217249739150247,0,
