broker,n_observations,n_analysts,n_firms_covered,avg_abs_fe
iM Securities,3,1,1,0.023500104791699464
MoffettNathanson Research,7,1,1,0.025145925994927997
Maxim Group,8,1,1,0.0258366428094434
Tigress Financial Partners LLC,1,1,1,0.0272867245908264
ARC Independent Research,7,3,2,0.027597902516473583
Phillip Securities,9,2,2,0.028478064495335693
DBS Bank,3,1,1,0.02883626619578693
CMB International,1,1,1,0.0289941062457972
Everbright Securities,11,1,3,0.029135953433232865
Stifel Nicolaus,10,3,3,0.02935762239589592
William Blair,8,2,2,0.029602696520317235
SinoPac Securities Investment Services,2,1,1,0.029851620103236297
DA Davidson,17,3,4,0.029955713324290954
"Monness, Crespi, Hardt",9,1,1,0.03000339526132331
Masterlink Securities,3,1,1,0.030248022120427803
China Securities,3,2,1,0.030321614859900838
Soochow Securities,4,1,1,0.030442508240576052
China Merchants Securities,2,1,1,0.03044471791047255
SDIC Securities International,1,1,1,0.0305894934153609
Itau Securities,12,2,3,0.03155001314586163
Mirae Asset Securities,3,1,1,0.032077208368032496
New Street Research,20,1,4,0.032311486096684716
First Capital Management,4,1,1,0.03233311315573788
Truist Securities,6,2,1,0.03236031643668424
Needham,20,3,4,0.032722070589229206
Thompson Davis & Co,5,1,1,0.03276301813466676
Guosen Securities,7,1,1,0.0327683845127744
Guosheng Securities,4,1,2,0.0327768957075995
Mega Intl Invst Serv,6,3,4,0.0328361150453382
Wedbush Securities,22,2,4,0.03358759679716698
Bocom International,3,1,1,0.033595094828145496
ABCI Securities,9,2,2,0.0341507168488376
Founder Securities,1,1,1,0.0343552787357801
First Shanghai,23,3,4,0.034464094205304587
Capital Securities Asia,10,2,4,0.03447228764136161
Huaan Securities,11,1,2,0.03452890123996897
Huatai Research,21,3,3,0.0347768642185526
China Renaissance Securities (US),18,4,3,0.035337509631711804
SK Securities,1,1,1,0.0353377754000291
Haitong International Research,18,2,3,0.035733939892400965
Tiburon Research Group,1,1,1,0.0365876436781609
KeyBanc Capital Markets,32,6,5,0.03660475457473826
IBF Securities,5,2,1,0.036700931344545384
Eugene Investment & Securities,1,1,1,0.0367127354452054
SPDB International,10,2,3,0.03697777576864515
Baptista Research,5,1,2,0.03722232831233596
Citic Securities,2,2,2,0.037588753309609146
KGI Securities,6,1,1,0.038653291508433316
TD Cowen,44,4,8,0.03878028450224771
Cleveland Research Company,17,3,4,0.03971865654389078
RBC Capital Markets,20,4,5,0.04003442945781494
Melius Research,25,2,4,0.04056138941628415
Mizuho Securities Asia Ex Japan,8,1,1,0.040784784315067484
Yuanta Research,9,3,1,0.04100685350427569
Cathay Securities,5,2,1,0.0412648798518471
China International Capital,18,4,4,0.04129711541969928
Argus Research,41,4,9,0.041545864564698
Oppenheimer,49,7,7,0.04172102019207105
Cantor Fitzgerald,16,3,5,0.04195419048571368
Loop Capital Markets,14,3,3,0.042010109475966555
Fubon Securities,17,3,4,0.042332629555275926
Guggenheim Securities,10,2,2,0.043480914293963384
Evercore ISI,33,6,7,0.04349978679074529
Freedom Broker,6,2,2,0.044600115223550146
Piper Sandler Companies,23,7,5,0.04460604501092801
Jefferies,47,7,8,0.044704497819848935
Equisights,5,1,3,0.04523551600597882
Aletheia Capital,22,3,3,0.045671701931152546
Raymond James,35,5,6,0.04589100787739208
Daiwa Securities Co. Ltd.,35,4,5,0.04641034955517955
Deutsche Bank Research,62,6,8,0.04642321006850929
Rosenblatt Securities,16,2,2,0.04719182774699257
Mizuho Securities USA,15,2,2,0.04786568318558269
Wells Fargo Securities,48,8,7,0.04891184052822925
Susquehanna Financial Group,23,2,4,0.050234595454273535
Guotai Haitong Securities China,18,2,3,0.051503255864192805
Scotiabank GBM,4,2,2,0.05340625676790073
WestPark Capital,8,2,2,0.05382101398628222
Meritz Securities,1,1,1,0.0557025052192066
Citizens,11,2,2,0.05579188988073536
Keefe Bruyette & Woods,25,5,3,0.05720744137038624
"Benchmark, a StoneX Company",5,1,1,0.06300538680321392
Charter Equity Research,5,1,1,0.06328906530203474
BMO Capital Markets,21,5,4,0.06825993399160327
Seaport Research Partners,24,3,4,0.07572564647892366
